sample,D,k
0.0,0.05,1.5
1.0,0.05,7.0
2.0,0.001,7.0
3.0,0.5,7.0
4.0,0.25,5.0
5.0,0.01,7.0
6.0,0.01,6.0
7.0,0.15,5.5
8.0,0.35,0.25
9.0,0.1,4.5
10.0,0.05,7.0
11.0,0.005,4.0
12.0,0.15,10.0
13.0,0.005,7.0
14.0,0.05,3.0
15.0,0.05,4.5
16.0,0.01,0.75
17.0,0.005,4.5
18.0,0.01,10.0
19.0,0.01,4.5
20.0,0.1,10.0
21.0,0.01,10.0
22.0,0.05,3.0
23.0,0.15,10.0
24.0,0.01,10.0
25.0,0.01,7.0
26.0,0.1,10.0
27.0,0.001,2.0
28.0,0.1,3.5
29.0,0.1,7.0
30.0,0.05,2.5
31.0,0.001,4.5
32.0,0.05,7.0
33.0,0.05,0.75
34.0,0.35,10.0
35.0,0.01,7.0
36.0,0.05,2.0
37.0,0.05,4.5
38.0,0.01,3.5
39.0,0.05,4.0
40.0,0.05,1.5
41.0,0.25,10.0
42.0,0.01,4.0
43.0,0.005,5.5
44.0,0.01,6.0
45.0,0.01,7.0
46.0,0.5,7.0
47.0,0.01,7.0
48.0,0.25,10.0
49.0,0.001,3.5
