sample,perc,D,k
0,100,0.01,6.0
1,100,0.1,1.5
2,100,0.25,0.5
3,100,0.35,3.5
4,100,0.15,1.5
5,100,0.05,0.75
6,100,0.05,0.75
7,100,0.15,4.0
8,100,0.1,0.5
9,100,0.35,1.5
10,100,0.1,3.0
11,100,0.15,0.5
12,100,0.5,7.0
13,100,0.05,1.0
14,100,0.05,3.0
15,100,0.25,0.75
16,100,0.001,10.0
17,100,0.01,2.0
18,100,0.1,0.5
19,100,0.05,1.0
20,100,0.5,0.5
21,100,0.5,1.0
22,100,0.25,0.5
23,100,0.35,1.5
24,100,0.5,1.0
25,100,0.01,2.0
26,100,0.05,10.0
27,100,0.001,4.5
28,100,0.25,0.5
29,100,0.25,0.75
30,100,0.01,7.0
31,100,0.001,2.0
32,100,0.1,0.5
33,100,0.1,0.75
34,100,0.5,1.5
35,100,0.01,7.0
36,100,0.15,0.5
37,100,0.05,4.5
38,100,0.005,5.5
39,100,0.15,1.0
40,100,0.01,6.0
41,100,0.5,3.5
42,100,0.15,0.75
43,100,0.1,0.5
44,100,0.1,0.25
45,100,0.5,0.25
46,100,0.001,1.5
47,100,0.001,0.25
48,100,0.1,0.5
49,100,0.001,0.25
