D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.9687836928041448,0.3885404051778826,-151.6816077966084,-8.39517255421092,0,train,9.67741935483871,61.29032258064516,70.96774193548387,35.483870967741936,54.83870967741935,0.5629032258064516,-14.816887458754163,0.5629032258064516
0.005,0.9687836928041448,0.3871267357959841,-151.67015858727606,-8.43178732819063,0,train,9.67741935483871,61.29032258064516,70.96774193548387,35.483870967741936,54.83870967741935,0.5612903225806452,-14.749872238774692,0.5612903225806452
0.01,0.9687836928041448,0.38790012433279164,-151.6573001644867,-8.466948676318944,0,train,9.67741935483871,61.29032258064516,74.19354838709677,35.483870967741936,51.61290322580645,0.5645161290322581,-14.674061658158966,0.5645161290322581
0.05,0.9687836928041448,0.3943655869585136,-151.62343270583284,-8.62286773815397,0,train,9.67741935483871,61.29032258064516,74.19354838709677,35.483870967741936,54.83870967741935,0.5774193548387097,-14.117182463874329,0.5774193548387097
0.1,0.9687836928041448,0.3826698802359607,-151.7894110981318,-8.499827215096484,0,train,6.451612903225806,64.51612903225806,77.41935483870968,32.25806451612903,48.38709677419355,0.5870967741935483,-13.725840564805443,0.5887096774193549
0.15,0.9687836928041448,0.3826698802359607,-152.08941275306887,-8.281714193630766,0,train,6.451612903225806,64.51612903225806,77.41935483870968,32.25806451612903,48.38709677419355,0.5870967741935483,-13.342261895821474,0.5887096774193549
0.25,0.9687836928041448,0.37404448455363193,-152.90021993685735,-7.696656083022747,0,train,6.451612903225806,58.06451612903226,74.19354838709677,32.25806451612903,45.16129032258064,0.5483870967741935,-12.52763558944388,0.5612903225806452
0.35,0.9687836928041448,0.35832674036293743,-153.99292519157908,-7.023407079393841,0,train,6.451612903225806,51.61290322580645,67.74193548387096,32.25806451612903,48.38709677419355,0.5193548387096775,-11.563977893278912,0.532258064516129
0.5,0.9687836928041448,0.3407854088080513,-156.34351520953697,-5.8788558808858955,0,train,9.67741935483871,48.38709677419355,67.74193548387096,35.483870967741936,41.935483870967744,0.4854838709677419,-10.003820830440251,0.5048387096774194
0.0,,,,,0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493,,
0.001,0.9687836928041448,0.4068803393976096,-143.0231480555896,-0.017846087759602194,1,train,12.903225806451612,61.29032258064516,70.96774193548387,41.935483870967744,48.38709677419355,0.5903225806451613,-2.069108828545219,0.5903225806451613
0.005,0.9687836928041448,0.40712513357148467,-143.01252604541182,-0.0796378246809286,1,train,12.903225806451612,61.29032258064516,70.96774193548387,41.935483870967744,48.38709677419355,0.5919354838709677,-2.0269122367206482,0.5919354838709677
0.01,0.9687836928041448,0.411562699696368,-143.0104144043197,-0.13916633077876786,1,train,12.903225806451612,64.51612903225806,70.96774193548387,41.935483870967744,51.61290322580645,0.6048387096774194,-1.9926839043438804,0.603225806451613
0.05,0.9687836928041448,0.4246814159594667,-143.10261260616895,-0.46528392475090474,1,train,12.903225806451612,64.51612903225806,74.19354838709677,41.935483870967744,54.83870967741935,0.6241935483870967,-1.8665565132105946,0.6241935483870967
0.1,0.9687836928041448,0.4358569710076392,-143.48400782404673,-0.7169936123053062,1,train,16.129032258064516,67.74193548387096,77.41935483870968,45.16129032258064,58.06451612903226,0.6370967741935484,-1.852432869064942,0.635483870967742
0.15,0.9687836928041448,0.44904671993612966,-144.07434094456642,-0.8836356741952729,1,train,19.35483870967742,70.96774193548387,77.41935483870968,45.16129032258064,58.06451612903226,0.65,-1.9331782680790313,0.6483870967741936
0.25,0.9687836928041448,0.4462521322102539,-145.69733108821032,-1.1212263263580418,1,train,16.129032258064516,67.74193548387096,77.41935483870968,41.935483870967744,54.83870967741935,0.6241935483870967,-2.1432016326601846,0.6290322580645161
0.35,0.9687836928041448,0.4365006242167557,-147.79152635435844,-1.2914685868293614,1,train,16.129032258064516,67.74193548387096,74.19354838709677,41.935483870967744,54.83870967741935,0.6241935483870967,-2.319271755072917,0.6209677419354839
