D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.9687836928041448,0.3895142258410557,-151.67848043347095,-1.0,0,train,9.67741935483871,61.29032258064516,70.96774193548387,35.483870967741936,54.83870967741935,0.5629032258064516,-14.812971000488098,0.5629032258064516
0.005,0.9687836928041448,0.39135027623377305,-151.65476900902428,-1.0,0,train,9.67741935483871,61.29032258064516,70.96774193548387,35.483870967741936,54.83870967741935,0.5629032258064516,-14.738004246316592,0.5629032258064516
0.01,0.9687836928041448,0.3800679972499805,-151.62633676963728,-1.0,0,train,6.451612903225806,61.29032258064516,74.19354838709677,35.483870967741936,51.61290322580645,0.5629032258064516,-14.656044583098442,0.5629032258064516
0.05,0.9687836928041448,0.38998705608675316,-151.4468196821554,-1.0,0,train,6.451612903225806,64.51612903225806,77.41935483870968,35.483870967741936,51.61290322580645,0.5854838709677419,-14.108545854824852,0.5854838709677419
0.1,0.9687836928041448,0.3963076453117578,-151.33854264398622,-1.0,0,train,6.451612903225806,67.74193548387096,83.87096774193549,32.25806451612903,48.38709677419355,0.6048387096774194,-13.77854074572911,0.6048387096774194
0.15,0.9687836928041448,0.3897668300933644,-151.3501383554924,-1.0,0,train,6.451612903225806,64.51612903225806,83.87096774193549,32.25806451612903,48.38709677419355,0.6016129032258064,-13.55029790482987,0.5951612903225807
0.25,0.9687836928041448,0.37289753056467684,-151.69561516529032,-1.0,0,train,6.451612903225806,61.29032258064516,74.19354838709677,35.483870967741936,48.38709677419355,0.5661290322580645,-13.138909634912018,0.5612903225806452
0.35,0.9687836928041448,0.38143627560168947,-152.4364546828231,-1.0,0,train,6.451612903225806,58.06451612903226,70.96774193548387,35.483870967741936,51.61290322580645,0.5435483870967742,-12.715383600713068,0.5580645161290323
0.5,0.9687836928041448,0.35579746386575095,-154.30427313937864,-1.0,0,train,9.67741935483871,54.83870967741935,67.74193548387096,29.03225806451613,48.38709677419355,0.5258064516129032,-12.030660926433317,0.5274193548387097
0.0,,,,,0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493,,
0.001,0.9687836928041448,0.4170546285916022,-143.02744410458612,-1.0,1,train,16.129032258064516,61.29032258064516,70.96774193548387,41.935483870967744,48.38709677419355,0.5887096774193549,-2.0697677693618064,0.5887096774193549
0.005,0.9687836928041448,0.42173698889036065,-143.0293730415901,-1.0,1,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,51.61290322580645,0.6016129032258064,-2.036678631296477,0.6016129032258064
0.01,0.9687836928041448,0.4211605870662443,-143.03327665394568,-1.0,1,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,51.61290322580645,0.6016129032258064,-2.019795929099302,0.6
0.05,0.9687836928041448,0.41682152278367823,-143.12258573239885,-1.0,1,train,16.129032258064516,67.74193548387096,70.96774193548387,41.935483870967744,51.61290322580645,0.6,-2.035971042710365,0.5983870967741935
0.1,0.9687836928041448,0.4271885781209513,-143.36993994706094,-1.0,1,train,16.129032258064516,67.74193548387096,74.19354838709677,41.935483870967744,48.38709677419355,0.617741935483871,-2.302999957683139,0.614516129032258
0.15,0.9687836928041448,0.4417895796308968,-143.75305047777238,-1.0,1,train,16.129032258064516,64.51612903225806,74.19354838709677,41.935483870967744,54.83870967741935,0.6080645161290322,-2.6613231470624914,0.6096774193548387
0.25,0.9687836928041448,0.4454987407895478,-144.8879850548369,-1.0,1,train,19.35483870967742,64.51612903225806,70.96774193548387,41.935483870967744,54.83870967741935,0.6048387096774194,-3.4292949546117746,0.6048387096774194
0.35,0.9687836928041448,0.4367901140893748,-146.5051102557202,-1.0,1,train,19.35483870967742,61.29032258064516,67.74193548387096,41.935483870967744,54.83870967741935,0.5854838709677419,-4.206671039633026,0.6064516129032258
0.5,0.9687836928041448,0.41436886808227935,-149.9132222449628,-1.0,1,train,16.129032258064516,61.29032258064516,70.96774193548387,38.70967741935484,51.61290322580645,0.5693548387096774,-5.347954910794022,0.5854838709677419
0.0,,,,,1,test,10.0,56.00000000000001,66.0,28.000000000000004,44.0,0.498,,
0.001,0.9687836928041448,0.36743114534317384,-150.00638150456038,-1.0,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.48870967741935484,-13.749008326540853,0.48870967741935484
0.005,0.9687836928041448,0.36816901159397025,-149.9743699080653,-1.0,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.49032258064516127,-13.686838162090334,0.49032258064516127
0.01,0.9687836928041448,0.36816901159397025,-149.93534627194384,-1.0,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.49032258064516127,-13.623639942800692,0.49032258064516127
0.05,0.9687836928041448,0.39247873399450045,-149.66158615677605,-1.0,2,train,22.58064516129032,54.83870967741935,58.06451612903226,38.70967741935484,41.935483870967744,0.5064516129032258,-13.2436536785813,0.5064516129032258
0.1,0.9687836928041448,0.4081026386244455,-149.41028314589747,-1.0,2,train,22.58064516129032,61.29032258064516,61.29032258064516,38.70967741935484,45.16129032258064,0.5387096774193548,-12.900264179370433,0.5387096774193548
0.15,0.9687836928041448,0.4061091251923567,-149.25305301452588,-1.0,2,train,19.35483870967742,61.29032258064516,61.29032258064516,38.70967741935484,45.16129032258064,0.5338709677419354,-12.632027223642027,0.535483870967742
0.25,0.9687836928041448,0.38187727646990605,-149.20235767468256,-1.0,2,train,19.35483870967742,58.06451612903226,61.29032258064516,35.483870967741936,38.70967741935484,0.5112903225806451,-12.191679560871226,0.5177419354838709
0.35,0.9687836928041448,0.3682598321040178,-149.49860381826255,-1.0,2,train,19.35483870967742,51.61290322580645,54.83870967741935,35.483870967741936,38.70967741935484,0.47096774193548385,-11.749191500530669,0.48870967741935484
0.5,0.9687836928041448,0.34950056116186107,-150.69646789264684,-1.0,2,train,19.35483870967742,48.38709677419355,54.83870967741935,32.25806451612903,38.70967741935484,0.4629032258064516,-11.028961092779493,0.4661290322580645
0.0,,,,,2,test,8.0,62.0,76.0,32.0,50.0,0.564,,
0.001,0.9687836928041448,0.3974224273285677,-140.95977480912123,-1.0,3,train,12.903225806451612,67.74193548387096,74.19354838709677,25.806451612903224,51.61290322580645,0.5903225806451613,-2.3573633558831433,0.5903225806451613
0.005,0.9687836928041448,0.3966845610777713,-140.95627241440505,-1.0,3,train,12.903225806451612,67.74193548387096,74.19354838709677,25.806451612903224,51.61290322580645,0.5887096774193549,-2.3436356947463812,0.5887096774193549
0.01,0.9687836928041448,0.40801365107393056,-140.9531820859919,-1.0,3,train,16.129032258064516,67.74193548387096,74.19354838709677,25.806451612903224,51.61290322580645,0.5887096774193549,-2.3397511136572042,0.5887096774193549
0.05,0.9687836928041448,0.4154214596292586,-140.97750568069335,-1.0,3,train,16.129032258064516,67.74193548387096,74.19354838709677,29.03225806451613,51.61290322580645,0.5919354838709677,-2.4437237580605973,0.5919354838709677
0.1,0.9687836928041448,0.436051528516234,-141.1198765703877,-1.0,3,train,16.129032258064516,67.74193548387096,77.41935483870968,32.25806451612903,54.83870967741935,0.6225806451612903,-2.7371851658943567,0.6209677419354839
0.15,0.9687836928041448,0.4218777299518838,-141.37207288193474,-1.0,3,train,16.129032258064516,70.96774193548387,77.41935483870968,29.03225806451613,54.83870967741935,0.6241935483870967,-3.094032994619412,0.6048387096774194
0.25,0.9687836928041448,0.42908238807247806,-142.16081196138614,-1.0,3,train,16.129032258064516,70.96774193548387,74.19354838709677,32.25806451612903,64.51612903225806,0.6370967741935484,-3.877157355020833,0.6274193548387097
0.35,0.9687836928041448,0.41856881392690787,-143.2840365421761,-1.0,3,train,12.903225806451612,70.96774193548387,77.41935483870968,29.03225806451613,58.06451612903226,0.6274193548387097,-4.689592224347668,0.6193548387096774
0.5,0.9687836928041448,0.4031006999312087,-145.58479946229505,-1.0,3,train,12.903225806451612,67.74193548387096,74.19354838709677,22.58064516129032,61.29032258064516,0.6064516129032258,-5.902162083271016,0.6
0.0,,,,,3,test,12.0,50.0,66.0,34.0,44.0,0.491,,
0.001,0.9687836928041448,0.3573450253010141,-146.2406991851827,-1.0,4,train,12.903225806451612,45.16129032258064,70.96774193548387,25.806451612903224,38.70967741935484,0.47419354838709676,-4.076492316432119,0.47419354838709676
0.005,0.9687836928041448,0.3570972535876033,-146.24393425156967,-1.0,4,train,12.903225806451612,45.16129032258064,70.96774193548387,25.806451612903224,38.70967741935484,0.47580645161290325,-4.045069921369095,0.47580645161290325
0.01,0.9687836928041448,0.34472612044081974,-146.24934016589148,-1.0,4,train,9.67741935483871,45.16129032258064,70.96774193548387,25.806451612903224,38.70967741935484,0.47258064516129034,-4.011709897982623,0.47258064516129034
0.05,0.9687836928041448,0.3485034489253176,-146.34437709917086,-1.0,4,train,9.67741935483871,45.16129032258064,74.19354838709677,25.806451612903224,35.483870967741936,0.4806451612903226,-3.8628635465643058,0.482258064516129
0.1,0.9687836928041448,0.37657163684569084,-146.58092159543932,-1.0,4,train,9.67741935483871,51.61290322580645,77.41935483870968,25.806451612903224,38.70967741935484,0.5241935483870968,-3.9700962617578752,0.5177419354838709
0.15,0.9687836928041448,0.36874401740709406,-146.93206854411966,-1.0,4,train,9.67741935483871,54.83870967741935,74.19354838709677,25.806451612903224,41.935483870967744,0.5274193548387097,-4.272467187070463,0.5274193548387097
0.25,0.9687836928041448,0.35051378790938165,-147.92760266862967,-1.0,4,train,6.451612903225806,51.61290322580645,67.74193548387096,25.806451612903224,35.483870967741936,0.5,-4.955911497293814,0.5080645161290323
0.35,0.9687836928041448,0.3427807074582435,-149.26516363683794,-1.0,4,train,6.451612903225806,45.16129032258064,67.74193548387096,25.806451612903224,32.25806451612903,0.4629032258064516,-5.625016040759438,0.47580645161290325
0.5,0.9687836928041448,0.32168430741410947,-151.896226262917,-1.0,4,train,6.451612903225806,38.70967741935484,61.29032258064516,29.03225806451613,32.25806451612903,0.4064516129032258,-6.595089735611982,0.42258064516129035
0.0,,,,,4,test,12.0,57.99999999999999,72.0,36.0,48.0,0.546,,
0.001,0.9687836928041448,0.4041634772452096,-146.6607720118801,-1.0,5,train,16.129032258064516,54.83870967741935,70.96774193548387,38.70967741935484,45.16129032258064,0.5274193548387097,-14.790935462814955,0.5274193548387097
0.005,0.9687836928041448,0.405999527637927,-146.64508521760186,-1.0,5,train,16.129032258064516,54.83870967741935,70.96774193548387,38.70967741935484,45.16129032258064,0.5274193548387097,-14.754224865837562,0.5274193548387097
0.01,0.9687836928041448,0.4114280802097665,-146.62605397036924,-1.0,5,train,16.129032258064516,54.83870967741935,74.19354838709677,38.70967741935484,41.935483870967744,0.5306451612903226,-14.71176112861162,0.5306451612903226
0.05,0.9687836928041448,0.4029975590728335,-146.4962664705756,-1.0,5,train,12.903225806451612,54.83870967741935,70.96774193548387,41.935483870967744,48.38709677419355,0.5403225806451613,-14.457060287159372,0.5403225806451613
0.1,0.9687836928041448,0.38612625192863104,-146.38803675045537,-1.0,5,train,12.903225806451612,54.83870967741935,64.51612903225806,41.935483870967744,45.16129032258064,0.5274193548387097,-14.218970917779709,0.5274193548387097
0.15,0.9687836928041448,0.3853585635934045,-146.33749997166126,-1.0,5,train,12.903225806451612,54.83870967741935,64.51612903225806,41.935483870967744,45.16129032258064,0.5258064516129032,-13.986489582711448,0.5258064516129032
0.25,0.9687836928041448,0.3760061726230757,-146.40365853832148,-1.0,5,train,12.903225806451612,54.83870967741935,64.51612903225806,35.483870967741936,48.38709677419355,0.5258064516129032,-13.520560412468056,0.5258064516129032
0.35,0.9687836928041448,0.3789348627288841,-146.69175954074592,-1.0,5,train,12.903225806451612,51.61290322580645,64.51612903225806,38.70967741935484,48.38709677419355,0.5241935483870968,-13.037659324943958,0.5241935483870968
0.5,0.9687836928041448,0.3855718383933776,-147.59018231021867,-1.0,5,train,6.451612903225806,51.61290322580645,64.51612903225806,38.70967741935484,48.38709677419355,0.5064516129032258,-12.251517720250245,0.5225806451612903
0.0,,,,,5,test,10.0,56.00000000000001,70.0,28.000000000000004,42.0,0.517,,
0.001,0.9687836928041448,0.48685157097338133,-134.23005209026186,-1.0,6,train,25.806451612903224,67.74193548387096,74.19354838709677,48.38709677419355,51.61290322580645,0.6274193548387097,-12.147112658681104,0.6274193548387097
0.005,0.9687836928041448,0.49727265149518307,-134.19287304923728,-1.0,6,train,25.806451612903224,70.96774193548387,77.41935483870968,48.38709677419355,51.61290322580645,0.6532258064516129,-12.061293019993393,0.65
0.01,0.9687836928041448,0.5042783704320153,-134.14839080465816,-1.0,6,train,25.806451612903224,74.19354838709677,77.41935483870968,48.38709677419355,54.83870967741935,0.6645161290322581,-11.97561827188538,0.6629032258064517
0.05,0.9687836928041448,0.4918108196649627,-133.87007447701905,-1.0,6,train,19.35483870967742,74.19354838709677,80.64516129032258,48.38709677419355,58.06451612903226,0.6725806451612903,-11.43835591475967,0.667741935483871
0.1,0.9687836928041448,0.5021043814897054,-133.70099935925262,-1.0,6,train,22.58064516129032,70.96774193548387,80.64516129032258,48.38709677419355,58.06451612903226,0.6629032258064517,-11.063423020126624,0.6596774193548387
0.15,0.9687836928041448,0.4797924385133007,-133.70500511104404,-1.0,6,train,22.58064516129032,70.96774193548387,77.41935483870968,48.38709677419355,58.06451612903226,0.6580645161290323,-10.754868274263131,0.65
0.25,0.9687836928041448,0.4605731433391329,-134.16044151053083,-1.0,6,train,16.129032258064516,70.96774193548387,77.41935483870968,48.38709677419355,61.29032258064516,0.6564516129032258,-10.219597367736448,0.6532258064516129
0.35,0.9687836928041448,0.4683518389046715,-135.16949548996215,-1.0,6,train,16.129032258064516,70.96774193548387,77.41935483870968,48.38709677419355,61.29032258064516,0.6564516129032258,-9.723567935673934,0.6548387096774193
0.5,0.9687836928041448,0.4726712834655553,-137.74004373818534,-1.0,6,train,16.129032258064516,70.96774193548387,77.41935483870968,45.16129032258064,54.83870967741935,0.6387096774193548,-9.061011553746589,0.6516129032258065
0.0,,,,,6,test,6.0,50.0,66.0,24.0,40.0,0.462,,
0.001,0.9687836928041448,0.45193066915267194,-137.80952363053996,-1.0,7,train,19.35483870967742,61.29032258064516,80.64516129032258,41.935483870967744,48.38709677419355,0.5919354838709677,-3.321871903860495,0.5919354838709677
0.005,0.9687836928041448,0.4522592992633773,-137.84052569817615,-1.0,7,train,19.35483870967742,61.29032258064516,80.64516129032258,41.935483870967744,48.38709677419355,0.5951612903225807,-3.3160914296301898,0.5951612903225807
0.01,0.9687836928041448,0.4480357588255884,-137.8801491765207,-1.0,7,train,19.35483870967742,61.29032258064516,80.64516129032258,41.935483870967744,48.38709677419355,0.5935483870967742,-3.312123866461366,0.5935483870967742
0.05,0.9687836928041448,0.4501736517842346,-138.230520541588,-1.0,7,train,19.35483870967742,61.29032258064516,80.64516129032258,41.935483870967744,48.38709677419355,0.5951612903225807,-3.356858712040695,0.5951612903225807
0.1,0.9687836928041448,0.44916961895643787,-138.74553043677446,-1.0,7,train,19.35483870967742,61.29032258064516,77.41935483870968,45.16129032258064,48.38709677419355,0.5951612903225807,-3.6323364515312178,0.5951612903225807
0.15,0.9687836928041448,0.43212807779150686,-139.33716182918153,-1.0,7,train,19.35483870967742,61.29032258064516,77.41935483870968,45.16129032258064,48.38709677419355,0.5838709677419355,-3.9551099656841644,0.582258064516129
0.25,0.9687836928041448,0.43180869356566765,-140.7224847960071,-1.0,7,train,22.58064516129032,64.51612903225806,74.19354838709677,45.16129032258064,48.38709677419355,0.5887096774193549,-4.624469438483145,0.5790322580645161
