D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.9687836928041448,0.3643918902314891,-287.2222211352527,-0.034281404240266766,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769,-8.69999851243627,0.4894230769230769
0.005,0.9687836928041448,0.3639624719371997,-287.2146602163229,-0.12074974145564493,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4846153846153846,-8.666725940206348,0.4846153846153846
0.01,0.9687836928041448,0.3705250145075175,-287.21283414811643,-0.2091101504823993,0,train,19.230769230769234,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4846153846153846,-8.639523767603817,0.4846153846153846
0.05,0.9687836928041448,0.3655331354476679,-287.44582199297065,-0.6695826612961346,0,train,19.230769230769234,50.0,59.61538461538461,30.76923076923077,38.46153846153847,0.48173076923076924,-8.561439427614753,0.48173076923076924
0.1,0.9687836928041448,0.365433726325305,-288.1341068915624,-1.0149308302329727,0,train,19.230769230769234,51.92307692307693,59.61538461538461,28.846153846153843,38.46153846153847,0.4807692307692308,-8.585198651182505,0.48173076923076924
0.15,0.9687836928041448,0.36108820318692625,-289.14865942358483,-1.2903693739182205,0,train,19.230769230769234,51.92307692307693,59.61538461538461,30.76923076923077,40.38461538461539,0.4778846153846154,-8.514013832117108,0.47692307692307695
0.25,0.9687836928041448,0.35125164073950077,-291.7829180493066,-1.70273514231593,0,train,17.307692307692307,50.0,61.53846153846154,30.76923076923077,38.46153846153847,0.475,-8.229113296409363,0.4721153846153846
0.35,0.9687836928041448,0.34313286463887605,-294.9592396859075,-1.9496168260057316,0,train,17.307692307692307,46.15384615384615,61.53846153846154,30.76923076923077,38.46153846153847,0.46923076923076923,-8.021524580539111,0.46923076923076923
0.5,0.9687836928041448,0.3412935372930291,-300.53266134107105,-2.1737287697038195,0,train,17.307692307692307,46.15384615384615,55.769230769230774,28.846153846153843,42.30769230769231,0.4528846153846154,-7.117732786007361,0.44903846153846155
0.0,,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334,,
0.001,0.9687836928041448,0.2819662608655909,-294.2051334404444,-0.026097348982546065,1,train,13.461538461538462,42.30769230769231,50.0,21.153846153846153,30.76923076923077,0.39134615384615384,-9.058286284998587,0.39134615384615384
0.005,0.9687836928041448,0.28840419314593485,-294.202246654193,-0.12498316396788783,1,train,13.461538461538462,42.30769230769231,53.84615384615385,21.153846153846153,28.846153846153843,0.3903846153846154,-8.996419671238035,0.3903846153846154
0.01,0.9687836928041448,0.29289537957578077,-294.2142989858361,-0.23444165106423362,1,train,13.461538461538462,44.230769230769226,55.769230769230774,21.153846153846153,28.846153846153843,0.3942307692307692,-8.948551051187627,0.3942307692307692
0.05,0.9687836928041448,0.28431827647275115,-294.4963540213048,-0.7447000669878245,1,train,9.615384615384617,46.15384615384615,55.769230769230774,21.153846153846153,32.69230769230769,0.42115384615384616,-8.711261037690491,0.42115384615384616
0.1,0.9687836928041448,0.29305435079452996,-295.22610343930097,-1.0595558629889545,1,train,11.538461538461538,48.07692307692308,57.692307692307686,19.230769230769234,30.76923076923077,0.425,-8.622210878736926,0.425
