sample,perc,D,k
0,100,0.005,0.9687836928041448
1,100,0.15,0.9687836928041448
2,100,0.35,0.9687836928041448
3,100,0.5,0.9687836928041448
4,100,0.25,0.9687836928041448
5,100,0.01,0.9687836928041448
6,100,0.001,0.9687836928041448
7,100,0.005,0.9687836928041448
8,100,0.001,0.9687836928041448
9,100,0.25,0.9687836928041448
10,100,0.25,0.9687836928041448
11,100,0.1,0.9687836928041448
12,100,0.15,0.9687836928041448
13,100,0.05,0.9687836928041448
14,100,0.15,0.9687836928041448
15,100,0.25,0.9687836928041448
16,100,0.1,0.9687836928041448
17,100,0.1,0.9687836928041448
18,100,0.1,0.9687836928041448
19,100,0.001,0.9687836928041448
20,100,0.35,0.9687836928041448
21,100,0.35,0.9687836928041448
22,100,0.001,0.9687836928041448
23,100,0.5,0.9687836928041448
24,100,0.25,0.9687836928041448
25,100,0.001,0.9687836928041448
26,100,0.15,0.9687836928041448
27,100,0.15,0.9687836928041448
28,100,0.35,0.9687836928041448
29,100,0.15,0.9687836928041448
30,100,0.35,0.9687836928041448
31,100,0.05,0.9687836928041448
32,100,0.001,0.9687836928041448
33,100,0.005,0.9687836928041448
34,100,0.35,0.9687836928041448
35,100,0.1,0.9687836928041448
36,100,0.001,0.9687836928041448
37,100,0.15,0.9687836928041448
38,100,0.05,0.9687836928041448
39,100,0.25,0.9687836928041448
40,100,0.1,0.9687836928041448
41,100,0.35,0.9687836928041448
42,100,0.005,0.9687836928041448
43,100,0.05,0.9687836928041448
44,100,0.05,0.9687836928041448
45,100,0.05,0.9687836928041448
46,100,0.001,0.9687836928041448
47,100,0.15,0.9687836928041448
48,100,0.35,0.9687836928041448
49,100,0.001,0.9687836928041448
