sample,D,k
0.0,0.05,6.0
1.0,0.05,10.0
2.0,0.1,4.5
3.0,0.05,0.75
4.0,0.05,4.0
5.0,0.05,6.0
6.0,0.25,5.0
7.0,0.01,6.0
8.0,0.01,7.0
9.0,0.25,4.5
10.0,0.35,1.5
11.0,0.01,10.0
12.0,0.05,7.0
13.0,0.5,0.5
14.0,0.01,4.0
15.0,0.1,3.0
16.0,0.1,5.5
17.0,0.15,4.0
18.0,0.1,6.0
19.0,0.35,2.0
20.0,0.1,2.0
21.0,0.1,4.0
22.0,0.05,7.0
23.0,0.1,4.0
24.0,0.05,4.5
25.0,0.5,0.25
26.0,0.05,7.0
27.0,0.05,4.5
28.0,0.1,0.75
29.0,0.25,1.5
30.0,0.01,3.5
31.0,0.5,1.0
32.0,0.5,0.25
33.0,0.35,1.0
34.0,0.1,7.0
35.0,0.35,1.0
36.0,0.05,5.0
37.0,0.1,10.0
38.0,0.5,0.25
39.0,0.25,2.5
40.0,0.05,4.0
41.0,0.5,0.25
42.0,0.05,5.0
43.0,0.05,2.5
44.0,0.1,4.0
45.0,0.1,6.0
46.0,0.05,4.5
47.0,0.25,3.0
48.0,0.25,1.0
49.0,0.1,2.5
