D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,inf,0.5829562511426742,-137.79150467858463,-16.1460735763683,0,train,37.77777777777778,68.88888888888889,73.33333333333333,60.0,66.66666666666666,0.6733333333333333,-3.72157506872597,0.6733333333333333
0.005,inf,0.563755974230185,-137.6731262868683,-16.4368257488906,0,train,37.77777777777778,68.88888888888889,73.33333333333333,55.55555555555556,64.44444444444444,0.6644444444444444,-3.9097539329095996,0.6622222222222223
0.01,inf,0.5571440731751232,-137.54056564157125,-16.601764283607963,0,train,37.77777777777778,68.88888888888889,75.55555555555556,55.55555555555556,62.22222222222222,0.6633333333333333,-4.289615919949604,0.6588888888888889
0.05,inf,0.592046399430254,-137.07694434773788,-17.174704152802196,0,train,42.22222222222222,71.11111111111111,75.55555555555556,57.77777777777777,62.22222222222222,0.6722222222222223,-5.972005412664901,0.6766666666666666
0.1,inf,0.5933141782984923,-137.64187680246465,-17.747759503752864,0,train,42.22222222222222,66.66666666666666,71.11111111111111,60.0,62.22222222222222,0.6455555555555555,-6.572888613328769,0.6722222222222223
0.15,inf,0.5889024048333069,-138.45209047191804,-18.318089015501577,0,train,42.22222222222222,66.66666666666666,71.11111111111111,60.0,62.22222222222222,0.6433333333333333,-6.611064574558373,0.6688888888888889
0.25,inf,0.5913104692120281,-140.4555255680738,-19.295212676941823,0,train,40.0,66.66666666666666,68.88888888888889,60.0,62.22222222222222,0.6411111111111111,-6.258859407583766,0.6711111111111111
0.35,inf,0.5907418556051595,-142.65343768640037,-19.474461291076853,0,train,40.0,66.66666666666666,68.88888888888889,60.0,62.22222222222222,0.6411111111111111,-6.187391257097233,0.6666666666666666
0.5,inf,0.5823956268120554,-146.01640057458988,-19.62980550783556,0,train,40.0,66.66666666666666,68.88888888888889,57.77777777777777,60.0,0.6366666666666667,-5.556475985886189,0.66
0.0,,,,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846,,
0.001,inf,0.5019202619302643,-253.0916661613397,-0.23730496649157587,0,test,20.0,72.3076923076923,84.61538461538461,46.15384615384615,55.38461538461539,0.68,-11.348696424590994,0.6784615384615384
0.005,inf,0.5111955220672598,-252.34265997115304,-0.8043253644058356,0,test,21.53846153846154,70.76923076923077,86.15384615384616,47.69230769230769,58.46153846153847,0.683076923076923,-11.42601390132398,0.6807692307692308
0.01,inf,0.5125888457976631,-251.58177068156945,-1.184303890285966,0,test,21.53846153846154,72.3076923076923,87.6923076923077,47.69230769230769,58.46153846153847,0.6923076923076923,-11.7313226807326,0.6876923076923077
0.05,inf,0.5102512229732447,-249.2137779718006,-1.7659913613765446,0,test,23.076923076923077,70.76923076923077,84.61538461538461,50.76923076923077,58.46153846153847,0.6884615384615385,-14.005096590954022,0.6892307692307692
0.1,inf,0.5070693400706447,-249.02912116568734,-1.94214921057713,0,test,21.53846153846154,69.23076923076923,84.61538461538461,49.23076923076923,58.46153846153847,0.6761538461538461,-14.450587116419813,0.6823076923076923
0.15,inf,0.5100503341331518,-249.91068736596682,-2.114080081707538,0,test,21.53846153846154,69.23076923076923,84.61538461538461,49.23076923076923,58.46153846153847,0.6692307692307692,-14.132674646050074,0.6807692307692308
0.25,inf,0.5100503341331518,-252.793592400826,-2.4579418239683544,0,test,20.0,67.6923076923077,83.07692307692308,47.69230769230769,58.46153846153847,0.6576923076923077,-13.019672402081195,0.6807692307692308
0.35,inf,0.5045334110213302,-256.2613648922375,-2.6510018035886556,0,test,20.0,67.6923076923077,83.07692307692308,49.23076923076923,56.92307692307692,0.6553846153846153,-11.910825132043643,0.6792307692307692
0.5,inf,0.5018405029747143,-262.0777763979598,-2.869491204561241,0,test,20.0,66.15384615384615,83.07692307692308,47.69230769230769,56.92307692307692,0.6492307692307693,-10.02595753355043,0.6746153846153846
0.0,,,,,0,train,33.33333333333333,68.88888888888889,73.33333333333333,57.77777777777777,66.66666666666666,0.6733333333333333,,
0.001,inf,0.5170126720952161,-166.06979263924998,-8.430800352824868,1,train,22.22222222222222,75.55555555555556,84.44444444444444,51.11111111111111,60.0,0.6922222222222222,-5.930009686984228,0.6911111111111111
0.005,inf,0.5217847503479671,-165.60330195251447,-8.74959396223154,1,train,22.22222222222222,73.33333333333333,86.66666666666667,48.888888888888886,60.0,0.6888888888888889,-5.89463904300657,0.6888888888888889
0.01,inf,0.5277157942589751,-165.09503269834696,-8.798579970399294,1,train,22.22222222222222,75.55555555555556,86.66666666666667,48.888888888888886,62.22222222222222,0.7011111111111111,-6.09280591860037,0.7011111111111111
0.05,inf,0.5338009855132595,-163.29997314738333,-8.694173033188546,1,train,22.22222222222222,75.55555555555556,86.66666666666667,48.888888888888886,62.22222222222222,0.7055555555555556,-6.8367311621902775,0.7066666666666667
0.1,inf,0.5274505866393784,-163.07918983436653,-8.344649018050438,1,train,20.0,75.55555555555556,84.44444444444444,48.888888888888886,64.44444444444444,0.6966666666666667,-6.917849446354575,0.7033333333333334
0.15,inf,0.5281316004199678,-163.64302081068283,-7.961008277221041,1,train,20.0,75.55555555555556,84.44444444444444,48.888888888888886,64.44444444444444,0.6966666666666667,-6.7548970090327405,0.7044444444444444
0.25,inf,0.5351169173124775,-165.64954498413138,-7.193726795562244,1,train,22.22222222222222,75.55555555555556,84.44444444444444,53.333333333333336,64.44444444444444,0.6955555555555556,-6.182421735094133,0.7044444444444444
