D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,1.0205483803681052,0.5594991032511483,-137.82837434902342,-1.0,0,train,35.55555555555556,68.88888888888889,73.33333333333333,60.0,66.66666666666666,0.6733333333333333,-3.6815192108014165,0.6733333333333333
0.005,1.0205483803681052,0.5593915904611462,-137.86940267811127,-1.0,0,train,35.55555555555556,68.88888888888889,73.33333333333333,60.0,66.66666666666666,0.6722222222222223,-3.6658481107494096,0.6722222222222223
0.01,1.0205483803681052,0.5593915904611462,-137.9211651752467,-1.0,0,train,35.55555555555556,68.88888888888889,73.33333333333333,60.0,66.66666666666666,0.6722222222222223,-3.6466440300916783,0.6722222222222223
0.05,1.0205483803681052,0.5589210667598247,-138.3541090497156,-1.0,0,train,35.55555555555556,68.88888888888889,75.55555555555556,60.0,66.66666666666666,0.6755555555555556,-3.5646822742763216,0.6755555555555556
0.1,1.0205483803681052,0.5609425093473781,-138.941295219458,-1.0,0,train,35.55555555555556,71.11111111111111,75.55555555555556,57.77777777777777,68.88888888888889,0.6822222222222222,-3.5303025937645134,0.6822222222222222
0.15,1.0205483803681052,0.5642076323825673,-139.57798583847344,-1.0,0,train,35.55555555555556,71.11111111111111,77.77777777777779,57.77777777777777,66.66666666666666,0.6877777777777778,-3.5897625705523994,0.6877777777777778
0.25,1.0205483803681052,0.5757634525027864,-140.9949262259313,-1.0,0,train,37.77777777777778,71.11111111111111,80.0,57.77777777777777,66.66666666666666,0.6933333333333334,-3.8400743653900773,0.6933333333333334
0.35,1.0205483803681052,0.5830537382171901,-142.60107709838869,-1.0,0,train,37.77777777777778,71.11111111111111,80.0,57.77777777777777,64.44444444444444,0.6922222222222222,-4.198226792473576,0.6877777777777778
0.5,1.0205483803681052,0.6020219026992966,-145.39466002218325,-1.0,0,train,37.77777777777778,68.88888888888889,77.77777777777779,60.0,62.22222222222222,0.6755555555555556,-4.892678341196571,0.7
0.0,,,,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846,,
0.001,0.9793987263730011,0.4988946161464929,-166.18301441109716,-1.0,1,train,17.77777777777778,75.55555555555556,84.44444444444444,46.666666666666664,60.0,0.6844444444444444,-5.972543327466015,0.6844444444444444
0.005,0.9793987263730011,0.5004369936973012,-166.18069869963452,-1.0,1,train,17.77777777777778,75.55555555555556,84.44444444444444,46.666666666666664,60.0,0.6866666666666666,-5.905280485552282,0.6866666666666666
0.01,0.9793987263730011,0.5017569198699792,-166.17898398860413,-1.0,1,train,17.77777777777778,75.55555555555556,84.44444444444444,46.666666666666664,60.0,0.69,-5.831954707533986,0.69
0.05,0.9793987263730011,0.5148824122942774,-166.2115680880698,-1.0,1,train,20.0,75.55555555555556,86.66666666666667,46.666666666666664,62.22222222222222,0.7022222222222222,-5.596352645274796,0.7011111111111111
0.1,0.9793987263730011,0.5151770962986453,-166.3635381452757,-1.0,1,train,20.0,75.55555555555556,86.66666666666667,46.666666666666664,64.44444444444444,0.71,-5.617810665053107,0.7
0.15,0.9793987263730011,0.5021809649228713,-166.63172022371273,-1.0,1,train,20.0,75.55555555555556,84.44444444444444,46.666666666666664,64.44444444444444,0.7088888888888889,-5.7133782979163605,0.7033333333333334
0.25,0.9793987263730011,0.5001236761580495,-167.48935169007765,-1.0,1,train,20.0,75.55555555555556,84.44444444444444,46.666666666666664,66.66666666666666,0.7122222222222222,-5.957243119925481,0.7044444444444444
0.35,0.9793987263730011,0.49222649278733643,-168.74875919258764,-1.0,1,train,20.0,77.77777777777779,82.22222222222221,46.666666666666664,66.66666666666666,0.7022222222222222,-6.234179097646549,0.6922222222222222
0.5,0.9793987263730011,0.49118317466051065,-171.42760648157184,-1.0,1,train,22.22222222222222,77.77777777777779,80.0,48.888888888888886,64.44444444444444,0.6977777777777778,-6.682355235587868,0.6877777777777778
0.0,,,,,1,test,29.230769230769234,69.23076923076923,76.92307692307693,47.69230769230769,55.38461538461539,0.6446153846153846,,
0.001,1.0273040449231774,0.472852853959175,-184.32898808986934,-1.0,2,train,24.444444444444443,66.66666666666666,73.33333333333333,44.44444444444444,55.55555555555556,0.6233333333333333,-6.444727393256057,0.6233333333333333
0.005,1.0273040449231774,0.47274534116917283,-184.36013042504896,-1.0,2,train,24.444444444444443,66.66666666666666,73.33333333333333,44.44444444444444,55.55555555555556,0.6222222222222222,-6.403796932075054,0.6222222222222222
0.01,1.0273040449231774,0.48049235198110324,-184.39991320988773,-1.0,2,train,24.444444444444443,66.66666666666666,75.55555555555556,44.44444444444444,55.55555555555556,0.6322222222222222,-6.357058017158139,0.6322222222222222
0.05,1.0273040449231774,0.48348158242512596,-184.75156170952602,-1.0,2,train,24.444444444444443,66.66666666666666,75.55555555555556,46.666666666666664,57.77777777777777,0.6344444444444445,-6.109834704158249,0.6344444444444445
