D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,1.0205483803681052,0.5871405524041603,-137.82927962849422,-16.046792296632272,0,train,40.0,71.11111111111111,75.55555555555556,60.0,66.66666666666666,0.6933333333333334,-3.6833854475635803,0.6933333333333334
0.005,1.0205483803681052,0.5870330396141582,-137.87396188358304,-16.04075278180165,0,train,40.0,71.11111111111111,75.55555555555556,60.0,66.66666666666666,0.6922222222222222,-3.6751238790171867,0.6922222222222222
0.01,1.0205483803681052,0.5870330396141582,-137.93036531647968,-16.03320338826338,0,train,40.0,71.11111111111111,75.55555555555556,60.0,66.66666666666666,0.6922222222222222,-3.6646862397253184,0.6922222222222222
0.05,1.0205483803681052,0.5756392181541103,-138.41800670439616,-15.902138678604455,0,train,37.77777777777778,71.11111111111111,75.55555555555556,60.0,66.66666666666666,0.6888888888888889,-3.6145174977330656,0.6888888888888889
0.1,1.0205483803681052,0.5829622887296685,-139.0667271382991,-15.622876945064053,0,train,37.77777777777778,71.11111111111111,80.0,60.0,66.66666666666666,0.6933333333333334,-3.6396269901729674,0.6933333333333334
0.15,1.0205483803681052,0.5935841610107981,-139.75313340153699,-15.238216449203765,0,train,37.77777777777778,71.11111111111111,84.44444444444444,60.0,66.66666666666666,0.7011111111111111,-3.7048974386969364,0.7011111111111111
0.25,1.0205483803681052,0.600235057540615,-141.31123815524143,-14.266136344894742,0,train,40.0,73.33333333333333,82.22222222222221,60.0,66.66666666666666,0.7166666666666667,-3.9282386179085256,0.7166666666666667
0.35,1.0205483803681052,0.5937866804865602,-143.03363280408828,-13.085282183724669,0,train,40.0,73.33333333333333,80.0,60.0,64.44444444444444,0.7133333333333334,-4.343377569869951,0.7133333333333334
0.5,1.0205483803681052,0.6139865089203336,-146.02900176778897,-11.157957799860247,0,train,44.44444444444444,77.77777777777779,80.0,60.0,64.44444444444444,0.7244444444444444,-5.008692285428022,0.7244444444444444
0.0,,,,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846,,
0.001,0.9793987263730011,0.5056805185860943,-166.18481141419764,-8.28290472273094,1,train,20.0,73.33333333333333,82.22222222222221,44.44444444444444,62.22222222222222,0.6833333333333333,-5.968537719166753,0.6833333333333333
0.005,0.9793987263730011,0.5212367814162293,-166.1923687889225,-8.33884671611462,1,train,20.0,75.55555555555556,84.44444444444444,46.666666666666664,64.44444444444444,0.7077777777777777,-5.904224142605653,0.7077777777777777
0.01,0.9793987263730011,0.5218314422373539,-166.22603993947678,-8.400186604412205,1,train,20.0,75.55555555555556,84.44444444444444,46.666666666666664,64.44444444444444,0.7088888888888889,-5.832347097781439,0.7088888888888889
0.05,0.9793987263730011,0.5002998896918731,-166.55949797422298,-8.45289730378061,1,train,17.77777777777778,73.33333333333333,86.66666666666667,42.22222222222222,64.44444444444444,0.7022222222222222,-5.708767753588306,0.7022222222222222
0.1,0.9793987263730011,0.5129445135279992,-167.0350132785652,-8.322359633607409,1,train,20.0,73.33333333333333,86.66666666666667,44.44444444444444,62.22222222222222,0.7033333333333334,-5.702229853772673,0.7033333333333334
0.15,0.9793987263730011,0.5011658140492272,-167.60724959583678,-8.131103189765843,1,train,17.77777777777778,75.55555555555556,86.66666666666667,44.44444444444444,62.22222222222222,0.6988888888888889,-5.728485442225827,0.6977777777777778
0.25,0.9793987263730011,0.49403862071592286,-169.13795883032228,-7.6779697545221595,1,train,17.77777777777778,73.33333333333333,84.44444444444444,44.44444444444444,62.22222222222222,0.6877777777777778,-5.802124218756827,0.6922222222222222
0.35,0.9793987263730011,0.48138369950348625,-171.02023307884158,-7.14700335699092,1,train,17.77777777777778,71.11111111111111,82.22222222222221,42.22222222222222,55.55555555555556,0.6633333333333333,-5.809855017466502,0.6633333333333333
0.5,0.9793987263730011,0.4532251752396055,-174.61101351296938,-6.219272954048131,1,train,17.77777777777778,68.88888888888889,75.55555555555556,40.0,53.333333333333336,0.6311111111111111,-5.908403969652858,0.6344444444444445
0.0,,,,,1,test,29.230769230769234,69.23076923076923,76.92307692307693,47.69230769230769,55.38461538461539,0.6446153846153846,,
0.001,1.0273040449231774,0.48236384734917565,-184.33294515574423,-0.01966511858549391,2,train,22.22222222222222,71.11111111111111,77.77777777777779,44.44444444444444,55.55555555555556,0.6533333333333333,-6.449239681152178,0.6533333333333333
