D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,0.9687836928041448,-3.6786435136473417,-0.025420530133681882,0,train,17.307692307692307,71.15384615384616,84.61538461538461,32.69230769230769,44.230769230769226,0.6173076923076923
0.005,0.9687836928041448,-3.650498553237731,-0.11623624827119607,0,train,17.307692307692307,71.15384615384616,84.61538461538461,32.69230769230769,44.230769230769226,0.6230769230769231
0.01,0.9687836928041448,-3.6369119493765667,-0.2068242080459555,0,train,17.307692307692307,73.07692307692307,82.6923076923077,32.69230769230769,44.230769230769226,0.6259615384615385
0.05,0.9687836928041448,-3.6919928413079384,-0.675873488453496,0,train,15.384615384615385,71.15384615384616,84.61538461538461,32.69230769230769,51.92307692307693,0.6288461538461538
0.1,0.9687836928041448,-3.8422749480366445,-1.0214789595109903,0,train,15.384615384615385,69.23076923076923,82.6923076923077,32.69230769230769,46.15384615384615,0.6076923076923076
0.15,0.9687836928041448,-3.9813454954751526,-1.258633599629879,0,train,15.384615384615385,65.38461538461539,80.76923076923077,34.61538461538461,46.15384615384615,0.5990384615384615
0.25,0.9687836928041448,-4.194317378867265,-1.5663532664622275,0,train,17.307692307692307,63.46153846153846,78.84615384615384,32.69230769230769,44.230769230769226,0.5894230769230769
0.35,0.9687836928041448,-4.283814991252646,-1.740910617296709,0,train,15.384615384615385,63.46153846153846,76.92307692307693,30.76923076923077,44.230769230769226,0.5769230769230769
0.5,0.9687836928041448,-4.220584977924191,-1.8152324742188368,0,train,15.384615384615385,61.53846153846154,75.0,28.846153846153843,42.30769230769231,0.5548076923076923
0.0,,,,0,test,29.333333333333332,50.66666666666667,58.666666666666664,40.0,45.33333333333333,0.498
0.001,0.9687836928041448,-4.0916041324204,-0.02880010906989265,1,train,21.153846153846153,55.769230769230774,71.15384615384616,34.61538461538461,44.230769230769226,0.5384615384615384
0.005,0.9687836928041448,-4.051455287275801,-0.13745116806790802,1,train,21.153846153846153,55.769230769230774,73.07692307692307,34.61538461538461,44.230769230769226,0.5403846153846154
0.01,0.9687836928041448,-4.011162998054737,-0.2625191027252976,1,train,23.076923076923077,53.84615384615385,73.07692307692307,34.61538461538461,46.15384615384615,0.5394230769230769
0.05,0.9687836928041448,-3.976008899516402,-0.8772144627077425,1,train,25.0,57.692307692307686,71.15384615384616,36.53846153846153,42.30769230769231,0.5336538461538461
0.1,0.9687836928041448,-4.137638752800374,-1.2390192270674814,1,train,25.0,57.692307692307686,69.23076923076923,34.61538461538461,42.30769230769231,0.5346153846153846
0.15,0.9687836928041448,-4.308304784879093,-1.4666874515774173,1,train,23.076923076923077,55.769230769230774,69.23076923076923,32.69230769230769,42.30769230769231,0.5269230769230769
0.25,0.9687836928041448,-4.554726252496687,-1.7529023884725483,1,train,21.153846153846153,51.92307692307693,67.3076923076923,32.69230769230769,42.30769230769231,0.510576923076923
0.35,0.9687836928041448,-4.681034925528149,-1.9003225251510298,1,train,19.230769230769234,51.92307692307693,65.38461538461539,28.846153846153843,40.38461538461539,0.4951923076923077
0.5,0.9687836928041448,-4.660901754540643,-1.9511951840045585,1,train,17.307692307692307,48.07692307692308,65.38461538461539,25.0,32.69230769230769,0.44903846153846155
0.0,,,,1,test,26.666666666666668,62.66666666666667,68.0,38.666666666666664,45.33333333333333,0.5533333333333333
0.001,0.9687836928041448,-4.973258647388388,-0.043870892170707235,2,train,17.307692307692307,50.0,63.46153846153846,30.76923076923077,40.38461538461539,0.47692307692307695
0.005,0.9687836928041448,-4.885087430377123,-0.20528688958148464,2,train,17.307692307692307,50.0,65.38461538461539,30.76923076923077,40.38461538461539,0.4855769230769231
0.01,0.9687836928041448,-4.795153656257985,-0.3854008048147108,2,train,19.230769230769234,51.92307692307693,65.38461538461539,30.76923076923077,40.38461538461539,0.4951923076923077
0.05,0.9687836928041448,-4.645308728435561,-1.1737189415040516,2,train,19.230769230769234,53.84615384615385,61.53846153846154,30.76923076923077,40.38461538461539,0.49903846153846154
0.1,0.9687836928041448,-4.739481000510234,-1.5786534872662976,2,train,17.307692307692307,51.92307692307693,61.53846153846154,30.76923076923077,42.30769230769231,0.4826923076923077
0.15,0.9687836928041448,-4.859484197471908,-1.801708070795864,2,train,17.307692307692307,50.0,57.692307692307686,28.846153846153843,42.30769230769231,0.47307692307692306
0.25,0.9687836928041448,-5.043530175314019,-2.040030910531691,2,train,15.384615384615385,48.07692307692308,55.769230769230774,30.76923076923077,38.46153846153847,0.45
0.35,0.9687836928041448,-5.104815298794045,-2.124008262448,2,train,11.538461538461538,44.230769230769226,53.84615384615385,23.076923076923077,36.53846153846153,0.4221153846153846
0.5,0.9687836928041448,-4.994938536528147,-2.0686833391624737,2,train,13.461538461538462,42.30769230769231,53.84615384615385,25.0,30.76923076923077,0.39134615384615384
0.0,,,,2,test,29.333333333333332,65.33333333333333,74.66666666666667,41.333333333333336,48.0,0.596
0.001,0.9687836928041448,-5.148188841357711,-0.03236844216690949,3,train,17.307692307692307,50.0,69.23076923076923,26.923076923076923,36.53846153846153,0.4798076923076923
0.005,0.9687836928041448,-5.078120151449537,-0.1469460960147003,3,train,17.307692307692307,50.0,69.23076923076923,26.923076923076923,36.53846153846153,0.4807692307692308
0.01,0.9687836928041448,-5.012373656691436,-0.2679969247897793,3,train,19.230769230769234,50.0,69.23076923076923,26.923076923076923,36.53846153846153,0.4855769230769231
0.05,0.9687836928041448,-4.8363056573681575,-0.8417830683287243,3,train,19.230769230769234,55.769230769230774,65.38461538461539,26.923076923076923,34.61538461538461,0.4855769230769231
0.1,0.9687836928041448,-4.820165673909443,-1.180489270964076,3,train,21.153846153846153,51.92307692307693,65.38461538461539,26.923076923076923,36.53846153846153,0.48173076923076924
0.15,0.9687836928041448,-4.808026872933588,-1.3987659871630744,3,train,21.153846153846153,53.84615384615385,63.46153846153846,28.846153846153843,36.53846153846153,0.4778846153846154
0.25,0.9687836928041448,-4.763735998430613,-1.6561464173370954,3,train,21.153846153846153,50.0,63.46153846153846,28.846153846153843,36.53846153846153,0.4875
0.35,0.9687836928041448,-4.6618432941386185,-1.7813367111796317,3,train,21.153846153846153,50.0,63.46153846153846,32.69230769230769,38.46153846153847,0.48653846153846153
0.5,0.9687836928041448,-4.350958611381958,-1.8140375146205625,3,train,21.153846153846153,50.0,63.46153846153846,32.69230769230769,38.46153846153847,0.4855769230769231
0.0,,,,3,test,29.333333333333332,65.33333333333333,70.66666666666667,44.0,50.66666666666667,0.594
0.001,0.9687836928041448,-3.312964379315024,-0.02509041520677547,4,train,23.076923076923077,61.53846153846154,73.07692307692307,42.30769230769231,48.07692307692308,0.5634615384615385
0.005,0.9687836928041448,-3.294149940134089,-0.11348058740518525,4,train,23.076923076923077,61.53846153846154,73.07692307692307,42.30769230769231,48.07692307692308,0.5711538461538461
0.01,0.9687836928041448,-3.283985251038332,-0.2089574491428593,4,train,25.0,63.46153846153846,73.07692307692307,42.30769230769231,46.15384615384615,0.5798076923076924
0.05,0.9687836928041448,-3.3712264856328362,-0.7418233781098886,4,train,23.076923076923077,63.46153846153846,73.07692307692307,48.07692307692308,51.92307692307693,0.5932692307692308
0.1,0.9687836928041448,-3.57470524696491,-1.135606833310101,4,train,25.0,61.53846153846154,73.07692307692307,44.230769230769226,50.0,0.5817307692307693
0.15,0.9687836928041448,-3.7815775830831972,-1.4001023223300217,4,train,23.076923076923077,59.61538461538461,73.07692307692307,42.30769230769231,50.0,0.5711538461538461
0.25,0.9687836928041448,-4.136567467164123,-1.7469612214831847,4,train,25.0,59.61538461538461,67.3076923076923,38.46153846153847,48.07692307692308,0.5567307692307693
0.35,0.9687836928041448,-4.4104582832814385,-1.9475153494574733,4,train,21.153846153846153,59.61538461538461,65.38461538461539,36.53846153846153,48.07692307692308,0.5365384615384615
0.5,0.9687836928041448,-4.534962324437127,-2.0527594866315515,4,train,15.384615384615385,55.769230769230774,61.53846153846154,28.846153846153843,46.15384615384615,0.5028846153846154
0.0,,,,4,test,25.333333333333336,58.666666666666664,68.0,33.33333333333333,42.66666666666667,0.5373333333333333
0.001,0.9687836928041448,-3.3679324321411497,-0.040163664413314655,5,train,26.923076923076923,69.23076923076923,75.0,40.38461538461539,51.92307692307693,0.6163461538461539
0.005,0.9687836928041448,-3.3124836214681315,-0.1726039505949433,5,train,26.923076923076923,69.23076923076923,76.92307692307693,40.38461538461539,51.92307692307693,0.6278846153846154
0.01,0.9687836928041448,-3.27725020931948,-0.3001090636576649,5,train,28.846153846153843,71.15384615384616,76.92307692307693,40.38461538461539,53.84615384615385,0.6442307692307693
0.05,0.9687836928041448,-3.3412210771705526,-0.8683750411958306,5,train,26.923076923076923,73.07692307692307,76.92307692307693,42.30769230769231,57.692307692307686,0.6509615384615385
0.1,0.9687836928041448,-3.5647436440291695,-1.2231274145485578,5,train,25.0,69.23076923076923,76.92307692307693,46.15384615384615,55.769230769230774,0.6403846153846153
0.15,0.9687836928041448,-3.74892943669044,-1.4572526913092996,5,train,26.923076923076923,69.23076923076923,73.07692307692307,44.230769230769226,53.84615384615385,0.6182692307692308
0.25,0.9687836928041448,-4.029724622890469,-1.7342229363456374,5,train,25.0,69.23076923076923,69.23076923076923,42.30769230769231,50.0,0.6038461538461538
