D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,0.9687836928041448,-287.22181436542076,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,34.61538461538461,42.30769230769231,0.49230769230769234
0.005,0.9687836928041448,-287.2114882332087,-1.0,0,train,17.307692307692307,51.92307692307693,61.53846153846154,34.61538461538461,42.30769230769231,0.49230769230769234
0.01,0.9687836928041448,-287.20101764499526,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,34.61538461538461,44.230769230769226,0.4894230769230769
0.05,0.9687836928041448,-287.21650057067706,-1.0,0,train,17.307692307692307,53.84615384615385,63.46153846153846,32.69230769230769,42.30769230769231,0.4971153846153846
0.1,0.9687836928041448,-287.48166980404545,-1.0,0,train,17.307692307692307,55.769230769230774,65.38461538461539,32.69230769230769,44.230769230769226,0.5125
0.15,0.9687836928041448,-287.9984122330908,-1.0,0,train,15.384615384615385,50.0,63.46153846153846,32.69230769230769,42.30769230769231,0.5009615384615385
0.25,0.9687836928041448,-289.6623826664834,-1.0,0,train,15.384615384615385,48.07692307692308,61.53846153846154,30.76923076923077,40.38461538461539,0.4798076923076923
0.35,0.9687836928041448,-292.0002433433879,-1.0,0,train,15.384615384615385,48.07692307692308,59.61538461538461,30.76923076923077,38.46153846153847,0.4576923076923077
0.5,0.9687836928041448,-296.519450034254,-1.0,0,train,13.461538461538462,46.15384615384615,53.84615384615385,25.0,38.46153846153847,0.4307692307692308
0.0,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334
0.001,0.9687836928041448,-294.20431848656415,-1.0,1,train,13.461538461538462,42.30769230769231,50.0,19.230769230769234,30.76923076923077,0.39134615384615384
0.005,0.9687836928041448,-294.19561315081,-1.0,1,train,13.461538461538462,42.30769230769231,51.92307692307693,19.230769230769234,28.846153846153843,0.3894230769230769
0.01,0.9687836928041448,-294.18728215286916,-1.0,1,train,13.461538461538462,46.15384615384615,51.92307692307693,19.230769230769234,28.846153846153843,0.39615384615384613
0.05,0.9687836928041448,-294.22067884638057,-1.0,1,train,11.538461538461538,48.07692307692308,57.692307692307686,19.230769230769234,34.61538461538461,0.42788461538461536
0.1,0.9687836928041448,-294.49686835210946,-1.0,1,train,7.6923076923076925,46.15384615384615,55.769230769230774,17.307692307692307,32.69230769230769,0.4269230769230769
0.15,0.9687836928041448,-295.00116168614426,-1.0,1,train,9.615384615384617,48.07692307692308,55.769230769230774,17.307692307692307,30.76923076923077,0.4326923076923077
0.25,0.9687836928041448,-296.5665922788867,-1.0,1,train,7.6923076923076925,42.30769230769231,53.84615384615385,17.307692307692307,25.0,0.38269230769230766
0.35,0.9687836928041448,-298.72927012383076,-1.0,1,train,7.6923076923076925,36.53846153846153,48.07692307692308,17.307692307692307,25.0,0.34326923076923077
0.5,0.9687836928041448,-302.89937377196895,-1.0,1,train,7.6923076923076925,36.53846153846153,46.15384615384615,17.307692307692307,23.076923076923077,0.3423076923076923
