D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,0.9687836928041448,-14.816968457092495,-8.39473125059023,0,train,19.35483870967742,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5725806451612904
0.005,0.9687836928041448,-14.748191199399903,-8.431200609718616,0,train,19.35483870967742,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5758064516129032
0.01,0.9687836928041448,-14.66943748716162,-8.466269943014462,0,train,16.129032258064516,61.29032258064516,74.19354838709677,38.70967741935484,51.61290322580645,0.5774193548387097
0.05,0.9687836928041448,-14.13154093223771,-8.603997300619655,0,train,9.67741935483871,61.29032258064516,77.41935483870968,35.483870967741936,54.83870967741935,0.5887096774193549
0.1,0.9687836928041448,-13.724870455354901,-8.479607510611737,0,train,9.67741935483871,64.51612903225806,77.41935483870968,32.25806451612903,48.38709677419355,0.5951612903225807
0.15,0.9687836928041448,-13.355475114885245,-8.252680292298214,0,train,9.67741935483871,61.29032258064516,74.19354838709677,32.25806451612903,48.38709677419355,0.5709677419354838
0.25,0.9687836928041448,-12.5177059948837,-7.660000038273369,0,train,6.451612903225806,58.06451612903226,74.19354838709677,32.25806451612903,45.16129032258064,0.5516129032258065
0.35,0.9687836928041448,-11.53829910866428,-6.9726462596936605,0,train,6.451612903225806,58.06451612903226,70.96774193548387,32.25806451612903,48.38709677419355,0.5387096774193548
0.5,0.9687836928041448,-9.97504713239712,-5.808330224620939,0,train,9.67741935483871,51.61290322580645,67.74193548387096,38.70967741935484,48.38709677419355,0.5306451612903226
0.0,,,,0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493
0.001,0.9687836928041448,-2.0674494176023313,-0.019122240810078007,1,train,12.903225806451612,61.29032258064516,70.96774193548387,41.935483870967744,51.61290322580645,0.5919354838709677
0.005,0.9687836928041448,-2.0274608875773765,-0.08220174093992244,1,train,12.903225806451612,61.29032258064516,70.96774193548387,41.935483870967744,51.61290322580645,0.5919354838709677
0.01,0.9687836928041448,-1.9952350136763908,-0.1418027832893852,1,train,12.903225806451612,64.51612903225806,74.19354838709677,41.935483870967744,54.83870967741935,0.6080645161290322
0.05,0.9687836928041448,-1.8784562335255846,-0.47423561800701036,1,train,16.129032258064516,64.51612903225806,74.19354838709677,41.935483870967744,54.83870967741935,0.6225806451612903
0.1,0.9687836928041448,-1.866826631494289,-0.7295142308756071,1,train,16.129032258064516,67.74193548387096,77.41935483870968,45.16129032258064,54.83870967741935,0.6387096774193548
0.15,0.9687836928041448,-1.9201988949171918,-0.9073514427197031,1,train,19.35483870967742,67.74193548387096,77.41935483870968,45.16129032258064,58.06451612903226,0.6419354838709678
0.25,0.9687836928041448,-2.098199659856093,-1.1523618548401606,1,train,22.58064516129032,67.74193548387096,77.41935483870968,41.935483870967744,54.83870967741935,0.6483870967741936
0.35,0.9687836928041448,-2.2748206187800126,-1.3102494094215227,1,train,22.58064516129032,67.74193548387096,77.41935483870968,41.935483870967744,54.83870967741935,0.6209677419354839
0.5,0.9687836928041448,-2.485162097966554,-1.4339958937652826,1,train,19.35483870967742,64.51612903225806,70.96774193548387,41.935483870967744,58.06451612903226,0.6064516129032258
0.0,,,,1,test,10.0,56.00000000000001,66.0,28.000000000000004,44.0,0.498
0.001,0.9687836928041448,-13.748338364796144,-0.013231939048563101,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.48870967741935484
0.005,0.9687836928041448,-13.683994347290824,-0.06146584118774556,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.49032258064516127
0.01,0.9687836928041448,-13.613810284860692,-0.10925935409848632,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.49032258064516127
0.05,0.9687836928041448,-13.123319483228077,-0.3699424743095837,2,train,22.58064516129032,54.83870967741935,58.06451612903226,35.483870967741936,45.16129032258064,0.5016129032258064
0.1,0.9687836928041448,-12.611633283086068,-0.5628411726618663,2,train,22.58064516129032,54.83870967741935,61.29032258064516,35.483870967741936,45.16129032258064,0.5129032258064516
0.15,0.9687836928041448,-12.107317387911301,-0.7038671251279955,2,train,22.58064516129032,58.06451612903226,61.29032258064516,35.483870967741936,41.935483870967744,0.5209677419354839
0.25,0.9687836928041448,-11.068304347251813,-0.9189833597255158,2,train,16.129032258064516,58.06451612903226,61.29032258064516,35.483870967741936,41.935483870967744,0.5161290322580645
0.35,0.9687836928041448,-10.020848028247704,-1.049355125324769,2,train,16.129032258064516,58.06451612903226,61.29032258064516,35.483870967741936,41.935483870967744,0.5145161290322581
