D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,0.9687836928041448,-151.6782971374249,-1.0,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5693548387096774
0.005,0.9687836928041448,-151.6538818533981,-1.0,0,train,12.903225806451612,61.29032258064516,70.96774193548387,38.70967741935484,54.83870967741935,0.5693548387096774
0.01,0.9687836928041448,-151.62463223322052,-1.0,0,train,9.67741935483871,61.29032258064516,74.19354838709677,38.70967741935484,51.61290322580645,0.5709677419354838
0.05,0.9687836928041448,-151.44048233652006,-1.0,0,train,9.67741935483871,61.29032258064516,77.41935483870968,38.70967741935484,54.83870967741935,0.5919354838709677
0.1,0.9687836928041448,-151.32940977547574,-1.0,0,train,9.67741935483871,67.74193548387096,77.41935483870968,35.483870967741936,48.38709677419355,0.5967741935483871
0.15,0.9687836928041448,-151.34054060634583,-1.0,0,train,9.67741935483871,61.29032258064516,77.41935483870968,35.483870967741936,48.38709677419355,0.5725806451612904
0.25,0.9687836928041448,-151.69184215452307,-1.0,0,train,9.67741935483871,54.83870967741935,70.96774193548387,38.70967741935484,48.38709677419355,0.5483870967741935
0.35,0.9687836928041448,-152.446496825028,-1.0,0,train,12.903225806451612,54.83870967741935,67.74193548387096,38.70967741935484,48.38709677419355,0.5451612903225806
0.5,0.9687836928041448,-154.34895390361476,-1.0,0,train,12.903225806451612,54.83870967741935,67.74193548387096,38.70967741935484,48.38709677419355,0.5306451612903226
0.0,,,,0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493
0.001,0.9687836928041448,-143.02626722483762,-1.0,1,train,16.129032258064516,61.29032258064516,70.96774193548387,41.935483870967744,48.38709677419355,0.5887096774193549
0.005,0.9687836928041448,-143.02353906443483,-1.0,1,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,51.61290322580645,0.6016129032258064
0.01,0.9687836928041448,-143.02173435698822,-1.0,1,train,16.129032258064516,64.51612903225806,70.96774193548387,41.935483870967744,51.61290322580645,0.6016129032258064
0.05,0.9687836928041448,-143.069816132315,-1.0,1,train,16.129032258064516,67.74193548387096,74.19354838709677,45.16129032258064,51.61290322580645,0.6112903225806452
0.1,0.9687836928041448,-143.27622984181158,-1.0,1,train,16.129032258064516,70.96774193548387,74.19354838709677,41.935483870967744,48.38709677419355,0.6209677419354839
0.15,0.9687836928041448,-143.6289553069724,-1.0,1,train,16.129032258064516,64.51612903225806,74.19354838709677,41.935483870967744,51.61290322580645,0.6161290322580645
0.25,0.9687836928041448,-144.72759044162945,-1.0,1,train,19.35483870967742,64.51612903225806,70.96774193548387,38.70967741935484,51.61290322580645,0.5919354838709677
0.35,0.9687836928041448,-146.3295526657778,-1.0,1,train,19.35483870967742,61.29032258064516,74.19354838709677,38.70967741935484,48.38709677419355,0.567741935483871
0.5,0.9687836928041448,-149.7337791424171,-1.0,1,train,12.903225806451612,58.06451612903226,67.74193548387096,38.70967741935484,48.38709677419355,0.5532258064516129
0.0,,,,1,test,10.0,56.00000000000001,66.0,28.000000000000004,44.0,0.498
0.001,0.9687836928041448,-150.00704428130425,-1.0,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.48870967741935484
0.005,0.9687836928041448,-149.97768074150255,-1.0,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.49032258064516127
0.01,0.9687836928041448,-149.94196008218037,-1.0,2,train,19.35483870967742,54.83870967741935,58.06451612903226,32.25806451612903,41.935483870967744,0.49032258064516127
0.05,0.9687836928041448,-149.69429303687608,-1.0,2,train,19.35483870967742,54.83870967741935,58.06451612903226,41.935483870967744,45.16129032258064,0.5129032258064516
0.1,0.9687836928041448,-149.47455946615534,-1.0,2,train,19.35483870967742,58.06451612903226,61.29032258064516,35.483870967741936,41.935483870967744,0.5209677419354839
0.15,0.9687836928041448,-149.3474394100242,-1.0,2,train,19.35483870967742,58.06451612903226,61.29032258064516,35.483870967741936,41.935483870967744,0.5177419354838709
0.25,0.9687836928041448,-149.35183019111247,-1.0,2,train,19.35483870967742,54.83870967741935,61.29032258064516,35.483870967741936,41.935483870967744,0.5064516129032258
0.35,0.9687836928041448,-149.69547390967617,-1.0,2,train,19.35483870967742,48.38709677419355,54.83870967741935,35.483870967741936,38.70967741935484,0.4661290322580645
0.5,0.9687836928041448,-150.94588474007702,-1.0,2,train,19.35483870967742,51.61290322580645,58.06451612903226,32.25806451612903,38.70967741935484,0.4806451612903226
0.0,,,,2,test,8.0,62.0,76.0,32.0,50.0,0.564
0.001,0.9687836928041448,-140.9599472282686,-1.0,3,train,9.67741935483871,67.74193548387096,74.19354838709677,32.25806451612903,51.61290322580645,0.5951612903225807
0.005,0.9687836928041448,-140.95709662956097,-1.0,3,train,9.67741935483871,67.74193548387096,74.19354838709677,32.25806451612903,51.61290322580645,0.5935483870967742
0.01,0.9687836928041448,-140.9547392508188,-1.0,3,train,12.903225806451612,67.74193548387096,74.19354838709677,32.25806451612903,51.61290322580645,0.5951612903225807
0.05,0.9687836928041448,-140.98220742494925,-1.0,3,train,16.129032258064516,67.74193548387096,74.19354838709677,35.483870967741936,51.61290322580645,0.5967741935483871
