D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,0.9687836928041448,-8.699167655030159,-0.032603732502987925,0,train,15.384615384615385,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.48846153846153845
0.005,0.9687836928041448,-8.654740301256226,-0.12317087069414656,0,train,15.384615384615385,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4875
0.01,0.9687836928041448,-8.609953151674008,-0.21994487909533708,0,train,15.384615384615385,51.92307692307693,57.692307692307686,32.69230769230769,42.30769230769231,0.48365384615384616
0.05,0.9687836928041448,-8.445182084142969,-0.6931098272875824,0,train,19.230769230769234,51.92307692307693,59.61538461538461,30.76923076923077,40.38461538461539,0.48173076923076924
0.1,0.9687836928041448,-8.395324453589156,-1.033719544132137,0,train,17.307692307692307,51.92307692307693,59.61538461538461,30.76923076923077,40.38461538461539,0.4846153846153846
0.15,0.9687836928041448,-8.309050932535357,-1.2995794587930836,0,train,17.307692307692307,51.92307692307693,61.53846153846154,30.76923076923077,42.30769230769231,0.48365384615384616
0.25,0.9687836928041448,-7.972812505981694,-1.7057066536751262,0,train,17.307692307692307,48.07692307692308,61.53846153846154,30.76923076923077,40.38461538461539,0.46826923076923077
0.35,0.9687836928041448,-7.570942790571659,-1.9515089996867594,0,train,17.307692307692307,46.15384615384615,61.53846153846154,30.76923076923077,36.53846153846153,0.45576923076923076
0.5,0.9687836928041448,-6.711220256620622,-2.1213487130885498,0,train,17.307692307692307,46.15384615384615,57.692307692307686,30.76923076923077,38.46153846153847,0.45
0.0,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334
0.001,0.9687836928041448,-9.05775451712489,-0.029467343731636675,1,train,13.461538461538462,42.30769230769231,50.0,21.153846153846153,30.76923076923077,0.3923076923076923
0.005,0.9687836928041448,-8.999021723827283,-0.1383760201954555,1,train,13.461538461538462,42.30769230769231,53.84615384615385,21.153846153846153,28.846153846153843,0.39134615384615384
0.01,0.9687836928041448,-8.944903489399389,-0.2601875131157661,1,train,13.461538461538462,42.30769230769231,53.84615384615385,21.153846153846153,28.846153846153843,0.3923076923076923
