D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,0.9687836928041448,-8.69711377809113,-0.03429402024888428,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769
0.005,0.9687836928041448,-8.636701562803356,-0.1388175644422562,0,train,17.307692307692307,50.0,61.53846153846154,32.69230769230769,42.30769230769231,0.4913461538461538
0.01,0.9687836928041448,-8.585188712465822,-0.24411046839177145,0,train,17.307692307692307,51.92307692307693,61.53846153846154,32.69230769230769,42.30769230769231,0.4894230769230769
0.05,0.9687836928041448,-8.415716844048896,-0.7429258655581904,0,train,17.307692307692307,51.92307692307693,59.61538461538461,30.76923076923077,42.30769230769231,0.4913461538461538
0.1,0.9687836928041448,-8.32402484134397,-1.1324117033634997,0,train,17.307692307692307,55.769230769230774,59.61538461538461,30.76923076923077,44.230769230769226,0.49615384615384617
0.15,0.9687836928041448,-8.225859811815356,-1.433390623395528,0,train,17.307692307692307,53.84615384615385,61.53846153846154,30.76923076923077,44.230769230769226,0.5028846153846154
0.25,0.9687836928041448,-7.9356077595847285,-1.8737686371593152,0,train,17.307692307692307,53.84615384615385,63.46153846153846,32.69230769230769,42.30769230769231,0.5028846153846154
0.35,0.9687836928041448,-7.537258160421778,-2.1330834329503188,0,train,15.384615384615385,50.0,63.46153846153846,32.69230769230769,42.30769230769231,0.5009615384615385
0.5,0.9687836928041448,-6.772541769071036,-2.2607015936444985,0,train,15.384615384615385,50.0,61.53846153846154,30.76923076923077,40.38461538461539,0.4807692307692308
0.0,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334
0.001,0.9687836928041448,-14.16261745192103,-0.06921896444717367,0,test,9.333333333333334,48.0,57.333333333333336,20.0,33.33333333333333,0.42933333333333334
0.005,0.9687836928041448,-13.997097014276473,-0.29878923726265366,0,test,9.333333333333334,48.0,57.333333333333336,20.0,32.0,0.42933333333333334
0.01,0.9687836928041448,-13.857453133893847,-0.5145552650553609,0,test,9.333333333333334,50.66666666666667,58.666666666666664,22.666666666666664,32.0,0.43533333333333335
0.05,0.9687836928041448,-13.376827624833767,-1.5389037773130685,0,test,10.666666666666668,52.0,62.66666666666667,25.333333333333336,36.0,0.4653333333333333
0.1,0.9687836928041448,-13.109963816489195,-2.249310215188131,0,test,10.666666666666668,53.333333333333336,62.66666666666667,26.666666666666668,37.333333333333336,0.47733333333333333
0.15,0.9687836928041448,-12.89855791191179,-2.722150348964959,0,test,12.0,54.666666666666664,62.66666666666667,28.000000000000004,40.0,0.48933333333333334
0.25,0.9687836928041448,-12.512373616653345,-3.2916774635378285,0,test,13.333333333333334,53.333333333333336,62.66666666666667,29.333333333333332,42.66666666666667,0.49333333333333335
0.35,0.9687836928041448,-12.095877973728957,-3.570257560128274,0,test,13.333333333333334,53.333333333333336,64.0,29.333333333333332,42.66666666666667,0.498
0.5,0.9687836928041448,-11.204555876731735,-3.6500710917592816,0,test,12.0,49.333333333333336,65.33333333333333,25.333333333333336,38.666666666666664,0.4713333333333333
0.0,,,,0,train,15.384615384615385,50.0,61.53846153846154,30.76923076923077,42.30769230769231,0.48846153846153845
