D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,inf,-5.80940381678546,-0.18531790541579843,0,train,16.0,74.0,82.0,44.0,56.00000000000001,0.661
0.005,inf,-5.833559879790125,-0.5395999616168901,0,train,16.0,74.0,82.0,48.0,57.99999999999999,0.667
0.01,inf,-5.964891949789285,-0.7197866077205395,0,train,22.0,74.0,80.0,50.0,62.0,0.67
0.05,inf,-6.626203603318284,-0.902304954039897,0,train,26.0,74.0,82.0,50.0,60.0,0.674
0.1,inf,-6.768564345124118,-0.8801169448476913,0,train,26.0,72.0,80.0,54.0,60.0,0.669
0.15,inf,-6.608993173642545,-0.851209276843948,0,train,26.0,72.0,80.0,52.0,57.99999999999999,0.663
0.25,inf,-6.062532455905346,-0.7933939408364626,0,train,28.000000000000004,72.0,80.0,52.0,57.99999999999999,0.66
0.35,inf,-5.460902261522065,-0.7355786048289763,0,train,28.000000000000004,70.0,78.0,54.0,57.99999999999999,0.655
0.5,inf,-4.544358383026011,-0.6488556008177477,0,train,30.0,70.0,78.0,54.0,57.99999999999999,0.651
0.0,,,,0,test,19.0,68.0,77.0,47.0,61.0,0.64
0.001,inf,-10.143905520471007,-0.3678862913632773,0,test,21.0,70.0,78.0,52.0,62.0,0.6595
0.005,inf,-10.413615226536177,-0.9449641897714264,0,test,23.0,72.0,78.0,53.0,64.0,0.6725
0.01,inf,-10.905436295695775,-1.2312317267035877,0,test,22.0,73.0,79.0,52.0,63.0,0.682
0.05,inf,-12.886148743569832,-1.5452547114013613,0,test,23.0,73.0,81.0,54.0,67.0,0.6905
0.1,inf,-13.16888574194131,-1.5037069121707067,0,test,23.0,73.0,81.0,56.00000000000001,66.0,0.692
0.15,inf,-12.854856147065862,-1.440155357093463,0,test,23.0,73.0,81.0,56.00000000000001,67.0,0.6915
0.25,inf,-11.810861498517124,-1.313052246938975,0,test,23.0,73.0,81.0,55.00000000000001,66.0,0.6915
0.35,inf,-10.660877032054751,-1.1859491367844877,0,test,23.0,73.0,81.0,55.00000000000001,66.0,0.692
0.5,inf,-8.897082691902671,-0.995294471552757,0,test,25.0,73.0,80.0,54.0,65.0,0.6915
0.0,,,,0,train,14.000000000000002,74.0,82.0,46.0,54.0,0.657
0.001,inf,-8.28049839619155,-0.15626426680349548,1,train,30.0,64.0,70.0,48.0,52.0,0.602
0.005,inf,-8.488886378141972,-0.41491036645675167,1,train,28.000000000000004,64.0,70.0,46.0,54.0,0.597
0.01,inf,-8.77350236339405,-0.5191225959656875,1,train,28.000000000000004,64.0,70.0,44.0,54.0,0.595
0.05,inf,-9.508610592437927,-0.6075275294916379,1,train,28.000000000000004,62.0,72.0,42.0,50.0,0.597
0.1,inf,-9.433321612180528,-0.5755523963604989,1,train,28.000000000000004,62.0,72.0,42.0,50.0,0.591
0.15,inf,-9.101470145439471,-0.5435772632293603,1,train,28.000000000000004,62.0,72.0,42.0,50.0,0.591
0.25,inf,-8.247802065672198,-0.47962699696708266,1,train,28.000000000000004,62.0,72.0,42.0,50.0,0.591
0.35,inf,-7.346539740836757,-0.41567673070480504,1,train,28.000000000000004,60.0,72.0,42.0,50.0,0.586
0.5,inf,-5.9803268751719525,-0.31975133131138844,1,train,28.000000000000004,60.0,72.0,42.0,50.0,0.581
0.0,,,,1,test,21.0,71.0,83.0,48.0,59.0,0.674
0.001,inf,-9.48818864084005,-0.39467602992858497,1,test,24.0,73.0,84.0,51.0,59.0,0.682
0.005,inf,-9.53969381520933,-1.2291267252031892,1,test,27.0,75.0,85.0,50.0,56.99999999999999,0.6935
0.01,inf,-9.944893025285383,-1.6270129886357374,1,test,31.0,78.0,89.0,50.0,59.0,0.72
0.05,inf,-12.019783922305495,-2.304011020010537,1,test,26.0,80.0,93.0,49.0,65.0,0.7445
0.1,inf,-12.482065086505827,-2.7321469861701786,1,test,25.0,79.0,93.0,51.0,65.0,0.746
0.15,inf,-12.385721940267679,-3.0173196797459934,1,test,25.0,80.0,92.0,50.0,64.0,0.747
0.25,inf,-11.547223710669751,-3.525616659375329,1,test,26.0,80.0,92.0,51.0,64.0,0.7485
0.35,inf,-10.546651084682221,-4.0033575980685825,1,test,25.0,80.0,92.0,51.0,64.0,0.7485
0.5,inf,-8.96308786718752,-4.698510988179581,1,test,25.0,79.0,90.0,50.0,63.0,0.7405
0.0,,,,1,train,22.0,64.0,70.0,44.0,52.0,0.587
0.001,inf,-5.787269708937172,-0.21710409676180037,2,train,24.0,74.0,84.0,44.0,54.0,0.677
0.005,inf,-5.993966508634982,-0.6043316333045978,2,train,24.0,78.0,86.0,44.0,56.00000000000001,0.696
0.01,inf,-6.46387309604607,-0.6886764853563329,2,train,24.0,78.0,86.0,44.0,57.99999999999999,0.694
0.05,inf,-7.991775075445792,-0.7423453399527533,2,train,18.0,74.0,86.0,38.0,52.0,0.661
0.1,inf,-8.460014031801968,-0.7243200132669938,2,train,18.0,70.0,84.0,36.0,52.0,0.642
0.15,inf,-8.394920771293634,-0.6940738714405028,2,train,18.0,70.0,82.0,36.0,50.0,0.63
0.25,inf,-7.854615585285231,-0.633581587787521,2,train,16.0,70.0,82.0,36.0,50.0,0.614
0.35,inf,-7.215045823107042,-0.5730893041345398,2,train,16.0,70.0,80.0,36.0,48.0,0.609
0.5,inf,-6.230925387357448,-0.4823508786550677,2,train,10.0,70.0,78.0,36.0,48.0,0.598
0.0,,,,2,test,19.0,70.0,78.0,48.0,56.99999999999999,0.642
0.001,inf,-12.734231986053999,-0.22494387819997783,2,test,25.0,71.0,79.0,48.0,57.99999999999999,0.6565
0.005,inf,-13.078198927793398,-0.6355841999875597,2,test,25.0,71.0,79.0,47.0,59.0,0.664
0.01,inf,-13.538447781760906,-0.8134013893667204,2,test,26.0,72.0,79.0,46.0,62.0,0.6695
0.05,inf,-15.020170095645238,-1.1832317163390766,2,test,27.0,72.0,80.0,47.0,57.99999999999999,0.6625
0.1,inf,-15.133460847472877,-1.3847740852106694,2,test,27.0,71.0,81.0,46.0,56.00000000000001,0.6525
0.15,inf,-14.70529586238197,-1.5457686196758047,2,test,26.0,71.0,81.0,46.0,56.00000000000001,0.6505
0.25,inf,-13.459121960404428,-1.833539411895829,2,test,26.0,71.0,80.0,46.0,55.00000000000001,0.644
0.35,inf,-12.107706437157825,-2.103592193837759,2,test,26.0,71.0,79.0,46.0,55.00000000000001,0.642
0.5,inf,-10.031518626693243,-2.489919841765974,2,test,24.0,68.0,76.0,45.0,55.00000000000001,0.632
0.0,,,,2,train,22.0,74.0,84.0,38.0,57.99999999999999,0.669
0.001,inf,-6.213613517190786,-0.2055538841959036,3,train,26.0,72.0,82.0,50.0,62.0,0.686
0.005,inf,-6.367586028159466,-0.5970123763303137,3,train,26.0,72.0,82.0,48.0,64.0,0.691
0.01,inf,-6.70083001225838,-0.7755429711818206,3,train,28.000000000000004,74.0,84.0,50.0,66.0,0.7
0.05,inf,-8.172849029538376,-0.9428902683108068,3,train,30.0,74.0,84.0,50.0,62.0,0.696
0.1,inf,-8.41581069673854,-0.8997779588489511,3,train,30.0,72.0,84.0,50.0,60.0,0.692
0.15,inf,-8.239585082085393,-0.8497902944684537,3,train,30.0,72.0,84.0,50.0,60.0,0.688
0.25,inf,-7.582719024042472,-0.7498149657074592,3,train,30.0,72.0,84.0,50.0,60.0,0.685
0.35,inf,-6.847161927276255,-0.6498396369464646,3,train,30.0,72.0,84.0,52.0,60.0,0.685
0.5,inf,-5.715676411387648,-0.49987664380497254,3,train,28.000000000000004,70.0,82.0,52.0,57.99999999999999,0.677
0.0,,,,3,test,26.0,73.0,81.0,50.0,61.0,0.6765
0.001,inf,-10.332743516476276,-0.3416954401703206,3,test,28.000000000000004,76.0,83.0,52.0,65.0,0.704
0.005,inf,-10.482365756712406,-1.058073926114206,3,test,30.0,76.0,83.0,55.00000000000001,66.0,0.71
0.01,inf,-10.938968183409086,-1.426839658705574,3,test,32.0,76.0,84.0,54.0,67.0,0.719
0.05,inf,-13.127912954967318,-2.039095284585545,3,test,34.0,78.0,86.0,55.00000000000001,69.0,0.7375
0.1,inf,-13.677970998665126,-2.119443629456395,3,test,34.0,78.0,85.0,56.00000000000001,66.0,0.734
0.15,inf,-13.443112775432725,-2.141610785901163,3,test,33.0,78.0,85.0,56.00000000000001,67.0,0.7335
0.25,inf,-12.419282330426574,-2.185945098790703,3,test,32.0,77.0,85.0,55.00000000000001,66.0,0.729
0.35,inf,-11.257108668269343,-2.2302794116802396,3,test,31.0,77.0,85.0,55.00000000000001,65.0,0.7295
0.5,inf,-9.467458800129783,-2.2967808810145476,3,test,31.0,78.0,85.0,53.0,64.0,0.721
0.0,,,,3,train,22.0,72.0,82.0,48.0,60.0,0.674
0.001,inf,-6.094867257462462,-0.1991979656082933,4,train,20.0,60.0,76.0,44.0,57.99999999999999,0.607
0.005,inf,-6.175978810090038,-0.5754829022897407,4,train,22.0,66.0,76.0,48.0,60.0,0.635
0.01,inf,-6.4219347628482115,-0.7370078877263472,4,train,22.0,66.0,76.0,46.0,57.99999999999999,0.638
0.05,inf,-7.410570757277037,-0.9964415862017386,4,train,24.0,68.0,76.0,48.0,60.0,0.65
0.1,inf,-7.603524706177689,-1.1080552745344636,4,train,24.0,66.0,76.0,48.0,62.0,0.649
0.15,inf,-7.524756906613579,-1.1312056954681873,4,train,24.0,66.0,76.0,48.0,62.0,0.649
0.25,inf,-6.9953789916590114,-1.1039400021132006,4,train,24.0,66.0,76.0,48.0,62.0,0.651
0.35,inf,-6.338050834954217,-1.0766743087582133,4,train,24.0,66.0,76.0,48.0,62.0,0.645
0.5,inf,-5.325913357332197,-1.0357757687257332,4,train,24.0,66.0,74.0,50.0,62.0,0.642
0.0,,,,4,test,28.000000000000004,73.0,80.0,51.0,62.0,0.672
0.001,inf,-12.404956845624337,-0.34807378487500873,4,test,30.0,76.0,81.0,53.0,62.0,0.6925
0.005,inf,-12.647818591844878,-1.0566265308815455,4,test,28.999999999999996,76.0,81.0,52.0,64.0,0.702
0.01,inf,-13.235546067406908,-1.417011362434188,4,test,28.999999999999996,78.0,83.0,52.0,65.0,0.7135
0.05,inf,-15.542274221602383,-1.9458014352848074,4,test,31.0,79.0,85.0,54.0,64.0,0.7295
0.1,inf,-15.997122909221064,-2.27963935893793,4,test,31.0,76.0,85.0,53.0,62.0,0.7265
0.15,inf,-15.68585415922967,-2.602716378861221,4,test,30.0,77.0,85.0,54.0,62.0,0.7245
0.25,inf,-14.475758055258408,-3.2488704187078077,4,test,30.0,76.0,85.0,54.0,62.0,0.723
0.35,inf,-13.122510866553466,-3.895024458554394,4,test,28.999999999999996,76.0,86.0,54.0,62.0,0.7225
0.5,inf,-11.052597694454802,-4.864255518324271,4,test,28.999999999999996,76.0,85.0,52.0,62.0,0.713
0.0,,,,4,train,12.0,62.0,74.0,44.0,57.99999999999999,0.595
0.001,inf,-5.739718056316315,-0.17665656652488618,5,train,22.0,66.0,80.0,50.0,60.0,0.657
0.005,inf,-5.843676711251065,-0.5863858647408886,5,train,28.000000000000004,68.0,80.0,50.0,62.0,0.669
0.01,inf,-6.122020359725234,-0.8001966448633645,5,train,28.000000000000004,68.0,82.0,52.0,62.0,0.676
0.05,inf,-7.07994955489951,-1.172874894079212,5,train,30.0,72.0,82.0,52.0,60.0,0.673
0.1,inf,-7.250876592131558,-1.5182628889580352,5,train,30.0,70.0,80.0,50.0,60.0,0.668
0.15,inf,-7.0927684353924185,-1.86365088383686,5,train,30.0,70.0,82.0,50.0,62.0,0.673
0.25,inf,-6.532199305920226,-2.5544268735945095,5,train,30.0,70.0,82.0,54.0,62.0,0.682
0.35,inf,-5.911718917758247,-3.2452028633521564,5,train,30.0,70.0,82.0,54.0,62.0,0.68
0.5,inf,-4.966555154107166,-4.281366847988631,5,train,32.0,72.0,80.0,52.0,62.0,0.682
0.0,,,,5,test,27.0,71.0,78.0,48.0,56.99999999999999,0.649
0.001,inf,-10.336367365951364,-0.40000852655694624,5,test,28.000000000000004,73.0,79.0,50.0,56.00000000000001,0.661
0.005,inf,-10.528095482366636,-1.1983667513254774,5,test,28.999999999999996,73.0,81.0,53.0,59.0,0.676
0.01,inf,-11.095704734548143,-1.60255566425509,5,test,28.000000000000004,74.0,80.0,52.0,60.0,0.684
0.05,inf,-13.894203518814539,-2.217231388908838,5,test,28.999999999999996,75.0,82.0,54.0,63.0,0.6985
0.1,inf,-14.71972949115778,-2.487531263761254,5,test,30.0,74.0,81.0,55.00000000000001,62.0,0.6945
0.15,inf,-14.624359006986387,-2.671575770268839,5,test,28.000000000000004,73.0,80.0,55.00000000000001,63.0,0.6895
0.25,inf,-13.664226305248548,-3.0334008946076696,5,test,28.000000000000004,73.0,80.0,54.0,62.0,0.685
0.35,inf,-12.57178588803234,-3.3124510390165507,5,test,28.000000000000004,73.0,80.0,53.0,60.0,0.68
0.5,inf,-10.819856803644553,-3.7104019279183813,5,test,26.0,72.0,79.0,50.0,59.0,0.672
0.0,,,,5,train,20.0,66.0,80.0,52.0,60.0,0.658
0.001,inf,-4.825207990031884,-0.19685986430392094,6,train,22.0,70.0,80.0,42.0,50.0,0.641
0.005,inf,-4.924866422336404,-0.6392975205208726,6,train,30.0,68.0,80.0,42.0,48.0,0.639
0.01,inf,-5.22541699756478,-0.8486532958002676,6,train,30.0,70.0,80.0,42.0,48.0,0.639
0.05,inf,-6.443087299961511,-1.1491183745512883,6,train,34.0,72.0,80.0,42.0,54.0,0.664
0.1,inf,-6.757364217363098,-1.2249791778678945,6,train,34.0,72.0,80.0,42.0,52.0,0.664
0.15,inf,-6.664521303109192,-1.266857227113664,6,train,32.0,72.0,80.0,42.0,52.0,0.663
0.25,inf,-6.184871499492173,-1.3506133256052044,6,train,32.0,72.0,80.0,40.0,54.0,0.665
0.35,inf,-5.631938814795281,-1.4343694240967446,6,train,32.0,72.0,80.0,40.0,56.00000000000001,0.666
0.5,inf,-4.777285892357597,-1.5600035718340561,6,train,30.0,70.0,80.0,40.0,56.00000000000001,0.659
0.0,,,,6,test,23.0,68.0,78.0,52.0,63.0,0.6585
0.001,inf,-10.267874770635627,-0.35628515366344077,6,test,25.0,68.0,78.0,54.0,63.0,0.6625
0.005,inf,-10.604368895904072,-0.9515522170430158,6,test,25.0,71.0,80.0,54.0,63.0,0.669
0.01,inf,-11.11704736427412,-1.2230350215806485,6,test,26.0,72.0,81.0,54.0,65.0,0.676
0.05,inf,-12.964568269638816,-1.6246261270263778,6,test,28.000000000000004,73.0,81.0,50.0,63.0,0.677
