D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,1.057095276242629,-3.8856338255257565,-0.020865455508795108,0,train,34.0,60.0,66.0,44.0,52.0,0.573
0.005,1.057095276242629,-3.8462627853074296,-0.09701672531263918,0,train,34.0,62.0,68.0,44.0,52.0,0.578
0.01,1.057095276242629,-3.8119300874389417,-0.17630479211383368,0,train,36.0,64.0,68.0,44.0,54.0,0.584
0.05,1.057095276242629,-3.722410378178975,-0.6036171611232325,0,train,36.0,64.0,68.0,48.0,56.00000000000001,0.598
0.1,1.057095276242629,-3.737725841483026,-0.9706449356383922,0,train,36.0,64.0,70.0,46.0,56.00000000000001,0.605
0.15,1.057095276242629,-3.798667829210055,-1.2433898381374755,0,train,38.0,64.0,72.0,46.0,57.99999999999999,0.61
0.25,1.057095276242629,-3.9253099249164825,-1.6350103915597214,0,train,38.0,64.0,70.0,48.0,60.0,0.616
0.35,1.057095276242629,-4.072711643271092,-1.894617718605236,0,train,32.0,66.0,68.0,42.0,60.0,0.61
0.5,1.057095276242629,-4.283081024305722,-2.101494235351088,0,train,30.0,66.0,68.0,42.0,57.99999999999999,0.607
0.0,,,,0,test,28.999999999999996,56.99999999999999,64.0,44.0,52.0,0.547
0.001,1.3384000668822948,-4.974983168236125,-0.0222828479181626,1,train,30.0,64.0,72.0,48.0,56.00000000000001,0.607
0.005,1.3384000668822948,-4.933270080373665,-0.1018009270166017,1,train,30.0,66.0,74.0,48.0,56.00000000000001,0.614
0.01,1.3384000668822948,-4.89478878451637,-0.18738976241729322,1,train,30.0,68.0,76.0,48.0,56.00000000000001,0.633
0.05,1.3384000668822948,-4.742552825380527,-0.6703845296997701,1,train,30.0,70.0,76.0,52.0,62.0,0.656
0.1,1.3384000668822948,-4.669586356054944,-1.0661327160994907,1,train,32.0,68.0,78.0,52.0,60.0,0.653
0.15,1.3384000668822948,-4.653988148329712,-1.3513248364339487,1,train,34.0,68.0,78.0,52.0,60.0,0.655
0.25,1.3384000668822948,-4.633969539230923,-1.7545912716764365,1,train,34.0,68.0,76.0,52.0,60.0,0.659
0.35,1.3384000668822948,-4.609648807277951,-2.0145498167570253,1,train,34.0,68.0,78.0,50.0,60.0,0.658
0.5,1.3384000668822948,-4.568451620456833,-2.1980532956932493,1,train,36.0,66.0,80.0,48.0,60.0,0.65
0.0,,,,1,test,22.0,61.0,67.0,43.0,52.0,0.556
0.001,1.0841709830252952,-6.311796532429631,-0.025117815974709693,2,train,26.0,62.0,70.0,42.0,54.0,0.583
0.005,1.0841709830252952,-6.268790620252911,-0.1172102690710674,2,train,26.0,62.0,70.0,42.0,54.0,0.583
0.01,1.0841709830252952,-6.222285494392744,-0.22329385503006557,2,train,26.0,62.0,70.0,42.0,54.0,0.581
0.05,1.0841709830252952,-6.0070530726279285,-0.8495989926493157,2,train,28.000000000000004,60.0,74.0,44.0,54.0,0.587
0.1,1.0841709830252952,-5.949843240684988,-1.336230042075765,2,train,24.0,60.0,74.0,42.0,56.00000000000001,0.587
0.15,1.0841709830252952,-5.941689608865542,-1.6764680960822682,2,train,24.0,60.0,72.0,42.0,48.0,0.578
0.25,1.0841709830252952,-5.928312202458056,-2.126510376118279,2,train,22.0,56.00000000000001,70.0,42.0,48.0,0.547
0.35,1.0841709830252952,-5.861752572150476,-2.397651635571749,2,train,20.0,56.00000000000001,66.0,42.0,46.0,0.536
0.5,1.0841709830252952,-5.757374902785652,-2.5662651242387313,2,train,20.0,56.00000000000001,66.0,36.0,46.0,0.535
0.0,,,,2,test,28.999999999999996,56.00000000000001,61.0,45.0,47.0,0.5315
0.001,1.072392308729276,-4.160796497707266,-0.032712958666850804,3,train,26.0,64.0,70.0,44.0,54.0,0.596
0.005,1.072392308729276,-4.115222225527328,-0.13329698049513614,3,train,26.0,64.0,72.0,44.0,54.0,0.605
0.01,1.072392308729276,-4.081865549014524,-0.2321284360698575,3,train,26.0,66.0,72.0,44.0,54.0,0.61
0.05,1.072392308729276,-3.995886010365971,-0.7395391347788347,3,train,26.0,66.0,72.0,50.0,54.0,0.62
0.1,1.072392308729276,-4.0347002952722555,-1.0837324939685333,3,train,26.0,64.0,72.0,52.0,54.0,0.605
0.15,1.072392308729276,-4.102176146964732,-1.3117516388606019,3,train,26.0,64.0,70.0,52.0,54.0,0.598
0.25,1.072392308729276,-4.208710937846528,-1.605510511584887,3,train,26.0,62.0,70.0,50.0,52.0,0.593
0.35,1.072392308729276,-4.26622921278655,-1.7735828855576101,3,train,26.0,60.0,70.0,46.0,52.0,0.579
0.5,1.072392308729276,-4.306586011326009,-1.8673998363996593,3,train,24.0,57.99999999999999,70.0,42.0,52.0,0.564
0.0,,,,3,test,23.0,62.0,68.0,42.0,50.0,0.5685
0.001,1.0777392328768498,-7.212029949927396,-0.024620125033050992,4,train,16.0,57.99999999999999,72.0,28.000000000000004,38.0,0.514
0.005,1.0777392328768498,-7.154384484048109,-0.10405537595738483,4,train,16.0,57.99999999999999,72.0,28.000000000000004,38.0,0.517
0.01,1.0777392328768498,-7.096423983173385,-0.1885323512950618,4,train,16.0,60.0,72.0,28.000000000000004,38.0,0.521
0.05,1.0777392328768498,-6.80862240288691,-0.6942100271988142,4,train,18.0,57.99999999999999,72.0,32.0,42.0,0.531
0.1,1.0777392328768498,-6.598142620255574,-1.1101359216021394,4,train,18.0,57.99999999999999,74.0,34.0,42.0,0.545
0.15,1.0777392328768498,-6.431827803794347,-1.4055702190960275,4,train,18.0,60.0,74.0,32.0,44.0,0.548
0.25,1.0777392328768498,-6.17043372074409,-1.8037882149063205,4,train,16.0,57.99999999999999,76.0,30.0,42.0,0.539
0.35,1.0777392328768498,-5.924505363653889,-2.046799885418656,4,train,14.000000000000002,56.00000000000001,76.0,28.000000000000004,42.0,0.533
0.5,1.0777392328768498,-5.560350803088394,-2.221279120019865,4,train,16.0,56.00000000000001,74.0,30.0,42.0,0.524
0.0,,,,4,test,23.0,59.0,62.0,45.0,50.0,0.544
0.001,1.0507891689712907,-7.147317488211024,-0.02377385740664748,5,train,22.0,60.0,68.0,34.0,42.0,0.539
