D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,1.0205483803681052,-3.683572148827867,-16.044593646923587,0,train,40.0,71.11111111111111,75.55555555555556,62.22222222222222,66.66666666666666,0.6966666666666667
0.005,1.0205483803681052,-3.6761065775806205,-16.029759533258222,0,train,40.0,71.11111111111111,75.55555555555556,62.22222222222222,66.66666666666666,0.6966666666666667
0.01,1.0205483803681052,-3.6667746135219055,-16.01121689117652,0,train,40.0,71.11111111111111,75.55555555555556,62.22222222222222,66.66666666666666,0.6955555555555556
0.05,1.0205483803681052,-3.5778252311791134,-15.862156663401231,0,train,37.77777777777778,71.11111111111111,75.55555555555556,62.22222222222222,66.66666666666666,0.6922222222222222
0.1,1.0205483803681052,-3.5508967112755494,-15.588594759857184,0,train,37.77777777777778,71.11111111111111,80.0,62.22222222222222,66.66666666666666,0.6933333333333334
0.15,1.0205483803681052,-3.583478360668125,-15.258798960175703,0,train,40.0,71.11111111111111,80.0,62.22222222222222,66.66666666666666,0.6988888888888889
0.25,1.0205483803681052,-3.8368404834254926,-14.41500065855133,0,train,40.0,71.11111111111111,80.0,62.22222222222222,66.66666666666666,0.7066666666666667
0.35,1.0205483803681052,-4.196371093398433,-13.459497087952613,0,train,37.77777777777778,73.33333333333333,82.22222222222221,62.22222222222222,66.66666666666666,0.71
0.5,1.0205483803681052,-4.9751087255276865,-11.838058960272098,0,train,37.77777777777778,75.55555555555556,80.0,55.55555555555556,64.44444444444444,0.7033333333333334
0.0,,,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846
0.001,0.9793987263730011,-5.972220008255286,-8.28264394349927,1,train,20.0,75.55555555555556,82.22222222222221,44.44444444444444,62.22222222222222,0.6833333333333333
0.005,0.9793987263730011,-5.902836422953185,-8.350342410684526,1,train,20.0,75.55555555555556,82.22222222222221,44.44444444444444,62.22222222222222,0.6844444444444444
0.01,0.9793987263730011,-5.821944578376947,-8.42885917608546,1,train,20.0,75.55555555555556,84.44444444444444,44.44444444444444,62.22222222222222,0.6888888888888889
0.05,0.9793987263730011,-5.778420545916418,-8.509049858774235,1,train,17.77777777777778,73.33333333333333,84.44444444444444,42.22222222222222,62.22222222222222,0.6788888888888889
0.1,0.9793987263730011,-5.814655314391839,-8.409604467215205,1,train,15.555555555555555,77.77777777777779,82.22222222222221,42.22222222222222,60.0,0.6877777777777778
0.15,0.9793987263730011,-5.9520667992390575,-8.232800521479767,1,train,15.555555555555555,75.55555555555556,82.22222222222221,42.22222222222222,60.0,0.6755555555555556
0.25,0.9793987263730011,-6.161540751352836,-7.8656548320311765,1,train,15.555555555555555,73.33333333333333,80.0,40.0,57.77777777777777,0.66
0.35,0.9793987263730011,-6.191409676857001,-7.43459106752538,1,train,15.555555555555555,71.11111111111111,80.0,37.77777777777778,51.11111111111111,0.6366666666666667
0.5,0.9793987263730011,-6.515540838232705,-6.599242787806321,1,train,13.333333333333334,68.88888888888889,73.33333333333333,35.55555555555556,53.333333333333336,0.6077777777777778
0.0,,,,1,test,29.230769230769234,69.23076923076923,76.92307692307693,47.69230769230769,55.38461538461539,0.6446153846153846
0.001,1.0273040449231774,-6.450681496058069,-0.018842596612037896,2,train,24.444444444444443,68.88888888888889,73.33333333333333,44.44444444444444,53.333333333333336,0.6277777777777778
0.005,1.0273040449231774,-6.429028570116501,-0.09421298306018948,2,train,24.444444444444443,68.88888888888889,75.55555555555556,44.44444444444444,55.55555555555556,0.63
0.01,1.0273040449231774,-6.401962412689537,-0.18842596612037896,2,train,24.444444444444443,68.88888888888889,75.55555555555556,44.44444444444444,55.55555555555556,0.63
0.05,1.0273040449231774,-6.209138523895097,-0.8415523721309658,2,train,24.444444444444443,68.88888888888889,77.77777777777779,44.44444444444444,55.55555555555556,0.63
