D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,1.057095276242629,-5.842451161574785,-0.02577988715761533,0,train,22.0,74.0,82.0,48.0,54.0,0.662
0.005,1.057095276242629,-5.7723353230576695,-0.11770167004123143,0,train,24.0,74.0,82.0,48.0,56.00000000000001,0.668
0.01,1.057095276242629,-5.679045384850363,-0.2318497721369984,0,train,24.0,74.0,82.0,50.0,56.00000000000001,0.671
0.05,1.057095276242629,-5.098727638354838,-0.8927825000345876,0,train,24.0,74.0,80.0,48.0,62.0,0.673
0.1,1.057095276242629,-4.715622162245548,-1.3613695508777393,0,train,26.0,76.0,80.0,52.0,62.0,0.681
0.15,1.057095276242629,-4.552085090281751,-1.685007638960553,0,train,26.0,78.0,80.0,48.0,60.0,0.681
0.25,1.057095276242629,-4.527852270382136,-2.029801962309762,0,train,24.0,74.0,80.0,48.0,62.0,0.677
0.35,1.057095276242629,-4.4089624074090485,-2.2826219611146916,0,train,24.0,74.0,78.0,46.0,57.99999999999999,0.655
0.5,1.057095276242629,-4.285812066728094,-2.4173724251107194,0,train,28.000000000000004,66.0,78.0,42.0,54.0,0.631
0.0,,,,0,test,19.0,68.0,77.0,47.0,61.0,0.64
0.001,1.3384000668822948,-8.271188665458773,-0.031751169254339004,1,train,26.0,66.0,70.0,46.0,52.0,0.598
0.005,1.3384000668822948,-8.176905959645534,-0.14296172447427782,1,train,28.000000000000004,66.0,70.0,46.0,50.0,0.598
0.01,1.3384000668822948,-8.114074649319171,-0.2488442255769778,1,train,28.000000000000004,66.0,70.0,46.0,52.0,0.599
0.05,1.3384000668822948,-7.989636189966897,-0.652131431931035,1,train,26.0,64.0,70.0,44.0,54.0,0.595
0.1,1.3384000668822948,-7.96756137590221,-0.9884735273526213,1,train,26.0,60.0,70.0,38.0,48.0,0.577
0.15,1.3384000668822948,-7.932312333572495,-1.2293297447722213,1,train,26.0,56.00000000000001,68.0,40.0,46.0,0.55
0.25,1.3384000668822948,-7.798066634071331,-1.645081300877203,1,train,24.0,54.0,64.0,38.0,44.0,0.528
0.35,1.3384000668822948,-7.766882530081082,-1.9209089128852017,1,train,24.0,48.0,64.0,34.0,40.0,0.488
0.5,1.3384000668822948,-7.616555933148643,-2.239175855003844,1,train,24.0,46.0,54.0,34.0,40.0,0.445
0.0,,,,1,test,21.0,71.0,83.0,48.0,59.0,0.674
0.001,1.0841709830252952,-5.779185518066677,-0.04353119118011609,2,train,24.0,72.0,84.0,38.0,57.99999999999999,0.677
0.005,1.0841709830252952,-5.684083194582167,-0.179536670694021,2,train,24.0,72.0,84.0,40.0,57.99999999999999,0.679
0.01,1.0841709830252952,-5.576079664901198,-0.3327670617497885,2,train,24.0,74.0,84.0,42.0,57.99999999999999,0.686
0.05,1.0841709830252952,-5.341424548084076,-0.9852538784186351,2,train,24.0,74.0,86.0,44.0,62.0,0.694
0.1,1.0841709830252952,-5.415028616437886,-1.3529363878686187,2,train,22.0,82.0,86.0,40.0,56.00000000000001,0.692
0.15,1.0841709830252952,-5.4209765286452285,-1.6320141378841173,2,train,22.0,78.0,88.0,42.0,54.0,0.682
0.25,1.0841709830252952,-5.624756908810976,-2.0205058378238476,2,train,18.0,74.0,84.0,48.0,52.0,0.669
0.35,1.0841709830252952,-5.512099526621923,-2.338605256803691,2,train,14.000000000000002,74.0,82.0,44.0,50.0,0.646
0.5,1.0841709830252952,-5.204223396657218,-2.594143875843209,2,train,14.000000000000002,70.0,82.0,40.0,48.0,0.627
0.0,,,,2,test,19.0,70.0,78.0,48.0,56.99999999999999,0.642
0.001,1.072392308729276,-6.26424393459558,-0.03395563698246983,3,train,28.000000000000004,70.0,82.0,48.0,60.0,0.676
0.005,1.072392308729276,-6.212497371930474,-0.16767019895813082,3,train,30.0,70.0,82.0,48.0,57.99999999999999,0.678
0.01,1.072392308729276,-6.165016653348646,-0.31855438647459455,3,train,28.000000000000004,70.0,82.0,48.0,57.99999999999999,0.678
0.05,1.072392308729276,-6.242858305920115,-0.9330314631546305,3,train,32.0,74.0,86.0,46.0,60.0,0.698
0.1,1.072392308729276,-6.553871158538188,-1.459395136308329,3,train,30.0,74.0,86.0,44.0,60.0,0.691
0.15,1.072392308729276,-6.790437019838753,-1.8438231773379714,3,train,28.000000000000004,72.0,84.0,40.0,57.99999999999999,0.673
0.25,1.072392308729276,-7.486004432411727,-2.1622061065335187,3,train,26.0,70.0,84.0,40.0,56.00000000000001,0.67
0.35,1.072392308729276,-7.907501176829671,-2.3800500839772734,3,train,26.0,66.0,78.0,40.0,50.0,0.628
0.5,1.072392308729276,-8.68795161324729,-2.4359895831871503,3,train,26.0,64.0,74.0,36.0,48.0,0.602
0.0,,,,3,test,26.0,73.0,81.0,50.0,61.0,0.6765
0.001,1.0777392328768498,-6.109741373817759,-0.062009738807868364,4,train,14.000000000000002,60.0,74.0,44.0,56.00000000000001,0.592
0.005,1.0777392328768498,-5.956335207407036,-0.24938977450267535,4,train,16.0,60.0,76.0,46.0,57.99999999999999,0.596
0.01,1.0777392328768498,-5.888743704446046,-0.35896850123523594,4,train,18.0,60.0,76.0,46.0,57.99999999999999,0.602
0.05,1.0777392328768498,-5.760604521045723,-0.8230527253685078,4,train,18.0,66.0,76.0,44.0,56.00000000000001,0.627
0.1,1.0777392328768498,-5.629355727118106,-1.2583728981148488,4,train,20.0,66.0,76.0,48.0,57.99999999999999,0.633
0.15,1.0777392328768498,-5.5580701528274075,-1.6122349488646648,4,train,20.0,64.0,76.0,48.0,56.00000000000001,0.624
0.25,1.0777392328768498,-5.437711115068078,-2.085750308200576,4,train,20.0,60.0,76.0,44.0,50.0,0.595
0.35,1.0777392328768498,-5.330136083853696,-2.444679875174564,4,train,20.0,60.0,72.0,42.0,48.0,0.57
0.5,1.0777392328768498,-5.550146908710433,-2.6333855428254664,4,train,18.0,56.00000000000001,72.0,40.0,42.0,0.548
0.0,,,,4,test,28.000000000000004,73.0,80.0,51.0,62.0,0.672
0.001,1.0507891689712907,-5.76792340793678,-0.017254049550460136,5,train,24.0,66.0,80.0,52.0,60.0,0.659
0.005,1.0507891689712907,-5.743134793849897,-0.07444796089689025,5,train,24.0,66.0,80.0,52.0,60.0,0.66
0.01,1.0507891689712907,-5.708934029115425,-0.14255980195008036,5,train,24.0,66.0,80.0,50.0,60.0,0.658
0.05,1.0507891689712907,-5.606701535518413,-0.5423500197979397,5,train,20.0,66.0,78.0,48.0,57.99999999999999,0.643
0.1,1.0507891689712907,-5.471995279617296,-0.8911490537437894,5,train,20.0,64.0,78.0,48.0,56.00000000000001,0.632
0.15,1.0507891689712907,-5.3194734813599736,-1.1960693854961002,5,train,26.0,64.0,78.0,46.0,56.00000000000001,0.638
0.25,1.0507891689712907,-5.024360956742093,-1.7211467091437211,5,train,24.0,64.0,74.0,44.0,54.0,0.615
0.35,1.0507891689712907,-5.33981239239692,-1.9959395316095525,5,train,20.0,64.0,72.0,44.0,56.00000000000001,0.606
0.5,1.0507891689712907,-5.589598520418246,-2.243915573133223,5,train,16.0,62.0,68.0,44.0,56.00000000000001,0.58
