D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,1.0205483803681052,-137.82624550529795,-1.0,0,train,40.0,71.11111111111111,75.55555555555556,62.22222222222222,66.66666666666666,0.6966666666666667
0.005,1.0205483803681052,-137.85887297296375,-1.0,0,train,40.0,71.11111111111111,75.55555555555556,62.22222222222222,66.66666666666666,0.6966666666666667
0.01,1.0205483803681052,-137.90038797749528,-1.0,0,train,40.0,71.11111111111111,75.55555555555556,62.22222222222222,66.66666666666666,0.6955555555555556
0.05,1.0205483803681052,-138.2607570494243,-1.0,0,train,40.0,71.11111111111111,75.55555555555556,62.22222222222222,66.66666666666666,0.6933333333333334
0.1,1.0205483803681052,-138.77766122440502,-1.0,0,train,40.0,71.11111111111111,77.77777777777779,62.22222222222222,66.66666666666666,0.6877777777777778
0.15,1.0205483803681052,-139.3627333505798,-1.0,0,train,42.22222222222222,71.11111111111111,77.77777777777779,62.22222222222222,66.66666666666666,0.6911111111111111
0.25,1.0205483803681052,-140.72036693932233,-1.0,0,train,40.0,71.11111111111111,77.77777777777779,62.22222222222222,66.66666666666666,0.6911111111111111
0.35,1.0205483803681052,-142.31338231056097,-1.0,0,train,40.0,73.33333333333333,80.0,57.77777777777777,64.44444444444444,0.6977777777777778
0.5,1.0205483803681052,-145.16104629677275,-1.0,0,train,40.0,73.33333333333333,80.0,55.55555555555556,62.22222222222222,0.6944444444444444
0.0,,,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846
0.001,0.9793987263730011,-166.1844477563755,-1.0,1,train,20.0,75.55555555555556,82.22222222222221,44.44444444444444,62.22222222222222,0.6833333333333333
0.005,0.9793987263730011,-166.188077039401,-1.0,1,train,20.0,75.55555555555556,82.22222222222221,44.44444444444444,62.22222222222222,0.6844444444444444
0.01,0.9793987263730011,-166.19426091791502,-1.0,1,train,20.0,75.55555555555556,84.44444444444444,44.44444444444444,62.22222222222222,0.6888888888888889
0.05,0.9793987263730011,-166.30712409984963,-1.0,1,train,20.0,75.55555555555556,82.22222222222221,44.44444444444444,62.22222222222222,0.6855555555555556
0.1,0.9793987263730011,-166.5954307632439,-1.0,1,train,17.77777777777778,77.77777777777779,82.22222222222221,42.22222222222222,62.22222222222222,0.6877777777777778
0.15,0.9793987263730011,-167.0310916637982,-1.0,1,train,17.77777777777778,75.55555555555556,82.22222222222221,42.22222222222222,62.22222222222222,0.68
0.25,0.9793987263730011,-168.2918419912383,-1.0,1,train,13.333333333333334,73.33333333333333,80.0,37.77777777777778,57.77777777777777,0.6544444444444445
0.35,0.9793987263730011,-170.022247295545,-1.0,1,train,15.555555555555555,73.33333333333333,77.77777777777779,37.77777777777778,53.333333333333336,0.6388888888888888
0.5,0.9793987263730011,-173.51655977973346,-1.0,1,train,15.555555555555555,62.22222222222222,71.11111111111111,31.11111111111111,46.666666666666664,0.57
0.0,,,,1,test,29.230769230769234,69.23076923076923,76.92307692307693,47.69230769230769,55.38461538461539,0.6446153846153846
0.001,1.0273040449231774,-184.33416720058608,-1.0,2,train,24.444444444444443,71.11111111111111,75.55555555555556,44.44444444444444,55.55555555555556,0.6466666666666666
0.005,1.0273040449231774,-184.38597868040597,-1.0,2,train,24.444444444444443,71.11111111111111,77.77777777777779,44.44444444444444,57.77777777777777,0.6488888888888888
0.01,1.0273040449231774,-184.45149125177855,-1.0,2,train,24.444444444444443,71.11111111111111,77.77777777777779,44.44444444444444,57.77777777777777,0.6455555555555555
0.05,1.0273040449231774,-185.0047339489355,-1.0,2,train,24.444444444444443,71.11111111111111,77.77777777777779,46.666666666666664,55.55555555555556,0.6388888888888888
0.1,1.0273040449231774,-185.76561130596895,-1.0,2,train,26.666666666666668,68.88888888888889,75.55555555555556,44.44444444444444,55.55555555555556,0.6322222222222222
0.15,1.0273040449231774,-186.59840502299937,-1.0,2,train,24.444444444444443,66.66666666666666,73.33333333333333,44.44444444444444,53.333333333333336,0.6222222222222222
0.25,1.0273040449231774,-188.46247613522388,-1.0,2,train,22.22222222222222,60.0,71.11111111111111,40.0,51.11111111111111,0.5833333333333334
0.35,1.0273040449231774,-190.5716407611111,-1.0,2,train,22.22222222222222,62.22222222222222,64.44444444444444,40.0,51.11111111111111,0.56
0.5,1.0273040449231774,-194.17671906503912,-1.0,2,train,20.0,62.22222222222222,62.22222222222222,37.77777777777778,46.666666666666664,0.5455555555555556
