D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,1.057095276242629,-230.27518718884627,-1.0,0,train,22.0,74.0,82.0,48.0,54.0,0.662
0.005,1.057095276242629,-230.24272496903413,-1.0,0,train,22.0,74.0,82.0,50.0,54.0,0.668
0.01,1.057095276242629,-230.20338301749194,-1.0,0,train,24.0,74.0,82.0,48.0,56.00000000000001,0.67
0.05,1.057095276242629,-229.93794310341173,-1.0,0,train,22.0,72.0,84.0,48.0,57.99999999999999,0.679
0.1,1.057095276242629,-229.728368325005,-1.0,0,train,26.0,70.0,82.0,48.0,56.00000000000001,0.671
0.15,1.057095276242629,-229.65181129150423,-1.0,0,train,28.000000000000004,68.0,82.0,48.0,56.00000000000001,0.657
0.25,1.057095276242629,-229.87666819500407,-1.0,0,train,24.0,64.0,76.0,48.0,54.0,0.623
0.35,1.057095276242629,-230.55554357648964,-1.0,0,train,22.0,60.0,72.0,46.0,54.0,0.592
0.5,1.057095276242629,-232.2799209848892,-1.0,0,train,22.0,57.99999999999999,68.0,46.0,50.0,0.567
0.0,,,,0,test,19.0,68.0,77.0,47.0,61.0,0.64
0.001,1.3384000668822948,-233.34526713042982,-1.0,1,train,26.0,64.0,70.0,44.0,52.0,0.592
0.005,1.3384000668822948,-233.33955608986582,-1.0,1,train,28.000000000000004,64.0,70.0,44.0,50.0,0.591
0.01,1.3384000668822948,-233.33378970322292,-1.0,1,train,30.0,64.0,70.0,42.0,50.0,0.592
0.05,1.3384000668822948,-233.34143805007523,-1.0,1,train,28.000000000000004,64.0,70.0,40.0,52.0,0.597
0.1,1.3384000668822948,-233.47928326861117,-1.0,1,train,26.0,62.0,70.0,40.0,50.0,0.582
0.15,1.3384000668822948,-233.7483029902821,-1.0,1,train,26.0,62.0,68.0,40.0,50.0,0.578
0.25,1.3384000668822948,-234.62954364639424,-1.0,1,train,24.0,57.99999999999999,68.0,42.0,50.0,0.569
0.35,1.3384000668822948,-235.89615727227257,-1.0,1,train,22.0,57.99999999999999,68.0,38.0,48.0,0.538
0.5,1.3384000668822948,-238.38895562198093,-1.0,1,train,14.000000000000002,52.0,64.0,30.0,40.0,0.478
0.0,,,,1,test,21.0,71.0,83.0,48.0,59.0,0.674
0.001,1.0841709830252952,-225.9893435966427,-1.0,2,train,22.0,72.0,84.0,38.0,57.99999999999999,0.673
0.005,1.0841709830252952,-225.9677916260353,-1.0,2,train,22.0,72.0,84.0,40.0,57.99999999999999,0.678
0.01,1.0841709830252952,-225.94245914176128,-1.0,2,train,22.0,76.0,84.0,40.0,56.00000000000001,0.683
0.05,1.0841709830252952,-225.80113277117914,-1.0,2,train,20.0,78.0,86.0,44.0,60.0,0.697
0.1,1.0841709830252952,-225.76458215744822,-1.0,2,train,20.0,80.0,88.0,42.0,57.99999999999999,0.704
0.15,1.0841709830252952,-225.86462435905239,-1.0,2,train,20.0,82.0,88.0,44.0,52.0,0.693
0.25,1.0841709830252952,-226.40820590134015,-1.0,2,train,20.0,74.0,84.0,48.0,54.0,0.666
0.35,1.0841709830252952,-227.32491222770773,-1.0,2,train,18.0,68.0,80.0,44.0,52.0,0.632
0.5,1.0841709830252952,-229.24539745522952,-1.0,2,train,18.0,60.0,76.0,40.0,50.0,0.578
0.0,,,,2,test,19.0,70.0,78.0,48.0,56.99999999999999,0.642
0.001,1.072392308729276,-213.01809131504007,-1.0,3,train,28.000000000000004,70.0,82.0,48.0,60.0,0.674
