D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.001,1.0205483803681052,-3.682300923331527,-16.0452386340102,0,train,37.77777777777778,68.88888888888889,73.33333333333333,62.22222222222222,66.66666666666666,0.6766666666666666
0.005,1.0205483803681052,-3.66965613957321,-16.032914138259546,0,train,37.77777777777778,68.88888888888889,73.33333333333333,62.22222222222222,66.66666666666666,0.6755555555555556
0.01,1.0205483803681052,-3.6541356648648273,-16.01683380087196,0,train,37.77777777777778,68.88888888888889,73.33333333333333,62.22222222222222,66.66666666666666,0.6755555555555556
0.05,1.0205483803681052,-3.591032883786064,-15.817228690624596,0,train,37.77777777777778,68.88888888888889,75.55555555555556,62.22222222222222,66.66666666666666,0.6744444444444444
0.1,1.0205483803681052,-3.5812306541574195,-15.480456359835763,0,train,35.55555555555556,71.11111111111111,73.33333333333333,60.0,64.44444444444444,0.6733333333333333
0.15,1.0205483803681052,-3.6151276020154297,-15.073209997846178,0,train,35.55555555555556,71.11111111111111,73.33333333333333,57.77777777777777,66.66666666666666,0.6766666666666666
0.25,1.0205483803681052,-3.729662192427468,-14.133965337112183,0,train,35.55555555555556,71.11111111111111,80.0,57.77777777777777,66.66666666666666,0.6833333333333333
0.35,1.0205483803681052,-3.881142212846784,-13.070908000879225,0,train,37.77777777777778,71.11111111111111,77.77777777777779,57.77777777777777,66.66666666666666,0.6866666666666666
0.5,1.0205483803681052,-4.153558719346256,-11.274178571778725,0,train,42.22222222222222,68.88888888888889,77.77777777777779,60.0,62.22222222222222,0.6844444444444444
0.0,,,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846
0.001,1.0205483803681052,-11.385978422680205,-0.028827189636383914,0,test,20.0,72.3076923076923,83.07692307692308,47.69230769230769,55.38461538461539,0.6707692307692308
0.005,1.0205483803681052,-11.313278841485277,-0.13734409754470797,0,test,20.0,72.3076923076923,83.07692307692308,47.69230769230769,56.92307692307692,0.6753846153846154
0.01,1.0205483803681052,-11.232154880413706,-0.2628504259827523,0,test,20.0,73.84615384615385,84.61538461538461,47.69230769230769,56.92307692307692,0.6823076923076923
0.05,1.0205483803681052,-10.77178487835972,-1.038620258509133,0,test,20.0,70.76923076923077,86.15384615384616,47.69230769230769,58.46153846153847,0.6884615384615385
0.1,1.0205483803681052,-10.411763139381922,-1.7085790956051776,0,test,23.076923076923077,72.3076923076923,87.6923076923077,46.15384615384615,60.0,0.6984615384615385
0.15,1.0205483803681052,-10.182324657014755,-2.1974559511609355,0,test,23.076923076923077,73.84615384615385,89.23076923076924,47.69230769230769,58.46153846153847,0.7061538461538461
0.25,1.0205483803681052,-9.804330216655142,-2.9085731476715013,0,test,23.076923076923077,75.38461538461539,92.3076923076923,46.15384615384615,56.92307692307692,0.7107692307692308
0.35,1.0205483803681052,-9.407866095735544,-3.4403101743613766,0,test,23.076923076923077,72.3076923076923,89.23076923076924,47.69230769230769,56.92307692307692,0.6984615384615385
0.5,1.0205483803681052,-8.823051878936335,-3.93982035612453,0,test,21.53846153846154,72.3076923076923,86.15384615384616,49.23076923076923,56.92307692307692,0.6884615384615385
0.0,,,,0,train,33.33333333333333,68.88888888888889,73.33333333333333,57.77777777777777,66.66666666666666,0.6733333333333333
0.001,0.9793987263730011,-5.971734765406212,-8.280191191633262,1,train,20.0,75.55555555555556,84.44444444444444,46.666666666666664,60.0,0.6933333333333334
0.005,0.9793987263730011,-5.9045553922844185,-8.336568348137215,1,train,20.0,75.55555555555556,84.44444444444444,46.666666666666664,60.0,0.6977777777777778
0.01,0.9793987263730011,-5.839605638314119,-8.393190915517398,1,train,20.0,75.55555555555556,84.44444444444444,44.44444444444444,60.0,0.6988888888888889
0.05,0.9793987263730011,-5.5701875133352985,-8.529048331797783,1,train,20.0,75.55555555555556,86.66666666666667,46.666666666666664,64.44444444444444,0.7066666666666667
0.1,0.9793987263730011,-5.411748650724425,-8.446585849209349,1,train,20.0,77.77777777777779,86.66666666666667,46.666666666666664,62.22222222222222,0.7044444444444444
0.15,0.9793987263730011,-5.297418284783909,-8.286859295273857,1,train,17.77777777777778,75.55555555555556,84.44444444444444,48.888888888888886,62.22222222222222,0.6966666666666667
0.25,0.9793987263730011,-5.123973740632484,-7.856150395597694,1,train,20.0,75.55555555555556,84.44444444444444,48.888888888888886,62.22222222222222,0.6988888888888889
0.35,0.9793987263730011,-4.965908135731767,-7.338821162579036,1,train,20.0,77.77777777777779,82.22222222222221,48.888888888888886,66.66666666666666,0.7055555555555556
0.5,0.9793987263730011,-4.733819732683716,-6.4124152282572195,1,train,17.77777777777778,75.55555555555556,82.22222222222221,48.888888888888886,66.66666666666666,0.6977777777777778
0.0,,,,1,test,29.230769230769234,69.23076923076923,76.92307692307693,47.69230769230769,55.38461538461539,0.6446153846153846
0.001,0.9793987263730011,-7.72576939256715,-8.03598787637367,1,test,35.38461538461539,72.3076923076923,80.0,52.307692307692314,60.0,0.6853846153846154
0.005,0.9793987263730011,-7.689117273559561,-8.08272673947985,1,test,35.38461538461539,72.3076923076923,80.0,52.307692307692314,60.0,0.6876923076923077
0.01,0.9793987263730011,-7.644678898298091,-8.138988525089223,1,test,35.38461538461539,72.3076923076923,80.0,52.307692307692314,60.0,0.6892307692307692
0.05,0.9793987263730011,-7.385623913069024,-8.478723781838552,1,test,35.38461538461539,72.3076923076923,81.53846153846153,52.307692307692314,60.0,0.6953846153846154
0.1,0.9793987263730011,-7.156288586737895,-8.771601588361136,1,test,35.38461538461539,73.84615384615385,83.07692307692308,50.76923076923077,60.0,0.7007692307692308
0.15,0.9793987263730011,-6.999116398551386,-8.947620264444172,1,test,35.38461538461539,73.84615384615385,84.61538461538461,50.76923076923077,58.46153846153847,0.7084615384615385
