D,k,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,0,test,3.0,16.0,22.0,8.0,12.0,0.155
0.0,,0,test,7.000000000000001,30.0,35.0,18.0,24.0,0.278
0.0,,0,test,9.0,41.0,48.0,25.0,34.0,0.381
0.0,,0,test,15.0,55.00000000000001,61.0,35.0,48.0,0.5095
0.0,,0,test,19.0,68.0,77.0,47.0,61.0,0.64
0.0,,1,test,0.0,21.0,23.0,8.0,11.0,0.1725
0.0,,1,test,7.000000000000001,33.0,41.0,21.0,27.0,0.3135
0.0,,1,test,12.0,44.0,53.0,28.999999999999996,37.0,0.4185
0.0,,1,test,15.0,55.00000000000001,67.0,38.0,47.0,0.535
0.0,,1,test,21.0,71.0,83.0,48.0,59.0,0.674
0.0,,2,test,7.000000000000001,23.0,28.000000000000004,13.0,15.0,0.219
0.0,,2,test,10.0,28.999999999999996,35.0,21.0,23.0,0.281
0.0,,2,test,13.0,42.0,50.0,28.999999999999996,31.0,0.3925
0.0,,2,test,15.0,55.00000000000001,65.0,37.0,42.0,0.513
0.0,,2,test,19.0,70.0,78.0,48.0,56.99999999999999,0.642
0.0,,3,test,3.0,22.0,23.0,9.0,15.0,0.181
0.0,,3,test,8.0,34.0,38.0,21.0,27.0,0.3045
0.0,,3,test,13.0,50.0,56.00000000000001,32.0,41.0,0.4585
0.0,,3,test,20.0,57.99999999999999,65.0,39.0,48.0,0.539
0.0,,3,test,26.0,73.0,81.0,50.0,61.0,0.6765
0.0,,4,test,6.0,22.0,25.0,11.0,17.0,0.203
0.0,,4,test,13.0,34.0,40.0,22.0,28.999999999999996,0.3235
0.0,,4,test,16.0,47.0,54.0,31.0,39.0,0.4345
0.0,,4,test,22.0,62.0,68.0,39.0,52.0,0.564
0.0,,4,test,28.000000000000004,73.0,80.0,51.0,62.0,0.672
0.0,,5,test,6.0,24.0,27.0,16.0,19.0,0.2225
0.0,,5,test,11.0,38.0,40.0,28.000000000000004,31.0,0.349
0.0,,5,test,14.000000000000002,53.0,57.99999999999999,36.0,42.0,0.4855
0.0,,5,test,22.0,62.0,69.0,43.0,51.0,0.576
0.0,,5,test,27.0,71.0,78.0,48.0,56.99999999999999,0.649
0.0,,6,test,3.0,18.0,25.0,6.0,8.0,0.1635
0.0,,6,test,9.0,30.0,37.0,20.0,25.0,0.29
0.0,,6,test,14.000000000000002,40.0,49.0,31.0,36.0,0.4
0.0,,6,test,19.0,54.0,65.0,41.0,49.0,0.5335
0.0,,6,test,23.0,68.0,78.0,52.0,63.0,0.6585
0.0,,7,test,6.0,33.0,37.0,16.0,23.0,0.29
0.0,,7,test,10.0,45.0,49.0,27.0,36.0,0.402
0.0,,7,test,16.0,56.00000000000001,59.0,37.0,50.0,0.5085
0.0,,7,test,21.0,65.0,73.0,48.0,60.0,0.6185
0.0,,7,test,30.0,77.0,85.0,56.99999999999999,69.0,0.731
0.0,,8,test,6.0,24.0,28.999999999999996,10.0,13.0,0.214
0.0,,8,test,10.0,37.0,40.0,24.0,28.999999999999996,0.337
0.0,,8,test,13.0,48.0,54.0,30.0,40.0,0.4455
0.0,,8,test,17.0,62.0,67.0,38.0,51.0,0.561
0.0,,8,test,22.0,72.0,79.0,47.0,61.0,0.659
0.0,,9,test,3.0,27.0,33.0,14.000000000000002,18.0,0.246
0.0,,9,test,8.0,38.0,42.0,24.0,31.0,0.347
0.0,,9,test,13.0,50.0,56.99999999999999,31.0,37.0,0.4575
0.0,,9,test,13.0,61.0,68.0,40.0,48.0,0.557
0.0,,9,test,23.0,73.0,82.0,50.0,60.0,0.6765
0.0,,10,test,4.0,18.0,23.0,12.0,14.000000000000002,0.171
0.0,,10,test,10.0,28.999999999999996,34.0,20.0,22.0,0.267
0.0,,10,test,15.0,39.0,47.0,27.0,30.0,0.3665
0.0,,10,test,18.0,55.00000000000001,65.0,37.0,43.0,0.5165
0.0,,10,test,20.0,68.0,79.0,42.0,52.0,0.631
0.0,,11,test,2.0,21.0,25.0,7.000000000000001,12.0,0.183
0.0,,11,test,9.0,36.0,38.0,20.0,27.0,0.315
0.0,,11,test,14.000000000000002,48.0,50.0,33.0,41.0,0.437
0.0,,11,test,18.0,61.0,64.0,42.0,51.0,0.5545
0.0,,11,test,20.0,68.0,73.0,49.0,56.99999999999999,0.629
0.0,,12,test,3.0,17.0,21.0,8.0,12.0,0.155
