n_ms2rt_tuples,sample,n_cand_tot,n_cand_med,n_cand_avg,n_cand_max,training_time,scoring_time
15,0,5827,112.0,388.46666666666664,1463,27.706024885177612,2.8533239364624023
30,0,15517,155.5,517.2333333333333,3579,100.71189713478088,12.271312475204468
45,0,25171,231.0,559.3555555555556,3579,163.48556780815125,19.280336618423462
60,0,31661,233.5,527.6833333333333,3579,199.84573364257812,23.44798707962036
75,0,44211,380.0,589.48,3579,307.1044690608978,34.365925550460815
15,1,8103,151.0,540.2,2625,44.47895574569702,5.266357660293579
30,1,14140,169.5,471.3333333333333,2625,78.56864380836487,9.46410584449768
45,1,19980,161.0,444.0,2625,102.0825834274292,11.586785554885864
60,1,22548,156.0,375.8,2625,107.90145802497864,12.421714067459106
75,1,38748,173.0,516.64,2737,271.5765731334686,30.754634380340576
15,2,5725,339.0,381.6666666666667,1188,23.514460802078247,2.507850408554077
30,2,15875,327.5,529.1666666666666,2501,94.46893668174744,11.148564338684082
45,2,24760,299.0,550.2222222222222,2501,166.17926287651062,18.917736768722534
60,2,34584,275.0,576.4,3668,231.77767610549927,26.9762864112854
75,2,44007,236.0,586.76,3668,308.4653391838074,36.39615607261658
15,3,11326,672.0,755.0666666666667,2813,90.43948912620544,10.366613864898682
30,3,25766,524.5,858.8666666666667,3108,263.6357510089874,30.65545129776001
45,3,35155,316.0,781.2222222222222,3108,323.95208191871643,38.43528175354004
60,3,43393,333.5,723.2166666666667,3108,386.92868757247925,43.59985899925232
75,3,48043,313.0,640.5733333333334,3108,365.7993514537811,42.40401101112366
15,4,9101,142.0,606.7333333333333,2737,60.37013602256775,7.441058874130249
30,4,18245,174.0,608.1666666666666,4066,131.9169945716858,15.455243349075317
45,4,28330,182.0,629.5555555555555,4066,227.75632882118225,26.43865966796875
60,4,37700,183.5,628.3333333333334,4066,302.0841097831726,35.19790077209473
75,4,43038,227.0,573.84,4066,316.24925088882446,36.679341316223145
15,5,19036,730.0,1269.0666666666666,3668,274.13822293281555,32.08558130264282
30,5,27666,306.0,922.2,4402,347.29910588264465,41.41793942451477
45,5,38057,189.0,845.7111111111111,4402,415.5453472137451,48.3252010345459
60,5,41606,169.5,693.4333333333333,4402,376.6187267303467,43.24305510520935
75,5,47901,189.0,638.68,4402,398.4417643547058,46.27213215827942
15,6,7231,128.0,482.06666666666666,2055,37.93002676963806,4.692612409591675
30,6,9813,109.0,327.1,2055,41.431227684020996,4.529653310775757
45,6,20481,142.0,455.1333333333333,2501,111.11404967308044,12.66025972366333
60,6,25487,111.0,424.78333333333336,2501,133.76033115386963,15.529606103897095
75,6,37226,151.0,496.3466666666667,2737,222.78659462928772,27.40756130218506
15,7,5991,70.0,399.4,2051,25.799135208129883,3.052184581756592
30,7,9294,71.5,309.8,2051,33.426390409469604,4.078138113021851
45,7,16044,73.0,356.53333333333336,4402,78.53622531890869,9.215609073638916
60,7,23330,101.0,388.8333333333333,4402,113.34487962722778,13.486295700073242
75,7,35671,112.0,475.61333333333334,4402,232.61371779441833,26.469830989837646
15,8,11769,600.0,784.6,3029,98.68698358535767,11.554484844207764
30,8,14232,232.0,474.4,3029,72.98844075202942,8.21205735206604
45,8,21744,185.0,483.2,3029,117.06416249275208,13.974995374679565
