sample,D,k
0.0,0.1,1.0
1.0,0.5,3.0
2.0,0.35,0.25
3.0,0.15,1.0
4.0,0.5,4.5
5.0,0.25,0.75
6.0,0.25,0.5
7.0,0.35,1.0
8.0,0.35,1.0
9.0,0.25,0.75
10.0,0.15,0.5
11.0,0.35,0.5
12.0,0.35,1.0
13.0,0.1,5.0
14.0,0.25,0.75
15.0,0.25,0.5
16.0,0.01,10.0
17.0,0.25,0.5
18.0,0.05,0.5
19.0,0.05,0.5
20.0,0.1,0.25
21.0,0.15,0.75
22.0,0.1,3.0
23.0,0.15,0.5
24.0,0.35,1.0
25.0,0.35,1.0
26.0,0.35,0.5
27.0,0.05,10.0
28.0,0.25,1.0
29.0,0.25,0.5
30.0,0.25,2.5
31.0,0.25,1.0
32.0,0.15,0.75
33.0,0.25,0.75
34.0,0.35,0.25
35.0,0.25,0.5
36.0,0.35,0.75
37.0,0.35,1.0
38.0,0.01,10.0
39.0,0.15,1.0
40.0,0.25,0.5
41.0,0.15,2.5
42.0,0.25,1.0
43.0,0.5,3.0
44.0,0.01,10.0
45.0,0.5,2.0
46.0,0.25,10.0
47.0,0.15,0.5
48.0,0.25,0.25
49.0,0.25,2.5
