D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.9687836928041448,0.3643918902314891,-287.220692314596,-0.03394177330028648,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769,-8.698476417830994,0.4894230769230769
0.005,0.9687836928041448,0.36436337595825713,-287.2054485808954,-0.13244065060319793,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.48846153846153845,-8.645254512971162,0.48846153846153845
0.01,0.9687836928041448,0.35994624930630764,-287.1960945082823,-0.23430980774290502,0,train,17.307692307692307,51.92307692307693,57.692307692307686,32.69230769230769,42.30769230769231,0.4855769230769231,-8.59803573315517,0.4855769230769231
0.05,0.9687836928041448,0.3623303669258305,-287.41013837205094,-0.7192284083790149,0,train,17.307692307692307,51.92307692307693,59.61538461538461,30.76923076923077,44.230769230769226,0.4855769230769231,-8.465230898121252,0.4855769230769231
0.1,0.9687836928041448,0.3577553971706165,-288.00511477651094,-1.088917442578824,0,train,17.307692307692307,51.92307692307693,59.61538461538461,30.76923076923077,42.30769230769231,0.48365384615384616,-8.435824769488855,0.48173076923076924
0.15,0.9687836928041448,0.35947983084088825,-288.93908118544556,-1.3887190362440787,0,train,17.307692307692307,51.92307692307693,59.61538461538461,30.76923076923077,44.230769230769226,0.4846153846153846,-8.374963560924554,0.4875
0.25,0.9687836928041448,0.35212829736561846,-291.5204920212819,-1.8597128404034382,0,train,17.307692307692307,50.0,59.61538461538461,30.76923076923077,40.38461538461539,0.47692307692307695,-8.061840236206672,0.47115384615384615
0.35,0.9687836928041448,0.3544958025756024,-294.6864002537789,-2.148068167724637,0,train,17.307692307692307,48.07692307692308,61.53846153846154,32.69230769230769,38.46153846153847,0.46442307692307694,-7.617774629797584,0.4567307692307692
0.5,0.9687836928041448,0.3446151836837205,-300.1947478052716,-2.308669489878712,0,train,15.384615384615385,46.15384615384615,59.61538461538461,32.69230769230769,38.46153846153847,0.4625,-6.780257562211552,0.45865384615384613
0.0,,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334,,
0.001,0.9687836928041448,0.2808632171621194,-294.2044263312958,-0.028487018769942255,1,train,13.461538461538462,42.30769230769231,50.0,19.230769230769234,30.76923076923077,0.39134615384615384,-9.058576611059374,0.39134615384615384
0.005,0.9687836928041448,0.28737245645136356,-294.1996356029509,-0.13538944935305264,1,train,13.461538461538462,42.30769230769231,53.84615384615385,19.230769230769234,28.846153846153843,0.39134615384615384,-9.00073537119335,0.39134615384615384
0.01,0.9687836928041448,0.2874101217617847,-294.2060367746713,-0.2570179152507902,1,train,13.461538461538462,42.30769230769231,53.84615384615385,19.230769230769234,28.846153846153843,0.3942307692307692,-8.943419544585854,0.3951923076923077
0.05,0.9687836928041448,0.3001013965737139,-294.4893707431698,-0.7581989756796972,1,train,9.615384615384617,46.15384615384615,57.692307692307686,17.307692307692307,30.76923076923077,0.4221153846153846,-8.828196968384935,0.4230769230769231
0.1,0.9687836928041448,0.2822748278646574,-295.1612752276039,-1.090300109836718,1,train,9.615384615384617,44.230769230769226,55.769230769230774,17.307692307692307,32.69230769230769,0.41634615384615387,-8.792906032223131,0.4182692307692308
0.15,0.9687836928041448,0.28057254641215346,-296.0694103776546,-1.3245448267330422,1,train,9.615384615384617,42.30769230769231,55.769230769230774,19.230769230769234,30.76923076923077,0.41346153846153844,-8.708365149645951,0.41346153846153844
0.25,0.9687836928041448,0.27211080718840763,-298.32148429746815,-1.6438445561140902,1,train,7.6923076923076925,44.230769230769226,55.769230769230774,19.230769230769234,30.76923076923077,0.4125,-8.448530168002192,0.4125
0.35,0.9687836928041448,0.27385634905871725,-301.08990549930957,-1.8310304677386913,1,train,9.615384615384617,44.230769230769226,53.84615384615385,19.230769230769234,30.76923076923077,0.39903846153846156,-8.15586208118532,0.40384615384615385
0.5,0.9687836928041448,0.27581339329261695,-305.99512197506783,-1.9373928925640342,1,train,9.615384615384617,42.30769230769231,50.0,21.153846153846153,28.846153846153843,0.3817307692307692,-7.5353335887558375,0.3894230769230769
0.0,,,,,1,test,10.666666666666668,50.66666666666667,64.0,29.333333333333332,41.333333333333336,0.49266666666666664,,
0.001,0.9687836928041448,0.3820964037729388,-289.63251819435453,-0.052736082793514716,2,train,13.461538461538462,57.692307692307686,69.23076923076923,32.69230769230769,44.230769230769226,0.5461538461538461,-7.608521723615007,0.5461538461538461
0.005,0.9687836928041448,0.3780172522640785,-289.65149439290286,-0.23315312225617257,2,train,13.461538461538462,59.61538461538461,69.23076923076923,32.69230769230769,42.30769230769231,0.5461538461538461,-7.490069497171105,0.5461538461538461
0.01,0.9687836928041448,0.38424172378349086,-289.6900590568403,-0.39542949097487223,2,train,13.461538461538462,61.53846153846154,71.15384615384616,34.61538461538461,42.30769230769231,0.5509615384615385,-7.421405888230707,0.5509615384615385
0.05,0.9687836928041448,0.41670255670337186,-290.1790124151894,-1.008703319566495,2,train,19.230769230769234,61.53846153846154,71.15384615384616,36.53846153846153,44.230769230769226,0.5586538461538462,-7.337419835199611,0.5586538461538462
0.1,0.9687836928041448,0.4144773128165347,-291.04472619263254,-1.4133223596638742,2,train,19.230769230769234,61.53846153846154,69.23076923076923,38.46153846153847,44.230769230769226,0.5615384615384615,-7.459806571983889,0.5615384615384615
