D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.9687836928041448,0.3703368115486956,-287.222632998354,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,34.61538461538461,42.30769230769231,0.49423076923076925,-8.696158522860685,0.49423076923076925
0.005,0.9687836928041448,0.3705959887411724,-287.21550061180926,-1.0,0,train,17.307692307692307,51.92307692307693,61.53846153846154,34.61538461538461,42.30769230769231,0.4951923076923077,-8.62180901801118,0.4951923076923077
0.01,0.9687836928041448,0.36690227599782743,-287.2088306627362,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,34.61538461538461,44.230769230769226,0.4913461538461538,-8.559321995220374,0.4913461538461538
0.05,0.9687836928041448,0.3754184343367709,-287.24573244120177,-1.0,0,train,17.307692307692307,53.84615384615385,63.46153846153846,32.69230769230769,42.30769230769231,0.4932692307692308,-8.570120196063966,0.49423076923076925
0.1,0.9687836928041448,0.37422444069441557,-287.51451209551493,-1.0,0,train,17.307692307692307,51.92307692307693,63.46153846153846,32.69230769230769,44.230769230769226,0.5057692307692307,-8.90464355964564,0.5
0.15,0.9687836928041448,0.3780817420849147,-288.01550538793197,-1.0,0,train,17.307692307692307,51.92307692307693,63.46153846153846,32.69230769230769,44.230769230769226,0.5038461538461538,-9.32884639520603,0.4971153846153846
0.25,0.9687836928041448,0.36044352064576357,-289.6178347361971,-1.0,0,train,15.384615384615385,50.0,65.38461538461539,28.846153846153843,40.38461538461539,0.4894230769230769,-10.230013076554911,0.48365384615384616
0.35,0.9687836928041448,0.3522078948004206,-291.8774041937516,-1.0,0,train,17.307692307692307,50.0,59.61538461538461,30.76923076923077,38.46153846153847,0.46442307692307694,-11.09747332614709,0.46826923076923077
0.5,0.9687836928041448,0.34245415248039524,-296.2778126652327,-1.0,0,train,15.384615384615385,46.15384615384615,55.769230769230774,28.846153846153843,40.38461538461539,0.44519230769230766,-12.37493585485598,0.4548076923076923
0.0,,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334,,
0.001,0.9687836928041448,0.2808632171621194,-294.2044087121357,-1.0,1,train,13.461538461538462,42.30769230769231,50.0,19.230769230769234,30.76923076923077,0.39134615384615384,-9.057026425025983,0.39134615384615384
0.005,0.9687836928041448,0.28299418243796065,-294.1960822427697,-1.0,1,train,13.461538461538462,42.30769230769231,51.92307692307693,19.230769230769234,28.846153846153843,0.3903846153846154,-8.990533011253005,0.3903846153846154
0.01,0.9687836928041448,0.28312667801753355,-294.1882572385998,-1.0,1,train,13.461538461538462,44.230769230769226,51.92307692307693,19.230769230769234,28.846153846153843,0.39326923076923076,-8.926842851955485,0.39326923076923076
0.05,0.9687836928041448,0.30231613434626925,-294.22570275934726,-1.0,1,train,9.615384615384617,46.15384615384615,57.692307692307686,21.153846153846153,34.61538461538461,0.425,-9.013287054263966,0.425
0.1,0.9687836928041448,0.26831362468445835,-294.50373706056223,-1.0,1,train,7.6923076923076925,46.15384615384615,55.769230769230774,17.307692307692307,30.76923076923077,0.4201923076923077,-9.567162051755401,0.4153846153846154
0.15,0.9687836928041448,0.2736441288105877,-295.00604399753115,-1.0,1,train,9.615384615384617,42.30769230769231,55.769230769230774,17.307692307692307,28.846153846153843,0.40673076923076923,-10.2103538384031,0.40576923076923077
0.25,0.9687836928041448,0.25520775918052957,-296.56360738661846,-1.0,1,train,7.6923076923076925,42.30769230769231,53.84615384615385,15.384615384615385,25.0,0.375,-11.457140742193317,0.37884615384615383
0.35,0.9687836928041448,0.24838158618041156,-298.7196768141081,-1.0,1,train,7.6923076923076925,36.53846153846153,50.0,13.461538461538462,23.076923076923077,0.34326923076923077,-12.558521107448566,0.3471153846153846
0.5,0.9687836928041448,0.232951694021821,-302.8814959898167,-1.0,1,train,7.6923076923076925,34.61538461538461,46.15384615384615,13.461538461538462,21.153846153846153,0.31826923076923075,-13.985214125233052,0.3403846153846154
0.0,,,,,1,test,10.666666666666668,50.66666666666667,64.0,29.333333333333332,41.333333333333336,0.49266666666666664,,
0.001,0.9687836928041448,0.38919390851194924,-289.63202688853727,-1.0,2,train,15.384615384615385,57.692307692307686,69.23076923076923,32.69230769230769,44.230769230769226,0.5471153846153847,-7.607585807480326,0.5471153846153847
0.005,0.9687836928041448,0.3877355110694972,-289.64801846251635,-1.0,2,train,15.384615384615385,59.61538461538461,69.23076923076923,32.69230769230769,42.30769230769231,0.5490384615384616,-7.495217701362395,0.5490384615384616
0.01,0.9687836928041448,0.38612380775204663,-289.67016412987397,-1.0,2,train,13.461538461538462,61.53846153846154,71.15384615384616,34.61538461538461,42.30769230769231,0.5490384615384616,-7.419502921838354,0.5490384615384616
0.05,0.9687836928041448,0.4090854798425871,-289.9354582052509,-1.0,2,train,17.307692307692307,65.38461538461539,71.15384615384616,36.53846153846153,44.230769230769226,0.5625,-7.583578602996832,0.5586538461538462
0.1,0.9687836928041448,0.41064649164685546,-290.48972683971647,-1.0,2,train,17.307692307692307,61.53846153846154,69.23076923076923,38.46153846153847,50.0,0.5711538461538461,-8.145732312981467,0.5711538461538461
0.15,0.9687836928041448,0.4217658360516803,-291.28087101995936,-1.0,2,train,19.230769230769234,63.46153846153846,69.23076923076923,38.46153846153847,50.0,0.5711538461538461,-8.787450164204072,0.5721153846153846
0.25,0.9687836928041448,0.40929821282293344,-293.4852788152997,-1.0,2,train,19.230769230769234,61.53846153846154,67.3076923076923,36.53846153846153,50.0,0.5576923076923077,-10.103791314209241,0.5567307692307693
0.35,0.9687836928041448,0.3828531574883364,-296.38607605494394,-1.0,2,train,17.307692307692307,53.84615384615385,59.61538461538461,34.61538461538461,42.30769230769231,0.49903846153846154,-11.325356574017706,0.5086538461538461
0.5,0.9687836928041448,0.35321476802069807,-301.83622468685417,-1.0,2,train,17.307692307692307,48.07692307692308,53.84615384615385,34.61538461538461,40.38461538461539,0.4596153846153846,-13.06498913864537,0.46057692307692305
0.0,,,,,2,test,10.666666666666668,41.333333333333336,50.66666666666667,18.666666666666668,32.0,0.38333333333333336,,
0.001,0.9687836928041448,0.3306963285505586,-282.5095021523183,-1.0,3,train,11.538461538461538,50.0,63.46153846153846,25.0,34.61538461538461,0.4634615384615385,-8.946765165601946,0.4634615384615385
0.005,0.9687836928041448,0.32846239651951004,-282.50032016065444,-1.0,3,train,11.538461538461538,50.0,63.46153846153846,25.0,32.69230769230769,0.46153846153846156,-8.857110106867458,0.46153846153846156
0.01,0.9687836928041448,0.3336342041222923,-282.4909510681402,-1.0,3,train,11.538461538461538,50.0,65.38461538461539,25.0,34.61538461538461,0.46442307692307694,-8.765386625908269,0.46442307692307694
0.05,0.9687836928041448,0.33830872615228763,-282.4992456019506,-1.0,3,train,11.538461538461538,55.769230769230774,67.3076923076923,25.0,34.61538461538461,0.4778846153846154,-8.570566817935578,0.47884615384615387
0.1,0.9687836928041448,0.35554274419088255,-282.7101511489031,-1.0,3,train,13.461538461538462,55.769230769230774,65.38461538461539,26.923076923076923,40.38461538461539,0.4951923076923077,-8.75625045231587,0.4932692307692308
0.15,0.9687836928041448,0.36015916474072884,-283.1281530909238,-1.0,3,train,13.461538461538462,53.84615384615385,65.38461538461539,28.846153846153843,38.46153846153847,0.49230769230769234,-9.124329370715246,0.49615384615384617
0.25,0.9687836928041448,0.3460612438948434,-284.51508724991066,-1.0,3,train,11.538461538461538,48.07692307692308,65.38461538461539,28.846153846153843,36.53846153846153,0.4625,-9.986393135629724,0.46826923076923077
0.35,0.9687836928041448,0.34503110663816183,-286.5427809360101,-1.0,3,train,9.615384615384617,46.15384615384615,63.46153846153846,26.923076923076923,34.61538461538461,0.4567307692307692,-10.820297128017604,0.4653846153846154
0.5,0.9687836928041448,0.30929592099320946,-290.6520043154543,-1.0,3,train,9.615384615384617,44.230769230769226,59.61538461538461,26.923076923076923,32.69230769230769,0.43365384615384617,-11.99203785228616,0.42788461538461536
0.0,,,,,3,test,13.333333333333334,45.33333333333333,56.00000000000001,26.666666666666668,38.666666666666664,0.44533333333333336,,
0.001,0.9687836928041448,0.29979980535552814,-302.0095961999703,-1.0,4,train,17.307692307692307,42.30769230769231,51.92307692307693,21.153846153846153,28.846153846153843,0.39807692307692305,-9.943897436574128,0.39807692307692305
0.005,0.9687836928041448,0.3013938164546962,-301.95541888984314,-1.0,4,train,17.307692307692307,44.230769230769226,51.92307692307693,21.153846153846153,28.846153846153843,0.40384615384615385,-9.824450172180526,0.40384615384615385
0.01,0.9687836928041448,0.30570472355632067,-301.89029826439065,-1.0,4,train,17.307692307692307,46.15384615384615,53.84615384615385,21.153846153846153,28.846153846153843,0.4028846153846154,-9.746178912518541,0.40192307692307694
0.05,0.9687836928041448,0.31151494677621133,-301.4788138214567,-1.0,4,train,15.384615384615385,48.07692307692308,55.769230769230774,25.0,34.61538461538461,0.4355769230769231,-9.715745873304337,0.4307692307692308
0.1,0.9687836928041448,0.3164963278847607,-301.24291688045463,-1.0,4,train,13.461538461538462,51.92307692307693,57.692307692307686,25.0,36.53846153846153,0.4567307692307692,-10.11915763362554,0.44903846153846155
0.15,0.9687836928041448,0.3236120773560325,-301.2939396830138,-1.0,4,train,13.461538461538462,50.0,57.692307692307686,23.076923076923077,36.53846153846153,0.45865384615384613,-10.622007574628958,0.4567307692307692
0.25,0.9687836928041448,0.30556824291517,-302.1105862642482,-1.0,4,train,13.461538461538462,46.15384615384615,51.92307692307693,23.076923076923077,30.76923076923077,0.41923076923076924,-11.598380243709578,0.42596153846153845
0.35,0.9687836928041448,0.27565891504130674,-303.681361228949,-1.0,4,train,13.461538461538462,44.230769230769226,50.0,23.076923076923077,30.76923076923077,0.3942307692307692,-12.538807828417463,0.3923076923076923
