D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,,,,0.0,test,8.0,36.0,40.0,14.000000000000002,22.0,0.305
0.0,,,,,0.0,test,12.0,36.0,42.0,20.0,28.000000000000004,0.33
0.0,,,,,0.0,test,12.0,42.0,48.0,20.0,30.0,0.378
0.0,,,,,0.0,test,18.0,52.0,60.0,26.0,38.0,0.472
0.0,,,,,0.0,test,18.0,57.99999999999999,72.0,32.0,46.0,0.548
0.0,,,,,1.0,test,4.0,36.0,38.0,14.000000000000002,24.0,0.298
0.0,,,,,1.0,test,4.0,40.0,46.0,18.0,30.0,0.35
0.0,,,,,1.0,test,6.0,52.0,60.0,22.0,36.0,0.453
0.0,,,,,1.0,test,8.0,56.00000000000001,66.0,26.0,42.0,0.499
0.0,,,,,1.0,test,12.0,60.0,70.0,30.0,48.0,0.542
0.0,,,,,2.0,test,4.0,32.0,34.0,10.0,16.0,0.258
0.0,,,,,2.0,test,4.0,42.0,46.0,12.0,24.0,0.34
0.0,,,,,2.0,test,4.0,48.0,54.0,16.0,32.0,0.4
0.0,,,,,2.0,test,8.0,60.0,66.0,26.0,48.0,0.522
0.0,,,,,2.0,test,8.0,68.0,80.0,32.0,56.00000000000001,0.614
0.0,,,,,3.0,test,6.0,30.0,32.0,16.0,24.0,0.263
0.0,,,,,3.0,test,6.0,32.0,38.0,16.0,22.0,0.286
0.0,,,,,3.0,test,8.0,38.0,48.0,20.0,30.0,0.363
0.0,,,,,3.0,test,10.0,46.0,62.0,28.000000000000004,40.0,0.46
0.0,,,,,3.0,test,12.0,57.99999999999999,74.0,38.0,48.0,0.566
0.0,,,,,4.0,test,6.0,38.0,40.0,16.0,22.0,0.318
0.0,,,,,4.0,test,10.0,44.0,48.0,26.0,32.0,0.39
0.0,,,,,4.0,test,12.0,54.0,57.99999999999999,28.000000000000004,38.0,0.467
0.0,,,,,4.0,test,14.000000000000002,60.0,66.0,36.0,46.0,0.534
0.0,,,,,4.0,test,16.0,66.0,76.0,42.0,54.0,0.61
0.0,,,,,5.0,test,4.0,32.0,36.0,12.0,20.0,0.27
0.0,,,,,5.0,test,4.0,36.0,42.0,18.0,26.0,0.317
0.0,,,,,5.0,test,8.0,42.0,50.0,22.0,34.0,0.383
0.0,,,,,5.0,test,12.0,52.0,62.0,26.0,42.0,0.481
0.0,,,,,5.0,test,14.000000000000002,64.0,74.0,34.0,52.0,0.585
0.0,,,,,6.0,test,2.0,30.0,32.0,12.0,20.0,0.254
0.0,,,,,6.0,test,2.0,36.0,38.0,12.0,26.0,0.3
0.0,,,,,6.0,test,2.0,40.0,52.0,16.0,32.0,0.37
0.0,,,,,6.0,test,6.0,44.0,57.99999999999999,22.0,36.0,0.419
0.0,,,,,6.0,test,8.0,56.00000000000001,72.0,30.0,46.0,0.531
0.0,,,,,7.0,test,4.0,34.0,36.0,14.000000000000002,20.0,0.285
0.0,,,,,7.0,test,8.0,40.0,42.0,18.0,30.0,0.348
0.0,,,,,7.0,test,8.0,44.0,48.0,20.0,34.0,0.385
0.0,,,,,7.0,test,12.0,52.0,57.99999999999999,26.0,40.0,0.467
0.0,,,,,7.0,test,12.0,60.0,68.0,32.0,48.0,0.546
0.0,,,,,8.0,test,4.0,28.000000000000004,32.0,8.0,14.000000000000002,0.231
0.0,,,,,8.0,test,4.0,34.0,44.0,12.0,18.0,0.3
0.0,,,,,8.0,test,6.0,44.0,56.00000000000001,14.000000000000002,28.000000000000004,0.386
0.0,,,,,8.0,test,8.0,52.0,66.0,22.0,40.0,0.472
0.0,,,,,8.0,test,10.0,66.0,78.0,30.0,50.0,0.589
0.0,,,,,9.0,test,8.0,32.0,34.0,16.0,20.0,0.27
0.0,,,,,9.0,test,10.0,38.0,46.0,22.0,26.0,0.348
0.0,,,,,9.0,test,12.0,50.0,57.99999999999999,36.0,42.0,0.469
0.0,,,,,9.0,test,14.000000000000002,57.99999999999999,68.0,40.0,48.0,0.543
0.0,,,,,9.0,test,14.000000000000002,62.0,72.0,40.0,50.0,0.571
0.0,,,,,10.0,test,2.0,32.0,34.0,10.0,18.0,0.259
0.0,,,,,10.0,test,6.0,34.0,38.0,20.0,26.0,0.309
0.0,,,,,10.0,test,8.0,44.0,52.0,22.0,32.0,0.402
0.0,,,,,10.0,test,10.0,54.0,66.0,30.0,44.0,0.503
0.0,,,,,10.0,test,10.0,62.0,72.0,36.0,52.0,0.572
0.0,,,,,11.0,test,6.0,34.0,34.0,12.0,20.0,0.276
0.0,,,,,11.0,test,8.0,38.0,40.0,18.0,28.000000000000004,0.326
0.0,,,,,11.0,test,8.0,46.0,50.0,20.0,32.0,0.396
0.0,,,,,11.0,test,10.0,54.0,60.0,26.0,40.0,0.473
0.0,,,,,11.0,test,12.0,57.99999999999999,68.0,30.0,46.0,0.525
0.0,,,,,12.0,test,2.0,38.0,40.0,10.0,20.0,0.306
0.0,,,,,12.0,test,2.0,44.0,52.0,12.0,20.0,0.368
0.0,,,,,12.0,test,4.0,52.0,64.0,16.0,26.0,0.445
0.0,,,,,12.0,test,4.0,56.00000000000001,68.0,22.0,34.0,0.489
0.0,,,,,12.0,test,4.0,64.0,76.0,28.000000000000004,48.0,0.571
0.0,,,,,13.0,test,8.0,32.0,32.0,12.0,20.0,0.267
0.0,,,,,13.0,test,10.0,40.0,42.0,16.0,28.000000000000004,0.34
0.0,,,,,13.0,test,14.000000000000002,42.0,46.0,22.0,34.0,0.377
0.0,,,,,13.0,test,14.000000000000002,56.00000000000001,60.0,28.000000000000004,44.0,0.489
0.0,,,,,13.0,test,14.000000000000002,64.0,70.0,36.0,56.00000000000001,0.572
0.0,,,,,14.0,test,6.0,40.0,40.0,14.000000000000002,24.0,0.321
0.0,,,,,14.0,test,10.0,46.0,48.0,20.0,34.0,0.392
0.0,,,,,14.0,test,12.0,54.0,60.0,26.0,42.0,0.477
0.0,,,,,14.0,test,14.000000000000002,62.0,68.0,28.000000000000004,46.0,0.543
0.0,,,,,14.0,test,16.0,72.0,80.0,38.0,56.00000000000001,0.638
0.0,,,,,15.0,test,6.0,34.0,36.0,14.000000000000002,20.0,0.283
0.0,,,,,15.0,test,10.0,38.0,42.0,18.0,24.0,0.331
0.0,,,,,15.0,test,12.0,44.0,48.0,26.0,36.0,0.399
0.0,,,,,15.0,test,16.0,60.0,66.0,34.0,48.0,0.54
0.0,,,,,15.0,test,16.0,70.0,78.0,40.0,57.99999999999999,0.634
0.0,,,,,16.0,test,8.0,38.0,40.0,16.0,22.0,0.317
0.0,,,,,16.0,test,12.0,40.0,46.0,20.0,26.0,0.363
0.0,,,,,16.0,test,16.0,46.0,56.00000000000001,26.0,32.0,0.433
0.0,,,,,16.0,test,16.0,54.0,64.0,32.0,38.0,0.501
0.0,,,,,16.0,test,16.0,62.0,72.0,36.0,50.0,0.569
0.0,,,,,17.0,test,4.0,36.0,36.0,14.000000000000002,22.0,0.295
0.0,,,,,17.0,test,8.0,40.0,42.0,18.0,24.0,0.336
0.0,,,,,17.0,test,12.0,50.0,54.0,24.0,30.0,0.427
0.0,,,,,17.0,test,12.0,56.00000000000001,62.0,32.0,40.0,0.498
0.0,,,,,17.0,test,14.000000000000002,60.0,68.0,38.0,50.0,0.548
0.0,,,,,18.0,test,6.0,34.0,38.0,16.0,20.0,0.294
0.0,,,,,18.0,test,6.0,36.0,44.0,16.0,20.0,0.33
0.0,,,,,18.0,test,6.0,42.0,56.00000000000001,22.0,28.000000000000004,0.401
0.0,,,,,18.0,test,8.0,46.0,64.0,28.000000000000004,38.0,0.459
0.0,,,,,18.0,test,10.0,62.0,78.0,38.0,50.0,0.587
0.0,,,,,19.0,test,6.0,34.0,36.0,12.0,20.0,0.281
0.0,,,,,19.0,test,6.0,42.0,52.0,16.0,24.0,0.369
0.0,,,,,19.0,test,6.0,46.0,54.0,22.0,32.0,0.406
0.0,,,,,19.0,test,12.0,52.0,60.0,30.0,42.0,0.477
0.0,,,,,19.0,test,14.000000000000002,62.0,74.0,38.0,50.0,0.574
0.0,,,,,20.0,test,6.0,34.0,36.0,16.0,24.0,0.293
0.0,,,,,20.0,test,8.0,40.0,44.0,16.0,26.0,0.341
