sample,D,k
0.0,0.1,0.75
1.0,0.15,0.5
2.0,0.25,0.75
3.0,0.005,3.0
4.0,0.25,2.5
5.0,0.005,4.5
6.0,0.05,3.5
7.0,0.05,2.5
8.0,0.005,7.0
9.0,0.01,4.0
10.0,0.005,10.0
11.0,0.25,0.75
12.0,0.1,3.0
13.0,0.1,1.5
14.0,0.1,0.75
15.0,0.1,0.75
16.0,0.005,6.0
17.0,0.005,6.0
18.0,0.005,7.0
19.0,0.01,5.5
20.0,0.05,2.0
21.0,0.01,4.5
22.0,0.01,5.5
23.0,0.05,2.5
24.0,0.05,1.0
25.0,0.005,7.0
26.0,0.005,3.0
27.0,0.1,0.5
28.0,0.01,4.0
29.0,0.01,10.0
30.0,0.05,3.0
31.0,0.01,10.0
32.0,0.1,1.5
33.0,0.01,10.0
34.0,0.5,0.25
35.0,0.005,2.5
36.0,0.15,3.5
37.0,0.05,0.5
38.0,0.05,2.0
39.0,0.05,3.0
40.0,0.01,5.0
41.0,0.15,0.75
42.0,0.005,10.0
43.0,0.005,7.0
44.0,0.05,3.5
45.0,0.05,2.0
46.0,0.35,0.25
47.0,0.001,10.0
48.0,0.15,2.0
49.0,0.25,0.5
50.0,0.25,1.0
51.0,0.01,5.0
52.0,0.05,3.5
53.0,0.25,1.5
54.0,0.01,5.5
55.0,0.01,10.0
56.0,0.005,6.0
57.0,0.25,0.5
58.0,0.001,10.0
59.0,0.1,1.0
60.0,0.001,10.0
61.0,0.05,1.5
62.0,0.005,7.0
63.0,0.01,5.5
64.0,0.15,0.75
65.0,0.1,1.0
66.0,0.15,0.75
67.0,0.5,0.25
68.0,0.01,6.0
69.0,0.05,0.75
70.0,0.01,3.0
71.0,0.1,2.5
72.0,0.1,0.75
73.0,0.005,0.75
74.0,0.5,0.5
75.0,0.05,1.5
76.0,0.1,2.0
77.0,0.005,3.5
78.0,0.5,0.25
79.0,0.15,0.25
80.0,0.005,2.5
81.0,0.01,4.5
82.0,0.005,4.5
83.0,0.01,4.5
84.0,0.5,0.5
85.0,0.05,1.5
86.0,0.005,3.5
87.0,0.1,0.75
88.0,0.15,1.5
89.0,0.01,4.0
90.0,0.01,10.0
91.0,0.1,2.0
92.0,0.01,3.5
93.0,0.01,6.0
94.0,0.01,3.5
95.0,0.01,4.0
96.0,0.05,4.5
97.0,0.01,3.5
98.0,0.01,4.5
99.0,0.35,0.5
