D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,inf,0.5539549787310133,-157.04394398716053,-0.15108736938636785,0,train,42.22222222222222,64.44444444444444,68.88888888888889,55.55555555555556,62.22222222222222,0.6388888888888888,-5.105022357041991,0.6388888888888888
0.005,inf,0.5507892299057898,-156.9351894413174,-0.5509713025753192,0,train,42.22222222222222,66.66666666666666,68.88888888888889,55.55555555555556,60.0,0.6411111111111111,-5.2605487813633856,0.6422222222222222
0.01,inf,0.5505058527256136,-156.81117575166272,-0.8271973562838051,0,train,42.22222222222222,68.88888888888889,68.88888888888889,55.55555555555556,60.0,0.6422222222222222,-5.535263278636371,0.6422222222222222
0.05,inf,0.5330660540991865,-156.12390572730817,-1.6372818449458062,0,train,40.0,68.88888888888889,71.11111111111111,53.333333333333336,57.77777777777777,0.6455555555555555,-6.945204258690783,0.6455555555555555
0.1,inf,0.5409291094153711,-155.85514295810825,-2.6115101459327588,0,train,42.22222222222222,66.66666666666666,71.11111111111111,53.333333333333336,55.55555555555556,0.6322222222222222,-7.364825451291738,0.6433333333333333
0.15,inf,0.5405269000274328,-155.8439632765862,-3.5857384469197098,0,train,42.22222222222222,64.44444444444444,68.88888888888889,53.333333333333336,57.77777777777777,0.6222222222222222,-7.319312576327849,0.6355555555555555
0.25,inf,0.5483832333088491,-156.31942063297612,-5.534195048893617,0,train,42.22222222222222,64.44444444444444,68.88888888888889,53.333333333333336,60.0,0.6211111111111111,-6.881986382178322,0.63
0.35,inf,0.538164966287074,-157.0862665482644,-7.48265165086752,0,train,42.22222222222222,64.44444444444444,64.44444444444444,53.333333333333336,57.77777777777777,0.6122222222222222,-6.361029575205494,0.6222222222222222
0.5,inf,0.5282355859245167,-158.33041180707366,-10.405336553828377,0,train,40.0,64.44444444444444,64.44444444444444,53.333333333333336,57.77777777777777,0.61,-5.5630567017406305,0.6177777777777778
0.0,,,,,0,test,16.923076923076923,64.61538461538461,72.3076923076923,41.53846153846154,55.38461538461539,0.6053846153846154,,
0.001,inf,0.4278958633655073,-195.7510060701776,-0.1710318156493701,1,train,15.555555555555555,62.22222222222222,71.11111111111111,46.666666666666664,55.55555555555556,0.5988888888888889,-6.209999478090593,0.5988888888888889
0.005,inf,0.4297087478505515,-195.32898152421222,-0.4912565261513338,1,train,15.555555555555555,62.22222222222222,68.88888888888889,51.11111111111111,55.55555555555556,0.5988888888888889,-6.237387895182978,0.5988888888888889
0.01,inf,0.43991967904209034,-194.81443524617924,-0.606191333107035,1,train,17.77777777777778,64.44444444444444,68.88888888888889,48.888888888888886,53.333333333333336,0.5988888888888889,-6.320120543684071,0.6
0.05,inf,0.4383251438459506,-193.0729826575629,-0.6819893555487577,1,train,17.77777777777778,62.22222222222222,68.88888888888889,46.666666666666664,55.55555555555556,0.5966666666666667,-6.809767503262866,0.5988888888888889
0.1,inf,0.43692271545298533,-192.16338571297715,-0.7218381096315222,1,train,17.77777777777778,62.22222222222222,68.88888888888889,46.666666666666664,53.333333333333336,0.5822222222222222,-6.81233961783234,0.5955555555555555
0.15,inf,0.43748959441125324,-191.94063562672426,-0.7616868637142866,1,train,17.77777777777778,64.44444444444444,68.88888888888889,46.666666666666664,53.333333333333336,0.5822222222222222,-6.601997353508047,0.5944444444444444
0.25,inf,0.4211826541699915,-192.43443390499948,-0.8413843718798149,1,train,20.0,57.77777777777777,68.88888888888889,44.44444444444444,48.888888888888886,0.5644444444444444,-6.0220408618484385,0.5822222222222222
0.35,inf,0.4296288889519961,-193.24404617576698,-0.9210818800453432,1,train,20.0,55.55555555555556,66.66666666666666,44.44444444444444,51.11111111111111,0.5488888888888889,-5.4030301005998185,0.5811111111111111
0.5,inf,0.4284979192500374,-194.54767797395013,-1.0406281422936363,1,train,22.22222222222222,55.55555555555556,62.22222222222222,42.22222222222222,48.888888888888886,0.5355555555555556,-4.465597132672067,0.5777777777777777
0.0,,,,,1,test,27.692307692307693,60.0,72.3076923076923,38.46153846153847,53.84615384615385,0.5915384615384616,,
0.001,inf,0.45161624981665677,-201.4388977344753,-0.15363983776446735,2,train,26.666666666666668,57.77777777777777,66.66666666666666,46.666666666666664,51.11111111111111,0.5655555555555556,-5.021738537175056,0.5655555555555556
0.005,inf,0.4551599172303362,-201.12958680049886,-0.46319196436415616,2,train,26.666666666666668,60.0,66.66666666666666,48.888888888888886,53.333333333333336,0.5755555555555556,-5.230001897868566,0.5755555555555556
0.01,inf,0.4830239640126426,-200.83861696924254,-0.6056566918095151,2,train,28.888888888888886,62.22222222222222,66.66666666666666,51.11111111111111,53.333333333333336,0.59,-5.537308896256213,0.59
0.05,inf,0.4838088439068073,-200.14284704802722,-0.8147916603726404,2,train,26.666666666666668,60.0,66.66666666666666,46.666666666666664,53.333333333333336,0.5744444444444444,-7.059437925444295,0.5922222222222222
0.1,inf,0.46445925137842425,-200.23814748421105,-0.9612652155005645,2,train,24.444444444444443,55.55555555555556,66.66666666666666,46.666666666666664,51.11111111111111,0.5522222222222222,-7.591108624357092,0.5777777777777777
0.15,inf,0.45680181508898826,-200.7275624238482,-1.1077387706284885,2,train,24.444444444444443,53.333333333333336,66.66666666666666,44.44444444444444,46.666666666666664,0.5277777777777778,-7.5818220585353835,0.5788888888888889
0.25,inf,0.45007733025642804,-201.99705058925412,-1.4006858808843365,2,train,24.444444444444443,53.333333333333336,64.44444444444444,40.0,46.666666666666664,0.5222222222222223,-7.145724494228733,0.5744444444444444
0.35,inf,0.44640962060484907,-203.13585676877932,-1.6936329911401846,2,train,24.444444444444443,53.333333333333336,62.22222222222222,40.0,46.666666666666664,0.5211111111111111,-6.6075252291654305,0.57
0.5,inf,0.4438978851837764,-204.7087543465183,-2.1330536565239573,2,train,20.0,51.11111111111111,62.22222222222222,37.77777777777778,44.44444444444444,0.5022222222222222,-5.780101863704051,0.5544444444444444
0.0,,,,,2,test,24.615384615384617,67.6923076923077,73.84615384615385,44.61538461538462,61.53846153846154,0.6369230769230769,,
0.001,inf,0.48034937152990864,-168.89493347013976,-0.17276970611214867,3,train,24.444444444444443,66.66666666666666,73.33333333333333,48.888888888888886,53.333333333333336,0.6288888888888889,-5.038580605109385,0.6288888888888889
0.005,inf,0.4972602019840941,-168.57070990078915,-0.47939073640926405,3,train,26.666666666666668,68.88888888888889,73.33333333333333,51.11111111111111,55.55555555555556,0.6444444444444445,-5.1309868416390625,0.6444444444444445
0.01,inf,0.5033534250968916,-168.30470743290624,-0.6132706025949985,3,train,26.666666666666668,68.88888888888889,73.33333333333333,53.333333333333336,60.0,0.65,-5.411652890609513,0.65
0.05,inf,0.5003253424465421,-167.52654399452717,-1.1761158523328747,3,train,26.666666666666668,68.88888888888889,73.33333333333333,53.333333333333336,62.22222222222222,0.6522222222222223,-6.513638562157891,0.6433333333333333
0.1,inf,0.5060551880130967,-167.41618380375792,-1.775838199677073,3,train,26.666666666666668,71.11111111111111,75.55555555555556,53.333333333333336,57.77777777777777,0.6455555555555555,-6.919473518592411,0.65
0.15,inf,0.5063792125071387,-167.63458641312417,-2.356762927835618,3,train,20.0,68.88888888888889,73.33333333333333,48.888888888888886,55.55555555555556,0.6288888888888889,-6.897005695671172,0.6533333333333333
0.25,inf,0.5052333810513934,-168.41795676163227,-3.518612384152706,3,train,20.0,66.66666666666666,73.33333333333333,48.888888888888886,53.333333333333336,0.6111111111111112,-6.474075929457047,0.65
0.35,inf,0.5039328283596536,-169.27838538903558,-4.6804618404697935,3,train,20.0,62.22222222222222,73.33333333333333,48.888888888888886,53.333333333333336,0.6011111111111112,-5.962088677371448,0.6477777777777778
0.5,inf,0.5033498611705194,-170.56873523138728,-6.423236024945427,3,train,20.0,60.0,73.33333333333333,48.888888888888886,53.333333333333336,0.5777777777777777,-5.178532491366444,0.6444444444444445
0.0,,,,,3,test,26.153846153846157,56.92307692307692,64.61538461538461,41.53846153846154,50.76923076923077,0.5461538461538461,,
0.001,inf,0.4844355621842725,-162.69302320172312,-0.1512660675511852,4,train,28.888888888888886,64.44444444444444,71.11111111111111,48.888888888888886,55.55555555555556,0.6266666666666667,-5.3205588113649265,0.6266666666666667
0.005,inf,0.4860840230804101,-162.36418073395345,-0.5330031114421296,4,train,28.888888888888886,64.44444444444444,71.11111111111111,51.11111111111111,57.77777777777777,0.6255555555555555,-5.292687516525571,0.6255555555555555
0.01,inf,0.4941853858583243,-162.04754988543775,-0.7202896667158921,4,train,28.888888888888886,64.44444444444444,73.33333333333333,53.333333333333336,60.0,0.63,-5.492863953998018,0.6311111111111111
0.05,inf,0.4996989597751246,-160.9531281997605,-1.2093776174620843,4,train,24.444444444444443,64.44444444444444,75.55555555555556,51.11111111111111,55.55555555555556,0.6255555555555555,-6.574767059379068,0.6433333333333333
0.1,inf,0.48243823935477853,-160.58573380761416,-1.6001837480550103,4,train,26.666666666666668,60.0,73.33333333333333,46.666666666666664,57.77777777777777,0.5955555555555555,-6.9827944293683775,0.6433333333333333
0.15,inf,0.4832434644980837,-160.72827044864752,-1.9909898786479356,4,train,26.666666666666668,60.0,68.88888888888889,46.666666666666664,57.77777777777777,0.5922222222222222,-6.930694561503324,0.6433333333333333
0.25,inf,0.4901522264109083,-161.60702029588796,-2.7726021398337863,4,train,26.666666666666668,62.22222222222222,68.88888888888889,44.44444444444444,55.55555555555556,0.59,-6.483757087790848,0.6444444444444445
0.35,inf,0.47465930555188635,-162.50821207352575,-3.5542144010196384,4,train,26.666666666666668,60.0,68.88888888888889,44.44444444444444,51.11111111111111,0.5777777777777777,-5.955295572685957,0.63
0.5,inf,0.46999810834574524,-163.78403559055397,-4.726632792798416,4,train,26.666666666666668,60.0,68.88888888888889,44.44444444444444,51.11111111111111,0.5677777777777778,-5.147708693385256,0.6177777777777778
0.0,,,,,4,test,23.076923076923077,60.0,70.76923076923077,41.53846153846154,53.84615384615385,0.59,,
0.001,inf,0.4703288235761485,-185.88299664301954,-0.16329295321088888,5,train,26.666666666666668,66.66666666666666,71.11111111111111,46.666666666666664,55.55555555555556,0.6244444444444445,-6.639295526588405,0.6244444444444445
0.005,inf,0.48344097716364814,-185.60952588422262,-0.5195960829546118,5,train,26.666666666666668,66.66666666666666,71.11111111111111,53.333333333333336,57.77777777777777,0.6344444444444445,-6.6425242136305656,0.6344444444444445
0.01,inf,0.48474399843789,-185.37435565898278,-0.7495479558826685,5,train,26.666666666666668,68.88888888888889,71.11111111111111,53.333333333333336,60.0,0.6377777777777778,-6.7939390695100474,0.6377777777777778
0.05,inf,0.4734506715561416,-184.9462188677669,-1.3697439674269762,5,train,26.666666666666668,68.88888888888889,71.11111111111111,48.888888888888886,57.77777777777777,0.6355555555555555,-7.6553745446988355,0.6366666666666667
0.1,inf,0.47319530763070905,-185.23653995600924,-1.9414670905377078,5,train,26.666666666666668,62.22222222222222,68.88888888888889,46.666666666666664,55.55555555555556,0.5877777777777777,-7.860651623792036,0.6244444444444445
