sample,D,k
0.0,0.001,inf
1.0,0.05,inf
2.0,0.01,inf
3.0,0.005,inf
4.0,0.05,inf
5.0,0.01,inf
6.0,0.1,inf
7.0,0.001,inf
8.0,0.01,inf
9.0,0.001,inf
10.0,0.05,inf
11.0,0.05,inf
12.0,0.01,inf
13.0,0.05,inf
14.0,0.005,inf
15.0,0.05,inf
16.0,0.01,inf
17.0,0.05,inf
18.0,0.05,inf
19.0,0.1,inf
20.0,0.01,inf
21.0,0.01,inf
22.0,0.05,inf
23.0,0.01,inf
24.0,0.005,inf
25.0,0.05,inf
26.0,0.01,inf
27.0,0.01,inf
28.0,0.01,inf
29.0,0.05,inf
30.0,0.005,inf
31.0,0.05,inf
32.0,0.05,inf
33.0,0.005,inf
34.0,0.05,inf
35.0,0.1,inf
36.0,0.05,inf
37.0,0.1,inf
38.0,0.01,inf
39.0,0.05,inf
40.0,0.05,inf
41.0,0.01,inf
42.0,0.05,inf
43.0,0.01,inf
44.0,0.05,inf
45.0,0.05,inf
46.0,0.005,inf
47.0,0.001,inf
48.0,0.005,inf
49.0,0.05,inf
