D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,1.0205483803681052,0.5760294412930492,-137.82814066017042,-1.0,0,train,37.77777777777778,71.11111111111111,75.55555555555556,60.0,66.66666666666666,0.6911111111111111,-3.6818704202773693,0.6911111111111111
0.005,1.0205483803681052,0.5759219285030471,-137.86829490312,-1.0,0,train,37.77777777777778,71.11111111111111,75.55555555555556,60.0,66.66666666666666,0.69,-3.667557471991998,0.69
0.01,1.0205483803681052,0.5759219285030471,-137.91909806677873,-1.0,0,train,37.77777777777778,71.11111111111111,75.55555555555556,60.0,66.66666666666666,0.69,-3.649576180905011,0.69
0.05,1.0205483803681052,0.5811947737096659,-138.34910194863718,-1.0,0,train,37.77777777777778,71.11111111111111,77.77777777777779,60.0,66.66666666666666,0.6955555555555556,-3.617968473049195,0.6955555555555556
0.1,1.0205483803681052,0.6006311547421956,-138.94192020083094,-1.0,0,train,37.77777777777778,73.33333333333333,84.44444444444444,60.0,68.88888888888889,0.7155555555555555,-3.6626592370969457,0.7155555555555555
0.15,1.0205483803681052,0.604236534522658,-139.5912798224794,-1.0,0,train,37.77777777777778,73.33333333333333,84.44444444444444,62.22222222222222,66.66666666666666,0.7188888888888889,-3.839508263680992,0.7177777777777777
0.25,1.0205483803681052,0.6191880980942309,-141.04565628162817,-1.0,0,train,42.22222222222222,75.55555555555556,82.22222222222221,62.22222222222222,66.66666666666666,0.7333333333333333,-4.375625186915134,0.7333333333333333
0.35,1.0205483803681052,0.624797445260333,-142.69816762433638,-1.0,0,train,44.44444444444444,75.55555555555556,82.22222222222221,62.22222222222222,66.66666666666666,0.7322222222222222,-5.009183961711334,0.7355555555555555
0.5,1.0205483803681052,0.5940153528651462,-145.57491071176548,-1.0,0,train,40.0,75.55555555555556,80.0,57.77777777777777,64.44444444444444,0.71,-6.031618958750601,0.7233333333333334
0.0,,,,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846,,
