D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,1.057095276242629,0.48394777163455843,-230.27518718884602,-1.0,0,train,22.0,74.0,82.0,48.0,54.0,0.662,-5.839819618827753,0.662
0.005,1.057095276242629,0.4869922205827733,-230.24272496903419,-1.0,0,train,22.0,74.0,82.0,50.0,54.0,0.668,-5.755841020912028,0.668
0.01,1.057095276242629,0.4914772687285253,-230.20338301749177,-1.0,0,train,24.0,74.0,82.0,48.0,56.00000000000001,0.67,-5.682762668096711,0.67
0.05,1.057095276242629,0.49201914931111385,-229.93794310341175,-1.0,0,train,22.0,72.0,84.0,48.0,57.99999999999999,0.679,-5.518134587076531,0.679
0.1,1.057095276242629,0.5049867955963544,-229.72836832500488,-1.0,0,train,26.0,70.0,82.0,48.0,56.00000000000001,0.671,-5.686045700620096,0.67
0.15,1.057095276242629,0.49675711461650546,-229.6518112915043,-1.0,0,train,28.000000000000004,68.0,82.0,48.0,56.00000000000001,0.657,-6.059687557057985,0.655
0.25,1.057095276242629,0.4709588020269226,-229.876668195004,-1.0,0,train,24.0,64.0,76.0,48.0,54.0,0.623,-6.876298981442143,0.626
0.35,1.057095276242629,0.457033761277589,-230.55554357648964,-1.0,0,train,22.0,60.0,72.0,46.0,54.0,0.592,-7.583619646961846,0.598
0.5,1.057095276242629,0.44940942038081366,-232.27992098488906,-1.0,0,train,22.0,57.99999999999999,68.0,46.0,50.0,0.567,-8.652899720418981,0.584
0.0,,,,,0,test,19.0,68.0,77.0,47.0,61.0,0.64,,
0.001,1.3384000668822948,0.45848324688729764,-233.3452671304299,-1.0,1,train,26.0,64.0,70.0,44.0,52.0,0.592,-8.276919272511114,0.592
0.005,1.3384000668822948,0.4640160860317307,-233.3395560898659,-1.0,1,train,28.000000000000004,64.0,70.0,44.0,50.0,0.591,-8.217821138698524,0.591
0.01,1.3384000668822948,0.4726296171931986,-233.33378970322295,-1.0,1,train,30.0,64.0,70.0,42.0,50.0,0.592,-8.167510637123138,0.592
0.05,1.3384000668822948,0.46538147005959196,-233.34143805007585,-1.0,1,train,28.000000000000004,64.0,70.0,40.0,52.0,0.597,-8.166764287477017,0.597
0.1,1.3384000668822948,0.4530068372486297,-233.47928326861145,-1.0,1,train,26.0,62.0,70.0,40.0,50.0,0.582,-8.39077183674682,0.581
0.15,1.3384000668822948,0.4443956070794243,-233.74830299028233,-1.0,1,train,26.0,62.0,68.0,40.0,50.0,0.578,-8.707476359144303,0.579
0.25,1.3384000668822948,0.4338658864206505,-234.629543646394,-1.0,1,train,24.0,57.99999999999999,68.0,42.0,50.0,0.569,-9.444140031975111,0.569
0.35,1.3384000668822948,0.41001328742282395,-235.89615727227263,-1.0,1,train,22.0,57.99999999999999,68.0,38.0,48.0,0.538,-10.201238634804389,0.538
0.5,1.3384000668822948,0.35728977452863525,-238.38895562198104,-1.0,1,train,14.000000000000002,52.0,64.0,30.0,40.0,0.478,-11.261059024912301,0.5
0.0,,,,,1,test,21.0,71.0,83.0,48.0,59.0,0.674,,
