D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.25,0.3637995218502886,-287.247829873199,-1.0,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769,-8.7084611301421,0.4894230769230769
0.001,0.5,0.3637995218502886,-287.23988277657054,-1.0,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769,-8.704732035303634,0.4894230769230769
0.001,0.75,0.3637995218502886,-287.23200977368964,-1.0,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769,-8.701063384819498,0.4894230769230769
0.001,1.0,0.3684113000535219,-287.2241776611742,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,32.69230769230769,42.30769230769231,0.4932692307692308,-8.697531923170446,0.4932692307692308
0.001,1.5,0.3684113000535219,-287.20856498644605,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,32.69230769230769,42.30769230769231,0.4932692307692308,-8.691174944333163,0.4932692307692308
0.001,2.0,0.3684113000535219,-287.1929862461913,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,32.69230769230769,42.30769230769231,0.4932692307692308,-8.685999530976261,0.4932692307692308
0.001,2.5,0.3684113000535219,-287.17743264385234,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,32.69230769230769,42.30769230769231,0.4932692307692308,-8.682123828926187,0.4932692307692308
0.001,3.0,0.3705042113799226,-287.1619035140064,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,32.69230769230769,42.30769230769231,0.49423076923076925,-8.678846392099183,0.4951923076923077
0.001,3.5,0.3705042113799226,-287.14639941787755,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,34.61538461538461,42.30769230769231,0.4951923076923077,-8.675907639091255,0.4951923076923077
0.001,4.0,0.3704013371898886,-287.13092097404285,-1.0,0,train,17.307692307692307,50.0,61.53846153846154,34.61538461538461,42.30769230769231,0.49423076923076925,-8.673199905239878,0.49423076923076925
0.001,4.5,0.37050294882674745,-287.1154686681531,-1.0,0,train,17.307692307692307,51.92307692307693,61.53846153846154,34.61538461538461,42.30769230769231,0.4951923076923077,-8.670909712059286,0.49423076923076925
0.001,5.0,0.37050294882674745,-287.10004284945404,-1.0,0,train,17.307692307692307,51.92307692307693,61.53846153846154,34.61538461538461,42.30769230769231,0.49423076923076925,-8.668985863626826,0.49423076923076925
0.001,5.5,0.37050294882674745,-287.0846437605619,-1.0,0,train,17.307692307692307,51.92307692307693,61.53846153846154,34.61538461538461,42.30769230769231,0.49423076923076925,-8.667188742641253,0.49423076923076925
0.001,6.0,0.37050294882674745,-287.06927156705586,-1.0,0,train,17.307692307692307,51.92307692307693,61.53846153846154,34.61538461538461,42.30769230769231,0.49423076923076925,-8.665540273149317,0.49423076923076925
0.001,7.0,0.3658911706235142,-287.0386082742007,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,34.61538461538461,42.30769230769231,0.49038461538461536,-8.662884277931168,0.49038461538461536
0.001,10.0,0.36690227599782743,-286.9472698944374,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,34.61538461538461,44.230769230769226,0.4913461538461538,-8.66035971441468,0.4913461538461538
0.005,0.25,0.3637995218502886,-287.34066585570736,-1.0,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769,-8.658289044733039,0.4894230769230769
0.005,0.5,0.3639669216815156,-287.3010935646631,-1.0,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.49038461538461536,-8.645420492120351,0.49038461538461536
0.005,0.75,0.36416157323279946,-287.26204001665826,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,32.69230769230769,42.30769230769231,0.4913461538461538,-8.637925010342558,0.4913461538461538
0.005,1.0,0.3685774373315738,-287.22333558928824,-1.0,0,train,17.307692307692307,51.92307692307693,61.53846153846154,32.69230769230769,42.30769230769231,0.4932692307692308,-8.632356226030096,0.4932692307692308
0.005,1.5,0.36396565912834045,-287.146606586815,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769,-8.625646608599185,0.4894230769230769
0.005,2.0,0.3649767645026537,-287.07059977524835,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,32.69230769230769,44.230769230769226,0.49038461538461536,-8.624558137865508,0.49038461538461536
0.005,2.5,0.3649767645026537,-286.9952640212944,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,32.69230769230769,44.230769230769226,0.49038461538461536,-8.627783800339698,0.49038461538461536
0.005,3.0,0.3673708138596253,-286.92059080341505,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,30.76923076923077,44.230769230769226,0.4913461538461538,-8.636798031154047,0.49230769230769234
0.005,3.5,0.36796015270821225,-286.84657834804443,-1.0,0,train,17.307692307692307,51.92307692307693,59.61538461538461,32.69230769230769,46.15384615384615,0.4932692307692308,-8.648690721078328,0.4932692307692308
