D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,inf,0.4161336040793693,-151.61508632020943,-8.509908943473743,0,train,9.67741935483871,64.51612903225806,74.19354838709677,35.483870967741936,54.83870967741935,0.5806451612903226,-14.822392729669948,0.5806451612903226
0.005,inf,0.4321871679598123,-151.3290316315631,-8.839691798036993,0,train,12.903225806451612,64.51612903225806,74.19354838709677,38.70967741935484,54.83870967741935,0.5903225806451613,-14.849934284669255,0.5903225806451613
0.01,inf,0.41747877791235616,-151.08016268055115,-8.945920514855565,0,train,9.67741935483871,67.74193548387096,77.41935483870968,35.483870967741936,51.61290322580645,0.6016129032258064,-15.141210910534188,0.6
0.05,inf,0.3897286033939207,-150.59727253777484,-8.640503899738961,0,train,6.451612903225806,58.06451612903226,67.74193548387096,32.25806451612903,45.16129032258064,0.5290322580645161,-16.2047757852253,0.5467741935483871
0.1,inf,0.37491528142394775,-150.94026004074146,-8.185740536594805,0,train,6.451612903225806,54.83870967741935,67.74193548387096,25.806451612903224,41.935483870967744,0.5161290322580645,-15.820246528002011,0.5403225806451613
0.15,inf,0.37455052391776744,-151.49072580456738,-7.730977173450651,0,train,6.451612903225806,51.61290322580645,64.51612903225806,22.58064516129032,41.935483870967744,0.4854838709677419,-15.144235484517475,0.5370967741935484
0.25,inf,0.3743944569645386,-152.6747133374178,-6.821450447162338,0,train,6.451612903225806,51.61290322580645,64.51612903225806,22.58064516129032,41.935483870967744,0.4838709677419355,-13.594191646794151,0.535483870967742
0.35,inf,0.3736819714802531,-154.02395842201852,-5.911923720874027,0,train,6.451612903225806,51.61290322580645,64.51612903225806,22.58064516129032,41.935483870967744,0.4790322580645161,-11.9925051397516,0.532258064516129
0.5,inf,0.3736546929635355,-156.60928628807272,-4.54763363144156,0,train,6.451612903225806,51.61290322580645,64.51612903225806,22.58064516129032,38.70967741935484,0.47580645161290325,-9.552970626467276,0.5306451612903226
0.0,,,,,0,test,14.000000000000002,52.0,68.0,28.000000000000004,40.0,0.493,,
0.001,inf,0.42932769409804933,-142.877458112937,-0.1303106548002923,1,train,12.903225806451612,70.96774193548387,80.64516129032258,41.935483870967744,54.83870967741935,0.6306451612903226,-2.0232589440374085,0.6274193548387097
0.005,inf,0.43615917204281157,-142.38631937762747,-0.3784452536280172,1,train,12.903225806451612,74.19354838709677,80.64516129032258,41.935483870967744,58.06451612903226,0.6451612903225806,-1.9966661058275839,0.6451612903225806
0.01,inf,0.4344638026728439,-142.02245208212977,-0.48959504116185354,1,train,12.903225806451612,70.96774193548387,83.87096774193549,45.16129032258064,54.83870967741935,0.6274193548387097,-2.082622135348685,0.6241935483870967
0.05,inf,0.4267745542784473,-141.67906243561515,-0.6131475910704509,1,train,6.451612903225806,70.96774193548387,74.19354838709677,41.935483870967744,54.83870967741935,0.6112903225806452,-2.7435832098878756,0.6209677419354839
0.1,inf,0.3940229733907025,-142.5002801207199,-0.6187481305699345,1,train,6.451612903225806,64.51612903225806,67.74193548387096,38.70967741935484,51.61290322580645,0.5693548387096774,-2.969735748037361,0.6064516129032258
0.15,inf,0.38870588802989986,-143.52718738289133,-0.6243486700694182,1,train,6.451612903225806,64.51612903225806,67.74193548387096,35.483870967741936,51.61290322580645,0.5612903225806452,-2.9664894378188587,0.5935483870967742
0.25,inf,0.3827515116904577,-145.80011185902532,-0.6355497490683854,1,train,6.451612903225806,61.29032258064516,67.74193548387096,35.483870967741936,48.38709677419355,0.5564516129032258,-2.784985921106907,0.5790322580645161
0.35,inf,0.3672657228038491,-148.35693562049218,-0.581907744206369,1,train,6.451612903225806,61.29032258064516,67.74193548387096,35.483870967741936,48.38709677419355,0.5483870967741935,-2.563854897005686,0.5661290322580645
0.5,inf,0.36641410827262844,-152.9441583437767,-0.4476213416972071,1,train,6.451612903225806,61.29032258064516,67.74193548387096,35.483870967741936,48.38709677419355,0.5370967741935484,-2.2123204403424555,0.5629032258064516
0.0,,,,,1,test,10.0,56.00000000000001,66.0,28.000000000000004,44.0,0.498,,
0.001,inf,0.3723756401507441,-149.91295171773282,-0.09197000815916236,2,train,16.129032258064516,58.06451612903226,58.06451612903226,35.483870967741936,45.16129032258064,0.5016129032258064,-13.736712315631049,0.5016129032258064
0.005,inf,0.39136009497860286,-149.5602856556034,-0.25264750414623854,2,train,19.35483870967742,54.83870967741935,58.06451612903226,38.70967741935484,48.38709677419355,0.5,-13.761564315147726,0.5
0.01,inf,0.4087252510296486,-149.27275779028193,-0.3104093848555719,2,train,19.35483870967742,51.61290322580645,61.29032258064516,41.935483870967744,48.38709677419355,0.5080645161290323,-13.925955127622213,0.5064516129032258
0.05,inf,0.3945032726919942,-148.89056336294377,-0.3654585216831906,2,train,19.35483870967742,54.83870967741935,64.51612903225806,38.70967741935484,41.935483870967744,0.5032258064516129,-14.288684787134944,0.5016129032258064
0.1,inf,0.3945032726919942,-149.13526454514763,-0.3462238626472332,2,train,19.35483870967742,51.61290322580645,64.51612903225806,35.483870967741936,41.935483870967744,0.49516129032258066,-13.85250563079354,0.5016129032258064
0.15,inf,0.3941172994872815,-149.51004477722807,-0.3269892036112758,2,train,19.35483870967742,51.61290322580645,64.51612903225806,38.70967741935484,45.16129032258064,0.49193548387096775,-13.221882746537352,0.5
0.25,inf,0.40445782978467576,-150.3929624088229,-0.288519885539361,2,train,19.35483870967742,51.61290322580645,61.29032258064516,38.70967741935484,45.16129032258064,0.48870967741935484,-11.820531377275888,0.5080645161290323
0.35,inf,0.3947779456425585,-151.49268129832765,-0.2500505674674462,2,train,19.35483870967742,51.61290322580645,61.29032258064516,38.70967741935484,45.16129032258064,0.48870967741935484,-10.379590423401462,0.49838709677419357
0.5,inf,0.37058439725546166,-153.77790751559675,-0.19234659035957397,2,train,19.35483870967742,51.61290322580645,61.29032258064516,38.70967741935484,45.16129032258064,0.4870967741935484,-8.19965996637601,0.4854838709677419
0.0,,,,,2,test,8.0,62.0,76.0,32.0,50.0,0.564,,
0.001,inf,0.403505470972665,-140.855966572319,-0.11339300093291692,3,train,12.903225806451612,67.74193548387096,74.19354838709677,25.806451612903224,54.83870967741935,0.5919354838709677,-2.370385165865876,0.5919354838709677
0.005,inf,0.4178605706556299,-140.51870771532361,-0.36967568081195407,3,train,12.903225806451612,67.74193548387096,74.19354838709677,35.483870967741936,54.83870967741935,0.6016129032258064,-2.563093399111251,0.6016129032258064
0.01,inf,0.4303615137822647,-140.1982118234339,-0.496597101878575,3,train,12.903225806451612,64.51612903225806,77.41935483870968,35.483870967741936,54.83870967741935,0.6129032258064516,-2.8795032990561253,0.6096774193548387
0.05,inf,0.4253363873906268,-139.39779921323142,-0.8419204023504517,3,train,12.903225806451612,70.96774193548387,77.41935483870968,35.483870967741936,58.06451612903226,0.6209677419354839,-3.8364404146060993,0.6161290322580645
0.1,inf,0.4343274465289153,-139.7124930404031,-1.0627090596438218,3,train,12.903225806451612,70.96774193548387,77.41935483870968,38.70967741935484,54.83870967741935,0.6225806451612903,-3.9704316755363487,0.6209677419354839
0.15,inf,0.43179616789056435,-140.44458592880173,-1.2834977169371913,3,train,12.903225806451612,70.96774193548387,77.41935483870968,38.70967741935484,54.83870967741935,0.6209677419354839,-3.8674294941990413,0.6193548387096774
0.25,inf,0.4346007212260083,-142.23183582399517,-1.5810678346111957,3,train,12.903225806451612,70.96774193548387,74.19354838709677,38.70967741935484,54.83870967741935,0.617741935483871,-3.558460786314759,0.6241935483870967
0.35,inf,0.43605005798635593,-144.15884273016871,-1.5083285642869586,3,train,9.67741935483871,70.96774193548387,74.19354838709677,38.70967741935484,54.83870967741935,0.6161290322580645,-3.202237880267674,0.6241935483870967
0.5,inf,0.4359073447717488,-147.3869318658177,-1.1602527417591995,3,train,9.67741935483871,70.96774193548387,74.19354838709677,38.70967741935484,54.83870967741935,0.6161290322580645,-2.655220097766086,0.6225806451612903
0.0,,,,,3,test,12.0,50.0,66.0,34.0,44.0,0.491,,
0.001,inf,0.3482813831350567,-146.13533262709916,-8.276398964130966,4,train,9.67741935483871,51.61290322580645,70.96774193548387,19.35483870967742,38.70967741935484,0.4806451612903226,-4.022315777238153,0.4806451612903226
0.005,inf,0.35209193311472886,-145.81858471126083,-8.580016687317244,4,train,9.67741935483871,51.61290322580645,77.41935483870968,19.35483870967742,32.25806451612903,0.4854838709677419,-4.0067735936592825,0.47258064516129034
0.01,inf,0.37173567398079205,-145.56113763160468,-8.655883712965382,4,train,9.67741935483871,58.06451612903226,80.64516129032258,22.58064516129032,35.483870967741936,0.5112903225806451,-4.136213382009997,0.5112903225806451
0.05,inf,0.3435694913360036,-145.34977580551626,-8.347762161532515,4,train,9.67741935483871,58.06451612903226,67.74193548387096,25.806451612903224,32.25806451612903,0.4870967741935484,-4.640641174424907,0.4790322580645161
0.1,inf,0.34298468652493624,-146.02088917655948,-7.908406258293966,4,train,9.67741935483871,58.06451612903226,67.74193548387096,25.806451612903224,32.25806451612903,0.48870967741935484,-4.559022661776593,0.4790322580645161
0.15,inf,0.34298468652493624,-146.86950515999214,-7.469050355055412,4,train,9.67741935483871,58.06451612903226,67.74193548387096,25.806451612903224,32.25806451612903,0.4870967741935484,-4.382705998505015,0.4790322580645161
0.25,inf,0.34298468652493624,-148.7499603620031,-6.590338548578304,4,train,9.67741935483871,54.83870967741935,67.74193548387096,25.806451612903224,32.25806451612903,0.4838709677419355,-3.954946554053013,0.4790322580645161
0.35,inf,0.3438292516385609,-150.83182688482077,-5.7116267421011955,4,train,9.67741935483871,54.83870967741935,67.74193548387096,22.58064516129032,32.25806451612903,0.4806451612903226,-3.512126642320851,0.4790322580645161
0.5,inf,0.3436872015352869,-154.407566427058,-4.393559032385535,4,train,9.67741935483871,54.83870967741935,64.51612903225806,22.58064516129032,32.25806451612903,0.47258064516129034,-2.8323658188946634,0.4774193548387097
0.0,,,,,4,test,12.0,57.99999999999999,72.0,36.0,48.0,0.546,,
0.001,inf,0.39727924053432584,-146.59499857200055,-8.800551653587386,5,train,9.67741935483871,54.83870967741935,70.96774193548387,38.70967741935484,48.38709677419355,0.5209677419354839,-14.807808685976115,0.5193548387096775
0.005,inf,0.3972857725858017,-146.3506625642132,-8.991549690448187,5,train,9.67741935483871,54.83870967741935,70.96774193548387,35.483870967741936,48.38709677419355,0.535483870967742,-14.95246278740621,0.5338709677419354
0.01,inf,0.3827097392383014,-146.15129294049632,-9.0661058820271,5,train,9.67741935483871,54.83870967741935,67.74193548387096,32.25806451612903,48.38709677419355,0.5241935483870968,-15.216078513866176,0.5225806451612903
0.05,inf,0.37765632517128744,-145.63199102877022,-8.898577106163795,5,train,9.67741935483871,58.06451612903226,64.51612903225806,32.25806451612903,48.38709677419355,0.5161290322580645,-16.014792349569216,0.5209677419354839
0.1,inf,0.37765632517128744,-145.42478960950694,-8.505973873372083,5,train,9.67741935483871,58.06451612903226,64.51612903225806,35.483870967741936,48.38709677419355,0.5193548387096775,-15.629480401155853,0.5209677419354839
0.15,inf,0.38481656516506885,-145.49085583104758,-8.113370640580372,5,train,9.67741935483871,58.06451612903226,64.51612903225806,35.483870967741936,45.16129032258064,0.5193548387096775,-14.96263552048004,0.5241935483870968
0.25,inf,0.3890611736417885,-146.03406273873367,-7.3281641749969495,5,train,9.67741935483871,58.06451612903226,64.51612903225806,25.806451612903224,41.935483870967744,0.5096774193548387,-13.436082100576193,0.5241935483870968
0.35,inf,0.38171697207091904,-146.80606946483474,-6.393235960668863,5,train,9.67741935483871,58.06451612903226,64.51612903225806,25.806451612903224,38.70967741935484,0.5064516129032258,-11.865687117843196,0.5225806451612903
0.5,inf,0.38049055667321785,-148.3271836921456,-4.917873815899127,5,train,9.67741935483871,58.06451612903226,64.51612903225806,25.806451612903224,38.70967741935484,0.49838709677419357,-9.477028023698338,0.5225806451612903
0.0,,,,,5,test,10.0,56.00000000000001,70.0,28.000000000000004,42.0,0.517,,
0.001,inf,0.47663497665938487,-134.15067111017737,-17.95313249651896,6,train,22.58064516129032,67.74193548387096,77.41935483870968,41.935483870967744,54.83870967741935,0.6387096774193548,-12.122689924609405,0.6387096774193548
0.005,inf,0.47798801183090783,-133.83311050489974,-18.21559473352247,6,train,22.58064516129032,70.96774193548387,77.41935483870968,41.935483870967744,54.83870967741935,0.6483870967741936,-12.107053079070067,0.6483870967741936
0.01,inf,0.4822115522686968,-133.5598529903969,-18.299950852497993,6,train,22.58064516129032,70.96774193548387,77.41935483870968,41.935483870967744,54.83870967741935,0.6483870967741936,-12.303396232502049,0.65
0.05,inf,0.4364994466055432,-132.87703787312765,-17.875398231756552,6,train,16.129032258064516,67.74193548387096,74.19354838709677,38.70967741935484,51.61290322580645,0.6064516129032258,-13.050031511704873,0.6048387096774194
0.1,inf,0.42207937746487517,-133.08216323534532,-17.12394512523269,6,train,16.129032258064516,64.51612903225806,70.96774193548387,35.483870967741936,51.61290322580645,0.582258064516129,-12.756299721046581,0.5806451612903226
0.15,inf,0.414358358494778,-133.5826528357105,-16.37249201870883,6,train,16.129032258064516,58.06451612903226,70.96774193548387,35.483870967741936,48.38709677419355,0.5629032258064516,-12.225741119736279,0.5758064516129032
