D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,inf,0.42457369111097776,-308.66666419192904,-0.18090726310256483,0,train,17.307692307692307,71.15384615384616,82.6923076923077,32.69230769230769,44.230769230769226,0.6211538461538462,-3.694239182764096,0.6211538461538462
0.005,inf,0.4186275393686523,-308.0454201040872,-0.46230328527798975,0,train,15.384615384615385,71.15384615384616,82.6923076923077,32.69230769230769,44.230769230769226,0.6259615384615385,-4.000342430875491,0.6269230769230769
0.01,inf,0.4232764712624946,-307.45007033886554,-0.5409361930007971,0,train,17.307692307692307,65.38461538461539,82.6923076923077,34.61538461538461,44.230769230769226,0.6009615384615384,-4.3416447323069685,0.6019230769230769
0.05,inf,0.409119088511648,-305.9938383571205,-0.5378935105924993,0,train,17.307692307692307,59.61538461538461,76.92307692307693,32.69230769230769,42.30769230769231,0.5548076923076923,-4.978059206264935,0.5817307692307693
0.1,inf,0.40848219305124905,-306.5714031795189,-0.5095833258244731,0,train,17.307692307692307,59.61538461538461,75.0,32.69230769230769,42.30769230769231,0.5557692307692308,-4.818982943635146,0.5778846153846153
0.15,inf,0.40848219305124905,-307.6535093333731,-0.4812731410564468,0,train,17.307692307692307,59.61538461538461,75.0,32.69230769230769,42.30769230769231,0.5548076923076923,-4.594498554594554,0.5778846153846153
0.25,inf,0.40528727822889465,-310.12838521603607,-0.42465277152039427,0,train,17.307692307692307,59.61538461538461,75.0,32.69230769230769,42.30769230769231,0.5528846153846154,-4.11080844717105,0.5711538461538461
0.35,inf,0.4039541351149215,-312.7354994620047,-0.3680324019843417,0,train,17.307692307692307,59.61538461538461,75.0,32.69230769230769,42.30769230769231,0.5528846153846154,-3.6141886438017257,0.5701923076923077
0.5,inf,0.39674659334440654,-316.80117339240684,-0.28310184768026286,0,train,17.307692307692307,57.692307692307686,76.92307692307693,32.69230769230769,42.30769230769231,0.5538461538461539,-2.8562089244316975,0.5644230769230769
0.0,,,,,0,test,29.333333333333332,50.66666666666667,58.666666666666664,40.0,45.33333333333333,0.498,,
0.001,inf,0.41657424270209764,-317.18498692075127,-0.19415348082154033,1,train,23.076923076923077,53.84615384615385,73.07692307692307,34.61538461538461,46.15384615384615,0.5394230769230769,-4.102414064219538,0.5384615384615384
0.005,inf,0.4125549368404417,-316.5936474011479,-0.5535160422135748,1,train,25.0,55.769230769230774,69.23076923076923,34.61538461538461,42.30769230769231,0.5326923076923077,-4.33118090471685,0.5336538461538461
0.01,inf,0.40218217752582136,-316.0505063199774,-0.6719132943046011,1,train,23.076923076923077,55.769230769230774,69.23076923076923,32.69230769230769,42.30769230769231,0.5413461538461538,-4.6536841888174605,0.5384615384615384
0.05,inf,0.3885811134712355,-314.7139241638283,-0.6726838038546917,1,train,17.307692307692307,53.84615384615385,63.46153846153846,32.69230769230769,42.30769230769231,0.5038461538461538,-5.46107963688845,0.5211538461538462
0.1,inf,0.37823781541285467,-315.0241603679658,-0.6372793931254975,1,train,17.307692307692307,51.92307692307693,61.53846153846154,30.76923076923077,40.38461538461539,0.48365384615384616,-5.298081036554085,0.510576923076923
0.15,inf,0.37823781541285467,-315.8392454905765,-0.6018749823963032,1,train,17.307692307692307,51.92307692307693,61.53846153846154,30.76923076923077,40.38461538461539,0.48365384615384616,-5.0443734689151345,0.510576923076923
0.25,inf,0.37814477549842984,-317.85456965430615,-0.5310661609379146,1,train,17.307692307692307,51.92307692307693,63.46153846153846,30.76923076923077,40.38461538461539,0.4855769230769231,-4.512682991086734,0.5096153846153846
0.35,inf,0.38236425711023114,-320.01577998754715,-0.46025733947952596,1,train,19.230769230769234,51.92307692307693,63.46153846153846,30.76923076923077,40.38461538461539,0.48846153846153845,-3.9676704415964665,0.510576923076923
0.5,inf,0.382441770575748,-323.3813967329877,-0.3540441072919431,1,train,19.230769230769234,51.92307692307693,63.46153846153846,30.76923076923077,40.38461538461539,0.4932692307692308,-3.1304043160369903,0.5115384615384615
0.0,,,,,1,test,26.666666666666668,62.66666666666667,68.0,38.666666666666664,45.33333333333333,0.5533333333333333,,
0.001,inf,0.3555244933938116,-322.1002013546222,-0.2816866536013201,2,train,15.384615384615385,53.84615384615385,65.38461538461539,30.76923076923077,40.38461538461539,0.49615384615384617,-4.937885452029423,0.49615384615384617
0.005,inf,0.37048841322087284,-321.54157863080974,-0.7853797985736293,2,train,17.307692307692307,55.769230769230774,65.38461538461539,32.69230769230769,42.30769230769231,0.5067307692307692,-5.0440624304270125,0.5076923076923077
