D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.9687836928041448,0.3643918902314891,-287.22142816853,-0.03400266364019125,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.4894230769230769,-8.69803264497477,0.4894230769230769
0.005,0.9687836928041448,0.36455929006271615,-287.20887011456034,-0.13440199692945543,0,train,17.307692307692307,50.0,59.61538461538461,32.69230769230769,42.30769230769231,0.49038461538461536,-8.644120172809156,0.49038461538461536
0.01,0.9687836928041448,0.35994624930630764,-287.2016129788487,-0.2386415839323082,0,train,17.307692307692307,51.92307692307693,57.692307692307686,32.69230769230769,42.30769230769231,0.4855769230769231,-8.596904709568733,0.4855769230769231
0.05,0.9687836928041448,0.3658016058298188,-287.4262371633264,-0.7532335325171331,0,train,17.307692307692307,51.92307692307693,59.61538461538461,32.69230769230769,46.15384615384615,0.4894230769230769,-8.435775416152367,0.4894230769230769
0.1,0.9687836928041448,0.3627548124708892,-288.0459130099435,-1.148970232620264,0,train,17.307692307692307,50.0,59.61538461538461,30.76923076923077,42.30769230769231,0.4855769230769231,-8.378462239520692,0.48846153846153845
0.15,0.9687836928041448,0.3604141878391325,-288.9903319467116,-1.4551492111065962,0,train,17.307692307692307,51.92307692307693,59.61538461538461,30.76923076923077,42.30769230769231,0.48365384615384616,-8.318655410827217,0.48653846153846153
0.25,0.9687836928041448,0.360097163377878,-291.5297533523025,-1.9013561161505643,0,train,17.307692307692307,51.92307692307693,63.46153846153846,30.76923076923077,44.230769230769226,0.4913461538461538,-8.044907217009943,0.4855769230769231
0.35,0.9687836928041448,0.36264119887762986,-294.6006623406918,-2.1647316268031753,0,train,17.307692307692307,50.0,63.46153846153846,32.69230769230769,42.30769230769231,0.4894230769230769,-7.641316448594551,0.47596153846153844
0.5,0.9687836928041448,0.34970993880986734,-300.0766787896589,-2.299900902631138,0,train,15.384615384615385,50.0,55.769230769230774,34.61538461538461,40.38461538461539,0.46442307692307694,-6.881420714464381,0.4519230769230769
0.0,,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334,,
0.001,0.9687836928041448,0.2808632171621194,-294.204730771921,-0.029505327231825786,1,train,13.461538461538462,42.30769230769231,50.0,19.230769230769234,30.76923076923077,0.39134615384615384,-9.05754370654752,0.39134615384615384
0.005,0.9687836928041448,0.2873011494424635,-294.20006141557894,-0.14038030655324404,1,train,13.461538461538462,42.30769230769231,53.84615384615385,19.230769230769234,28.846153846153843,0.3903846153846154,-8.994310728220118,0.3903846153846154
0.01,0.9687836928041448,0.2876059606411939,-294.20509193238956,-0.25895414077166584,1,train,13.461538461538462,42.30769230769231,53.84615384615385,19.230769230769234,28.846153846153843,0.3942307692307692,-8.940254228317626,0.3942307692307692
0.05,0.9687836928041448,0.30084725676050944,-294.4864922061815,-0.7629757595885682,1,train,13.461538461538462,46.15384615384615,57.692307692307686,17.307692307692307,32.69230769230769,0.4230769230769231,-8.801828348805236,0.42403846153846153
0.1,0.9687836928041448,0.295011557396162,-295.1460745845376,-1.0901338914791268,1,train,9.615384615384617,46.15384615384615,57.692307692307686,15.384615384615385,32.69230769230769,0.42403846153846153,-8.766171153034911,0.4230769230769231
0.15,0.9687836928041448,0.2765823251150668,-296.04828096713624,-1.3192313684841006,1,train,9.615384615384617,44.230769230769226,55.769230769230774,17.307692307692307,30.76923076923077,0.4115384615384615,-8.701196683341033,0.4125
0.25,0.9687836928041448,0.26701075548481507,-298.28667993367003,-1.627000958126348,1,train,7.6923076923076925,46.15384615384615,55.769230769230774,19.230769230769234,28.846153846153843,0.40865384615384615,-8.493514248252007,0.41057692307692306
0.35,0.9687836928041448,0.2744245708814939,-301.0727614397389,-1.819829388510553,1,train,9.615384615384617,44.230769230769226,53.84615384615385,19.230769230769234,28.846153846153843,0.39903846153846156,-8.222491177398439,0.4048076923076923
0.5,0.9687836928041448,0.2718326880152544,-306.00943965286115,-1.941413795849532,1,train,9.615384615384617,42.30769230769231,50.0,21.153846153846153,26.923076923076923,0.3817307692307692,-7.581324544446365,0.39326923076923076
0.0,,,,,1,test,10.666666666666668,50.66666666666667,64.0,29.333333333333332,41.333333333333336,0.49266666666666664,,
0.001,0.9687836928041448,0.38950451752800075,-289.63287540409,-0.05132441959235956,2,train,15.384615384615385,57.692307692307686,69.23076923076923,32.69230769230769,44.230769230769226,0.5480769230769231,-7.609720655080142,0.5480769230769231
0.005,0.9687836928041448,0.38763263687946314,-289.6513155960312,-0.22363423620290093,2,train,15.384615384615385,59.61538461538461,69.23076923076923,32.69230769230769,42.30769230769231,0.5480769230769231,-7.498257040704498,0.5480769230769231
0.01,0.9687836928041448,0.3929523010229711,-289.6871509375747,-0.37821256254669494,2,train,15.384615384615385,59.61538461538461,69.23076923076923,34.61538461538461,42.30769230769231,0.5480769230769231,-7.428599106533261,0.5490384615384616
0.05,0.9687836928041448,0.4080762925639597,-290.1834182725311,-0.9781139206663978,2,train,17.307692307692307,61.53846153846154,71.15384615384616,36.53846153846153,46.15384615384615,0.5576923076923077,-7.35705008527599,0.5596153846153846
0.1,0.9687836928041448,0.4053021472509171,-291.0678221989896,-1.4098267750344151,2,train,17.307692307692307,63.46153846153846,69.23076923076923,36.53846153846153,46.15384615384615,0.5615384615384615,-7.422831499317202,0.5586538461538462
0.15,0.9687836928041448,0.4099101395406388,-292.20159597834254,-1.7203027845934056,2,train,17.307692307692307,61.53846153846154,69.23076923076923,36.53846153846153,48.07692307692308,0.5721153846153846,-7.506487969311415,0.5692307692307692
0.25,0.9687836928041448,0.4327949707483429,-295.0237298106025,-2.1584252500991994,2,train,21.153846153846153,63.46153846153846,67.3076923076923,38.46153846153847,51.92307692307693,0.575,-7.565607590691801,0.5769230769230769
0.35,0.9687836928041448,0.4319386185690683,-298.47954800121295,-2.4311617911270713,2,train,21.153846153846153,61.53846153846154,65.38461538461539,38.46153846153847,50.0,0.5586538461538462,-7.520597751354016,0.5711538461538461
0.5,0.9687836928041448,0.4006316715032558,-304.6014165858666,-2.5989106386373737,2,train,15.384615384615385,57.692307692307686,63.46153846153846,34.61538461538461,44.230769230769226,0.5182692307692308,-7.249719615019909,0.5413461538461538
0.0,,,,,2,test,10.666666666666668,41.333333333333336,50.66666666666667,18.666666666666668,32.0,0.38333333333333336,,
0.001,0.9687836928041448,0.32624674752825555,-282.50643255790584,-0.03626232879813369,3,train,11.538461538461538,50.0,61.53846153846154,25.0,34.61538461538461,0.46153846153846156,-8.944208182952252,0.46153846153846156
0.005,0.9687836928041448,0.32849396370064404,-282.48571600769554,-0.1645628779389009,3,train,11.538461538461538,50.0,63.46153846153846,25.0,32.69230769230769,0.46153846153846156,-8.845595008195982,0.46153846153846156
0.01,0.9687836928041448,0.31934566268997,-282.4681519014727,-0.2999756202676212,3,train,11.538461538461538,50.0,59.61538461538461,25.0,32.69230769230769,0.45865384615384613,-8.749523990574318,0.45865384615384613
0.05,0.9687836928041448,0.34674153217633336,-282.5279373344396,-0.9184620375344958,3,train,11.538461538461538,51.92307692307693,69.23076923076923,26.923076923076923,36.53846153846153,0.4932692307692308,-8.382538208118797,0.4894230769230769
0.1,0.9687836928041448,0.35440292676445956,-282.9517841271489,-1.3418125635815321,3,train,13.461538461538462,53.84615384615385,67.3076923076923,26.923076923076923,36.53846153846153,0.49038461538461536,-8.16529656659584,0.4826923076923077
0.15,0.9687836928041448,0.3585668829702289,-283.65057106986285,-1.6259700398593517,3,train,13.461538461538462,53.84615384615385,67.3076923076923,26.923076923076923,36.53846153846153,0.49230769230769234,-8.002739585951668,0.49230769230769234
