D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,0.9687836928041448,0.3657250333454623,-287.2282637012031,-1.0,0,train,17.307692307692307,50.0,59.61538461538461,34.61538461538461,42.30769230769231,0.49038461538461536,-8.699217187842263,0.49038461538461536
0.005,0.9687836928041448,0.36127939242028084,-287.2438171923846,-1.0,0,train,17.307692307692307,51.92307692307693,57.692307692307686,34.61538461538461,42.30769230769231,0.48653846153846153,-8.660692545012802,0.48653846153846153
0.01,0.9687836928041448,0.36938800253360454,-287.2658484346145,-1.0,0,train,19.230769230769234,51.92307692307693,57.692307692307686,34.61538461538461,44.230769230769226,0.48846153846153845,-8.636279914788867,0.48846153846153845
0.05,0.9687836928041448,0.37378758594235617,-287.54190565607524,-1.0,0,train,19.230769230769234,51.92307692307693,61.53846153846154,32.69230769230769,42.30769230769231,0.49230769230769234,-8.840887111780834,0.4894230769230769
0.1,0.9687836928041448,0.3677046074318579,-288.116487365512,-1.0,0,train,19.230769230769234,50.0,61.53846153846154,30.76923076923077,42.30769230769231,0.4846153846153846,-9.408160121247692,0.48653846153846153
0.15,0.9687836928041448,0.35163025500007994,-288.9111219142073,-1.0,0,train,17.307692307692307,48.07692307692308,61.53846153846154,30.76923076923077,40.38461538461539,0.4740384615384615,-9.975759960582927,0.46634615384615385
0.25,0.9687836928041448,0.33801391046679774,-291.02618789147584,-1.0,0,train,17.307692307692307,44.230769230769226,57.692307692307686,28.846153846153843,36.53846153846153,0.4528846153846154,-11.096557863313649,0.4394230769230769
0.35,0.9687836928041448,0.3352288020275655,-293.6913516801455,-1.0,0,train,17.307692307692307,44.230769230769226,57.692307692307686,30.76923076923077,38.46153846153847,0.45,-12.056545591093078,0.4288461538461538
0.5,0.9687836928041448,0.2987185632998148,-298.53602191965246,-1.0,0,train,11.538461538461538,42.30769230769231,51.92307692307693,30.76923076923077,32.69230769230769,0.40384615384615385,-13.557607987532476,0.38846153846153847
0.0,,,,,0,test,9.333333333333334,45.33333333333333,56.00000000000001,22.666666666666664,33.33333333333333,0.42333333333333334,,
0.001,0.9687836928041448,0.2832994039795641,-294.2065757179527,-1.0,1,train,13.461538461538462,42.30769230769231,50.0,23.076923076923077,30.76923076923077,0.3923076923076923,-9.057647011816123,0.3923076923076923
0.005,0.9687836928041448,0.28973733625990805,-294.2069686387572,-1.0,1,train,13.461538461538462,42.30769230769231,53.84615384615385,23.076923076923077,28.846153846153843,0.39134615384615384,-8.99395490143544,0.39134615384615384
0.01,0.9687836928041448,0.2934250161080383,-294.2101486358122,-1.0,1,train,13.461538461538462,42.30769230769231,55.769230769230774,23.076923076923077,28.846153846153843,0.3942307692307692,-8.92068803612642,0.3942307692307692
0.05,0.9687836928041448,0.2886467845936658,-294.3383417373586,-1.0,1,train,11.538461538461538,46.15384615384615,55.769230769230774,21.153846153846153,28.846153846153843,0.4182692307692308,-8.846068524469997,0.4153846153846154
0.1,0.9687836928041448,0.2772913995152587,-294.73205234472766,-1.0,1,train,7.6923076923076925,48.07692307692308,55.769230769230774,21.153846153846153,34.61538461538461,0.4346153846153846,-9.372436800875652,0.42788461538461536
0.15,0.9687836928041448,0.2856347978927378,-295.3489734086473,-1.0,1,train,9.615384615384617,44.230769230769226,55.769230769230774,21.153846153846153,32.69230769230769,0.4182692307692308,-10.056356337658732,0.42115384615384616
0.25,0.9687836928041448,0.24971379037668257,-297.12679375964444,-1.0,1,train,7.6923076923076925,38.46153846153847,46.15384615384615,15.384615384615385,26.923076923076923,0.35384615384615387,-11.387227480194127,0.37403846153846154
0.35,0.9687836928041448,0.23516681079948945,-299.48611777784004,-1.0,1,train,7.6923076923076925,36.53846153846153,46.15384615384615,15.384615384615385,25.0,0.3375,-12.55332985730905,0.34615384615384615
0.5,0.9687836928041448,0.21169980552165904,-303.91223069570214,-1.0,1,train,5.769230769230769,32.69230769230769,42.30769230769231,13.461538461538462,23.076923076923077,0.31153846153846154,-14.038642829476728,0.3192307692307692
0.0,,,,,1,test,10.666666666666668,50.66666666666667,64.0,29.333333333333332,41.333333333333336,0.49266666666666664,,
0.001,0.9687836928041448,0.39186019473989564,-289.6322236391414,-1.0,2,train,15.384615384615385,57.692307692307686,69.23076923076923,36.53846153846153,44.230769230769226,0.5490384615384616,-7.6075879801036015,0.5490384615384616
0.005,0.9687836928041448,0.39739642784641993,-289.6493013420687,-1.0,2,train,17.307692307692307,59.61538461538461,69.23076923076923,36.53846153846153,42.30769230769231,0.5509615384615385,-7.475395314372587,0.5509615384615385
0.01,0.9687836928041448,0.3984343505179542,-289.67344606047,-1.0,2,train,17.307692307692307,59.61538461538461,69.23076923076923,38.46153846153847,42.30769230769231,0.5480769230769231,-7.389966648277401,0.5490384615384616
0.05,0.9687836928041448,0.40446063115010233,-289.9746046211043,-1.0,2,train,19.230769230769234,57.692307692307686,67.3076923076923,38.46153846153847,46.15384615384615,0.5480769230769231,-7.6836654736053225,0.5471153846153847
0.1,0.9687836928041448,0.40995177840773683,-290.60157600591816,-1.0,2,train,19.230769230769234,61.53846153846154,65.38461538461539,38.46153846153847,46.15384615384615,0.55,-8.477854097489276,0.55
0.15,0.9687836928041448,0.411984266070921,-291.47650953287064,-1.0,2,train,21.153846153846153,57.692307692307686,65.38461538461539,38.46153846153847,48.07692307692308,0.5413461538461538,-9.318205302166204,0.5432692307692307
0.25,0.9687836928041448,0.38377298939015153,-293.863437606042,-1.0,2,train,17.307692307692307,50.0,61.53846153846154,38.46153846153847,46.15384615384615,0.5048076923076923,-10.884691071329904,0.5115384615384615
0.35,0.9687836928041448,0.36809251470108634,-296.9752729315067,-1.0,2,train,17.307692307692307,50.0,55.769230769230774,34.61538461538461,42.30769230769231,0.475,-12.36600863875226,0.48653846153846153
0.5,0.9687836928041448,0.3455085351311907,-302.8317279675048,-1.0,2,train,11.538461538461538,46.15384615384615,57.692307692307686,28.846153846153843,38.46153846153847,0.4394230769230769,-14.464307480867548,0.4673076923076923
0.0,,,,,2,test,10.666666666666668,41.333333333333336,50.66666666666667,18.666666666666668,32.0,0.38333333333333336,,
0.001,0.9687836928041448,0.3247859861478828,-282.5117314681433,-1.0,3,train,11.538461538461538,50.0,61.53846153846154,25.0,32.69230769230769,0.45865384615384613,-8.951754407072174,0.45865384615384613
0.005,0.9687836928041448,0.32242211734158877,-282.5117129850746,-1.0,3,train,11.538461538461538,50.0,61.53846153846154,25.0,30.76923076923077,0.45576923076923076,-8.880461474352833,0.45576923076923076
0.01,0.9687836928041448,0.32134687088473995,-282.5143257228418,-1.0,3,train,11.538461538461538,48.07692307692308,61.53846153846154,25.0,32.69230769230769,0.4480769230769231,-8.812372343012763,0.4480769230769231
0.05,0.9687836928041448,0.31806254219787894,-282.6347619038425,-1.0,3,train,9.615384615384617,51.92307692307693,63.46153846153846,25.0,32.69230769230769,0.45576923076923076,-8.78834784069762,0.45384615384615384
0.1,0.9687836928041448,0.32573309112382165,-283.00778851864595,-1.0,3,train,9.615384615384617,50.0,63.46153846153846,26.923076923076923,34.61538461538461,0.46634615384615385,-9.075532000338153,0.4653846153846154
0.15,0.9687836928041448,0.32984337731105823,-283.59195889600693,-1.0,3,train,11.538461538461538,48.07692307692308,63.46153846153846,26.923076923076923,32.69230769230769,0.4528846153846154,-9.529153298159606,0.44903846153846155
0.25,0.9687836928041448,0.310356442607566,-285.2863342714078,-1.0,3,train,7.6923076923076925,48.07692307692308,57.692307692307686,23.076923076923077,28.846153846153843,0.4269230769230769,-10.552673717205437,0.4355769230769231
0.35,0.9687836928041448,0.2849590928142557,-287.5747564244767,-1.0,3,train,7.6923076923076925,46.15384615384615,57.692307692307686,19.230769230769234,26.923076923076923,0.4048076923076923,-11.513026171539215,0.41346153846153844
0.5,0.9687836928041448,0.25476866848665175,-292.006773178604,-1.0,3,train,9.615384615384617,40.38461538461539,46.15384615384615,15.384615384615385,26.923076923076923,0.35,-12.892625090935704,0.36923076923076925
0.0,,,,,3,test,13.333333333333334,45.33333333333333,56.00000000000001,26.666666666666668,38.666666666666664,0.44533333333333336,,
0.001,0.9687836928041448,0.2880323517922384,-302.00956819977483,-1.0,4,train,15.384615384615385,42.30769230769231,51.92307692307693,19.230769230769234,26.923076923076923,0.39326923076923076,-9.94122940192724,0.39326923076923076
0.005,0.9687836928041448,0.29020825934542027,-301.9557218495572,-1.0,4,train,15.384615384615385,42.30769230769231,51.92307692307693,21.153846153846153,26.923076923076923,0.3951923076923077,-9.807689556631004,0.3951923076923077
0.01,0.9687836928041448,0.2881700593278727,-301.89194000952966,-1.0,4,train,15.384615384615385,42.30769230769231,50.0,21.153846153846153,30.76923076923077,0.3942307692307692,-9.730656254066263,0.3942307692307692
