D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,,,,0.0,test,2.0,14.000000000000002,18.0,4.0,8.0,0.122
0.0,,,,,0.0,test,10.0,26.0,28.000000000000004,16.0,18.0,0.231
0.0,,,,,0.0,test,12.0,36.0,38.0,22.0,24.0,0.317
0.0,,,,,0.0,test,22.0,52.0,54.0,38.0,42.0,0.481
0.0,,,,,0.0,test,28.000000000000004,62.0,64.0,46.0,50.0,0.574
0.0,,,,,1.0,test,2.0,18.0,20.0,6.0,10.0,0.147
0.0,,,,,1.0,test,4.0,22.0,28.000000000000004,10.0,14.000000000000002,0.198
0.0,,,,,1.0,test,12.0,40.0,46.0,22.0,28.000000000000004,0.361
0.0,,,,,1.0,test,14.000000000000002,54.0,60.0,30.0,36.0,0.482
0.0,,,,,1.0,test,24.0,62.0,68.0,44.0,50.0,0.585
0.0,,,,,2.0,test,2.0,16.0,20.0,6.0,10.0,0.14
0.0,,,,,2.0,test,4.0,26.0,30.0,14.000000000000002,18.0,0.227
0.0,,,,,2.0,test,12.0,36.0,40.0,20.0,24.0,0.321
0.0,,,,,2.0,test,16.0,48.0,52.0,28.000000000000004,34.0,0.429
0.0,,,,,2.0,test,24.0,57.99999999999999,62.0,40.0,46.0,0.539
0.0,,,,,3.0,test,2.0,18.0,18.0,6.0,10.0,0.143
0.0,,,,,3.0,test,6.0,20.0,22.0,12.0,18.0,0.19
0.0,,,,,3.0,test,14.000000000000002,38.0,40.0,24.0,30.0,0.351
0.0,,,,,3.0,test,16.0,46.0,48.0,28.000000000000004,38.0,0.421
0.0,,,,,3.0,test,22.0,60.0,64.0,40.0,48.0,0.557
0.0,,,,,4.0,test,2.0,12.0,14.000000000000002,6.0,8.0,0.106
0.0,,,,,4.0,test,10.0,22.0,22.0,18.0,20.0,0.205
0.0,,,,,4.0,test,14.000000000000002,34.0,34.0,22.0,28.000000000000004,0.306
0.0,,,,,4.0,test,20.0,44.0,48.0,28.000000000000004,34.0,0.406
0.0,,,,,4.0,test,28.000000000000004,60.0,64.0,40.0,50.0,0.557
0.0,,,,,5.0,test,0.0,10.0,14.000000000000002,2.0,6.0,0.092
0.0,,,,,5.0,test,10.0,26.0,30.0,16.0,20.0,0.247
0.0,,,,,5.0,test,16.0,38.0,42.0,26.0,30.0,0.358
0.0,,,,,5.0,test,26.0,50.0,54.0,38.0,42.0,0.478
0.0,,,,,5.0,test,28.000000000000004,57.99999999999999,60.0,42.0,48.0,0.539
0.0,,,,,6.0,test,0.0,10.0,14.000000000000002,2.0,6.0,0.086
0.0,,,,,6.0,test,8.0,14.000000000000002,18.0,12.0,14.000000000000002,0.148
0.0,,,,,6.0,test,14.000000000000002,34.0,38.0,24.0,30.0,0.326
0.0,,,,,6.0,test,20.0,48.0,52.0,32.0,40.0,0.454
0.0,,,,,6.0,test,24.0,62.0,66.0,40.0,50.0,0.576
0.0,,,,,7.0,test,0.0,14.000000000000002,16.0,4.0,6.0,0.11
0.0,,,,,7.0,test,4.0,24.0,26.0,10.0,14.000000000000002,0.198
0.0,,,,,7.0,test,10.0,40.0,42.0,20.0,26.0,0.346
0.0,,,,,7.0,test,20.0,46.0,50.0,30.0,36.0,0.428
0.0,,,,,7.0,test,24.0,54.0,60.0,36.0,42.0,0.515
0.0,,,,,8.0,test,0.0,10.0,12.0,0.0,4.0,0.076
0.0,,,,,8.0,test,8.0,18.0,22.0,12.0,16.0,0.173
0.0,,,,,8.0,test,14.000000000000002,38.0,42.0,24.0,30.0,0.347
0.0,,,,,8.0,test,20.0,48.0,52.0,36.0,40.0,0.447
0.0,,,,,8.0,test,26.0,62.0,66.0,48.0,56.00000000000001,0.589
0.0,,,,,9.0,test,2.0,14.000000000000002,20.0,4.0,6.0,0.123
0.0,,,,,9.0,test,6.0,26.0,30.0,12.0,16.0,0.226
0.0,,,,,9.0,test,14.000000000000002,34.0,38.0,22.0,24.0,0.306
0.0,,,,,9.0,test,18.0,40.0,44.0,30.0,32.0,0.373
0.0,,,,,9.0,test,20.0,54.0,60.0,38.0,42.0,0.511
0.0,,,,,10.0,test,0.0,20.0,22.0,4.0,8.0,0.155
0.0,,,,,10.0,test,6.0,28.000000000000004,28.000000000000004,14.000000000000002,18.0,0.23
0.0,,,,,10.0,test,12.0,42.0,42.0,20.0,26.0,0.35
0.0,,,,,10.0,test,20.0,56.00000000000001,57.99999999999999,34.0,40.0,0.491
0.0,,,,,10.0,test,28.000000000000004,57.99999999999999,64.0,42.0,48.0,0.552
0.0,,,,,11.0,test,2.0,16.0,18.0,4.0,8.0,0.13
0.0,,,,,11.0,test,6.0,22.0,22.0,16.0,16.0,0.193
0.0,,,,,11.0,test,12.0,28.000000000000004,30.0,24.0,26.0,0.271
0.0,,,,,11.0,test,18.0,42.0,44.0,30.0,36.0,0.389
0.0,,,,,11.0,test,26.0,60.0,62.0,40.0,48.0,0.547
0.0,,,,,12.0,test,0.0,20.0,24.0,4.0,10.0,0.167
0.0,,,,,12.0,test,4.0,28.000000000000004,30.0,12.0,20.0,0.242
0.0,,,,,12.0,test,6.0,36.0,36.0,14.000000000000002,24.0,0.3
0.0,,,,,12.0,test,10.0,48.0,52.0,26.0,36.0,0.429
0.0,,,,,12.0,test,22.0,57.99999999999999,62.0,38.0,46.0,0.534
0.0,,,,,13.0,test,2.0,14.000000000000002,14.000000000000002,4.0,8.0,0.114
0.0,,,,,13.0,test,6.0,26.0,26.0,12.0,16.0,0.215
0.0,,,,,13.0,test,12.0,34.0,34.0,22.0,28.000000000000004,0.302
0.0,,,,,13.0,test,20.0,50.0,50.0,36.0,42.0,0.452
0.0,,,,,13.0,test,24.0,54.0,54.0,42.0,48.0,0.498
0.0,,,,,14.0,test,2.0,16.0,18.0,2.0,8.0,0.126
0.0,,,,,14.0,test,2.0,22.0,26.0,4.0,12.0,0.181
0.0,,,,,14.0,test,8.0,36.0,40.0,12.0,22.0,0.305
0.0,,,,,14.0,test,18.0,42.0,50.0,22.0,32.0,0.399
0.0,,,,,14.0,test,24.0,52.0,57.99999999999999,36.0,42.0,0.498
0.0,,,,,15.0,test,2.0,16.0,18.0,4.0,10.0,0.135
0.0,,,,,15.0,test,8.0,28.000000000000004,28.000000000000004,12.0,18.0,0.237
0.0,,,,,15.0,test,14.000000000000002,36.0,36.0,22.0,28.000000000000004,0.319
0.0,,,,,15.0,test,20.0,46.0,50.0,30.0,40.0,0.434
0.0,,,,,15.0,test,22.0,50.0,56.00000000000001,34.0,44.0,0.481
0.0,,,,,16.0,test,2.0,16.0,20.0,6.0,8.0,0.138
0.0,,,,,16.0,test,6.0,28.000000000000004,30.0,12.0,14.000000000000002,0.235
0.0,,,,,16.0,test,10.0,36.0,38.0,20.0,22.0,0.312
0.0,,,,,16.0,test,18.0,44.0,50.0,28.000000000000004,30.0,0.408
0.0,,,,,16.0,test,24.0,52.0,60.0,36.0,42.0,0.503
0.0,,,,,17.0,test,0.0,16.0,18.0,4.0,8.0,0.131
0.0,,,,,17.0,test,8.0,30.0,30.0,20.0,20.0,0.258
0.0,,,,,17.0,test,18.0,44.0,46.0,28.000000000000004,32.0,0.393
0.0,,,,,17.0,test,22.0,50.0,54.0,32.0,36.0,0.454
0.0,,,,,17.0,test,28.000000000000004,60.0,64.0,42.0,48.0,0.556
0.0,,,,,18.0,test,2.0,16.0,22.0,4.0,8.0,0.141
0.0,,,,,18.0,test,6.0,24.0,30.0,12.0,16.0,0.227
0.0,,,,,18.0,test,14.000000000000002,36.0,42.0,24.0,28.000000000000004,0.345
0.0,,,,,18.0,test,20.0,48.0,52.0,32.0,38.0,0.446
0.0,,,,,18.0,test,24.0,56.00000000000001,62.0,40.0,48.0,0.536
0.0,,,,,19.0,test,2.0,14.000000000000002,20.0,2.0,6.0,0.125
0.0,,,,,19.0,test,6.0,26.0,30.0,10.0,16.0,0.226
0.0,,,,,19.0,test,12.0,34.0,42.0,24.0,26.0,0.341
0.0,,,,,19.0,test,22.0,48.0,54.0,38.0,42.0,0.475
0.0,,,,,19.0,test,28.000000000000004,57.99999999999999,66.0,44.0,50.0,0.569
0.0,,,,,20.0,test,2.0,18.0,20.0,4.0,8.0,0.143
0.0,,,,,20.0,test,12.0,32.0,34.0,16.0,22.0,0.279
0.0,,,,,20.0,test,14.000000000000002,38.0,42.0,22.0,28.000000000000004,0.348
0.0,,,,,20.0,test,20.0,46.0,48.0,28.000000000000004,38.0,0.419
0.0,,,,,20.0,test,28.000000000000004,57.99999999999999,62.0,38.0,48.0,0.546
0.0,,,,,21.0,test,2.0,16.0,18.0,6.0,8.0,0.136
0.0,,,,,21.0,test,4.0,26.0,28.000000000000004,16.0,20.0,0.232
0.0,,,,,21.0,test,10.0,30.0,32.0,22.0,28.000000000000004,0.284
0.0,,,,,21.0,test,14.000000000000002,44.0,46.0,30.0,38.0,0.407
0.0,,,,,21.0,test,24.0,57.99999999999999,57.99999999999999,44.0,52.0,0.536
0.0,,,,,22.0,test,2.0,18.0,18.0,6.0,8.0,0.141
0.0,,,,,22.0,test,14.000000000000002,30.0,30.0,20.0,22.0,0.262
0.0,,,,,22.0,test,20.0,38.0,38.0,28.000000000000004,30.0,0.345
0.0,,,,,22.0,test,26.0,50.0,52.0,40.0,42.0,0.474
0.0,,,,,22.0,test,28.000000000000004,62.0,68.0,46.0,50.0,0.588
0.0,,,,,23.0,test,2.0,18.0,24.0,4.0,10.0,0.161
0.0,,,,,23.0,test,12.0,30.0,34.0,16.0,22.0,0.275
0.0,,,,,23.0,test,16.0,44.0,48.0,26.0,34.0,0.404
0.0,,,,,23.0,test,22.0,48.0,54.0,32.0,40.0,0.465
0.0,,,,,23.0,test,26.0,54.0,60.0,40.0,48.0,0.524
0.0,,,,,24.0,test,0.0,6.0,6.0,2.0,4.0,0.047
0.0,,,,,24.0,test,6.0,20.0,20.0,8.0,14.000000000000002,0.171
0.0,,,,,24.0,test,12.0,38.0,38.0,20.0,28.000000000000004,0.331
0.0,,,,,24.0,test,16.0,46.0,50.0,28.000000000000004,36.0,0.425
0.0,,,,,24.0,test,18.0,57.99999999999999,64.0,34.0,44.0,0.534
0.0,,,,,25.0,test,0.0,6.0,10.0,2.0,4.0,0.058
0.0,,,,,25.0,test,10.0,18.0,20.0,14.000000000000002,16.0,0.172
0.0,,,,,25.0,test,18.0,34.0,38.0,26.0,28.000000000000004,0.323
0.0,,,,,25.0,test,24.0,46.0,52.0,34.0,38.0,0.437
0.0,,,,,25.0,test,28.000000000000004,56.00000000000001,62.0,44.0,48.0,0.538
0.0,,,,,26.0,test,0.0,10.0,12.0,2.0,6.0,0.082
0.0,,,,,26.0,test,2.0,22.0,24.0,8.0,14.000000000000002,0.181
0.0,,,,,26.0,test,6.0,34.0,38.0,16.0,26.0,0.304
0.0,,,,,26.0,test,14.000000000000002,54.0,57.99999999999999,26.0,38.0,0.474
0.0,,,,,26.0,test,20.0,60.0,68.0,36.0,48.0,0.563
0.0,,,,,27.0,test,2.0,18.0,22.0,2.0,8.0,0.151
0.0,,,,,27.0,test,10.0,22.0,22.0,12.0,16.0,0.191
0.0,,,,,27.0,test,20.0,36.0,36.0,22.0,30.0,0.325
0.0,,,,,27.0,test,22.0,44.0,44.0,28.000000000000004,34.0,0.392
0.0,,,,,27.0,test,24.0,48.0,52.0,32.0,40.0,0.451
0.0,,,,,28.0,test,2.0,14.000000000000002,18.0,2.0,8.0,0.125
0.0,,,,,28.0,test,2.0,26.0,28.000000000000004,6.0,18.0,0.215
0.0,,,,,28.0,test,10.0,36.0,38.0,18.0,28.000000000000004,0.317
0.0,,,,,28.0,test,20.0,48.0,50.0,32.0,40.0,0.439
0.0,,,,,28.0,test,30.0,57.99999999999999,62.0,44.0,52.0,0.554
0.0,,,,,29.0,test,2.0,14.000000000000002,18.0,6.0,8.0,0.127
0.0,,,,,29.0,test,6.0,28.000000000000004,28.000000000000004,16.0,20.0,0.242
0.0,,,,,29.0,test,12.0,36.0,36.0,24.0,28.000000000000004,0.319
0.0,,,,,29.0,test,18.0,46.0,48.0,28.000000000000004,36.0,0.415
0.0,,,,,29.0,test,26.0,56.00000000000001,62.0,40.0,46.0,0.534
0.0,,,,,30.0,test,0.0,16.0,18.0,4.0,8.0,0.129
0.0,,,,,30.0,test,8.0,30.0,30.0,14.000000000000002,18.0,0.247
0.0,,,,,30.0,test,14.000000000000002,42.0,42.0,28.000000000000004,30.0,0.365
0.0,,,,,30.0,test,18.0,50.0,54.0,32.0,38.0,0.461
0.0,,,,,30.0,test,26.0,62.0,66.0,44.0,50.0,0.58
0.0,,,,,31.0,test,2.0,14.000000000000002,18.0,4.0,8.0,0.127
0.0,,,,,31.0,test,6.0,22.0,26.0,12.0,16.0,0.206
0.0,,,,,31.0,test,10.0,28.000000000000004,30.0,18.0,24.0,0.259
0.0,,,,,31.0,test,20.0,44.0,46.0,34.0,38.0,0.416
0.0,,,,,31.0,test,26.0,57.99999999999999,60.0,42.0,48.0,0.539
0.0,,,,,32.0,test,2.0,10.0,14.000000000000002,2.0,4.0,0.088
0.0,,,,,32.0,test,6.0,18.0,20.0,8.0,10.0,0.153
0.0,,,,,32.0,test,12.0,36.0,40.0,22.0,24.0,0.323
0.0,,,,,32.0,test,14.000000000000002,46.0,50.0,30.0,32.0,0.416
0.0,,,,,32.0,test,18.0,50.0,56.00000000000001,36.0,38.0,0.47
