sample,D,k
0.0,0.01,10.0
1.0,0.1,1.0
2.0,0.05,2.5
3.0,0.001,3.0
4.0,0.25,0.75
5.0,0.1,1.0
6.0,0.05,2.0
7.0,0.005,1.5
8.0,0.01,4.5
9.0,0.01,6.0
10.0,0.25,0.5
11.0,0.001,4.0
12.0,0.05,4.5
13.0,0.05,4.0
14.0,0.005,2.5
15.0,0.05,3.0
16.0,0.005,4.0
17.0,0.005,6.0
18.0,0.01,10.0
19.0,0.01,10.0
20.0,0.25,0.5
21.0,0.5,0.25
22.0,0.1,1.0
23.0,0.001,3.5
24.0,0.05,3.5
25.0,0.05,2.5
26.0,0.1,0.75
27.0,0.005,2.5
28.0,0.005,0.5
29.0,0.005,3.5
30.0,0.05,0.75
31.0,0.05,7.0
32.0,0.15,0.5
33.0,0.15,0.5
34.0,0.01,10.0
35.0,0.05,3.0
36.0,0.05,10.0
37.0,0.05,2.0
38.0,0.005,5.0
39.0,0.05,2.5
40.0,0.05,2.5
41.0,0.1,1.0
42.0,0.35,0.75
43.0,0.01,10.0
44.0,0.05,2.5
45.0,0.1,2.0
46.0,0.05,2.5
47.0,0.1,4.5
48.0,0.005,2.5
49.0,0.05,0.75
