sample,D,k
0.0,0.1,4.0
1.0,0.01,10.0
2.0,0.05,2.5
3.0,0.05,0.75
4.0,0.25,1.0
5.0,0.1,4.5
6.0,0.1,7.0
7.0,0.005,7.0
8.0,0.05,3.5
9.0,0.5,3.0
10.0,0.1,10.0
11.0,0.01,4.5
12.0,0.35,3.0
13.0,0.1,7.0
14.0,0.001,10.0
15.0,0.25,1.5
16.0,0.01,10.0
17.0,0.001,3.0
18.0,0.35,2.0
19.0,0.1,10.0
20.0,0.05,6.0
21.0,0.15,3.0
22.0,0.1,7.0
23.0,0.05,10.0
24.0,0.35,0.25
25.0,0.15,2.5
26.0,0.1,7.0
27.0,0.1,5.5
28.0,0.1,1.5
29.0,0.05,5.0
30.0,0.1,5.5
31.0,0.1,10.0
32.0,0.1,4.0
33.0,0.05,6.0
34.0,0.5,1.0
35.0,0.35,3.0
36.0,0.15,1.5
37.0,0.05,10.0
38.0,0.35,0.75
39.0,0.15,0.5
40.0,0.05,5.5
41.0,0.25,0.75
42.0,0.05,7.0
43.0,0.01,7.0
44.0,0.15,7.0
45.0,0.1,6.0
46.0,0.05,5.0
47.0,0.5,1.0
48.0,0.05,5.5
49.0,0.15,3.0
