D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,inf,0.4699569188723464,-230.08812331204186,-0.20137822572838396,0,train,18.0,74.0,82.0,44.0,56.00000000000001,0.665,-5.795633134582155,0.665
0.005,inf,0.46134489386702954,-229.31615425242768,-0.6079526961490769,0,train,16.0,72.0,82.0,48.0,56.00000000000001,0.661,-5.769815005901231,0.662
0.01,inf,0.47537109557217255,-228.4208409490319,-0.816471607157387,0,train,20.0,74.0,80.0,48.0,62.0,0.669,-5.854689855643687,0.671
0.05,inf,0.5182370327225514,-224.50602151240304,-0.9499951915993278,0,train,24.0,74.0,84.0,52.0,60.0,0.684,-6.489148963613046,0.685
0.1,inf,0.5220820234499,-222.91431949392185,-0.9058864123931439,0,train,26.0,66.0,82.0,50.0,56.00000000000001,0.659,-6.612712635407101,0.685
0.15,inf,0.5182773827624747,-222.71784044179896,-0.855559389482414,0,train,26.0,66.0,82.0,50.0,56.00000000000001,0.643,-6.450577301802914,0.685
0.25,inf,0.5245961776774376,-223.9399532068009,-0.7549053436609535,0,train,24.0,66.0,74.0,50.0,57.99999999999999,0.627,-5.913636894735855,0.689
0.35,inf,0.5236916432302695,-226.11284638468192,-0.654251297839493,0,train,26.0,66.0,74.0,50.0,57.99999999999999,0.627,-5.324570846086151,0.685
0.5,inf,0.5208688930135924,-229.76104992566593,-0.5032702291073022,0,train,26.0,64.0,74.0,46.0,54.0,0.615,-4.427227274108997,0.681
0.0,,,,,0,test,19.0,68.0,77.0,47.0,61.0,0.64,,
0.001,inf,0.4762832055726648,-453.6500324465521,-0.354744760751723,0,test,19.0,70.0,79.0,53.0,62.0,0.6595,-10.154060637661667,0.6595
0.005,inf,0.4890154593622453,-452.45616438817626,-0.8830689032316568,0,test,20.0,73.0,79.0,53.0,64.0,0.6765,-10.418640016150327,0.676
0.01,inf,0.48540962548151034,-451.2886983149918,-1.1339009985279584,0,test,19.0,72.0,79.0,53.0,65.0,0.671,-10.857456388283968,0.6705
0.05,inf,0.5076218498229605,-447.5187183886123,-1.454040166378198,0,test,21.0,71.0,81.0,51.0,66.0,0.6865,-12.531776225379453,0.6845
0.1,inf,0.5081882732606257,-447.18663656704234,-1.3798613175209182,0,test,21.0,69.0,80.0,51.0,62.0,0.669,-12.73196950813088,0.6855
0.15,inf,0.5081882732606257,-448.68550116765124,-1.3032023554364227,0,test,20.0,67.0,79.0,52.0,62.0,0.653,-12.378707638471472,0.6855
0.25,inf,0.5053215164365311,-453.5485866051956,-1.149884431267432,0,test,20.0,64.0,77.0,51.0,61.0,0.64,-11.322460394635971,0.682
0.35,inf,0.502968902055277,-459.12368560946294,-0.9965665070984411,0,test,19.0,64.0,77.0,51.0,61.0,0.637,-10.175092262160984,0.682
0.5,inf,0.5005118266461047,-468.1078655704913,-0.7665896208449549,0,test,17.0,65.0,76.0,50.0,60.0,0.6255,-8.417489471135926,0.6805
0.0,,,,,0,train,14.000000000000002,74.0,82.0,46.0,54.0,0.657,,
0.001,inf,0.4706704586197882,-233.2256982949436,-0.15485481898195774,1,train,28.000000000000004,64.0,70.0,46.0,52.0,0.599,-8.28435307543001,0.599
0.005,inf,0.4691084982310393,-232.74616028669206,-0.43026983946667874,1,train,28.000000000000004,64.0,70.0,44.0,54.0,0.599,-8.479429223813616,0.599
0.01,inf,0.4663880773002363,-232.2045155733318,-0.5404529914507122,1,train,28.000000000000004,64.0,70.0,42.0,52.0,0.595,-8.771609889742425,0.596
0.05,inf,0.47472049233877,-229.96930868514605,-0.6513887092829223,1,train,30.0,62.0,72.0,40.0,52.0,0.597,-9.4670012738363,0.598
0.1,inf,0.47278711696540954,-229.54415516778292,-0.6171050930048737,1,train,30.0,62.0,74.0,40.0,50.0,0.59,-9.37156089169852,0.593
0.15,inf,0.4729895545787447,-230.07913406045324,-0.5828214767268252,1,train,28.000000000000004,60.0,74.0,36.0,50.0,0.583,-9.034602009961132,0.594
0.25,inf,0.4658474530370957,-232.1345245573476,-0.5142542441707283,1,train,28.000000000000004,60.0,74.0,36.0,50.0,0.582,-8.180124437312614,0.594
0.35,inf,0.4657506915260939,-234.5219892211793,-0.4456870116146311,1,train,28.000000000000004,57.99999999999999,72.0,36.0,48.0,0.576,-7.280248997210516,0.593
0.5,inf,0.4666778432615925,-238.3778330189926,-0.34283616278048545,1,train,28.000000000000004,57.99999999999999,72.0,36.0,48.0,0.578,-5.916739704781287,0.597
0.0,,,,,1,test,21.0,71.0,83.0,48.0,59.0,0.674,,
0.001,inf,0.5055025673101338,-438.00964960486397,-0.37811134936040464,1,test,25.0,73.0,84.0,50.0,59.0,0.682,-9.498963284687067,0.682
0.005,inf,0.5219736983672404,-436.7291747836539,-1.177190210781476,1,test,28.000000000000004,75.0,85.0,49.0,56.00000000000001,0.694,-9.558361859179653,0.6925
0.01,inf,0.5378186385729324,-435.4116582883039,-1.5501463369308235,1,test,28.000000000000004,77.0,88.0,49.0,59.0,0.7115,-9.951121651964103,0.7105
0.05,inf,0.5365126599423107,-430.264424558381,-2.19422474110857,1,test,26.0,77.0,91.0,47.0,60.0,0.7255,-11.74016004435225,0.7295
0.1,inf,0.5239549711870007,-428.5272192365009,-2.5894720450806954,1,test,26.0,75.0,91.0,47.0,56.99999999999999,0.7155,-12.083393339984845,0.726
0.15,inf,0.528142301143282,-429.12200237402595,-2.82902739378152,1,test,25.0,70.0,89.0,46.0,54.0,0.6895,-11.987847962517266,0.73
0.25,inf,0.5300294821566804,-432.9501055203743,-3.2580854149890763,1,test,23.0,69.0,85.0,44.0,53.0,0.662,-11.138626718351956,0.7285
0.35,inf,0.5281839127343553,-437.81998808958576,-3.6407942543130836,1,test,23.0,68.0,83.0,43.0,53.0,0.6545,-10.212021371185855,0.727
0.5,inf,0.5324716553640669,-445.6577787283654,-4.129025441583553,1,test,21.0,67.0,81.0,43.0,51.0,0.639,-8.656803559548027,0.7255
0.0,,,,,1,train,22.0,64.0,70.0,44.0,52.0,0.587,,
0.001,inf,0.49070363589211213,-225.84373187221414,-0.21691889647158738,2,train,24.0,74.0,84.0,44.0,56.00000000000001,0.681,-5.7880157129457475,0.681
0.005,inf,0.4907885033645586,-225.26079036708816,-0.5969566533584415,2,train,22.0,78.0,86.0,44.0,57.99999999999999,0.692,-5.979418066418084,0.692
0.01,inf,0.5017465180104418,-224.61420993853213,-0.6714756711205105,2,train,24.0,78.0,86.0,44.0,57.99999999999999,0.696,-6.430910617419027,0.697
0.05,inf,0.4733412614660773,-222.727860817849,-0.7081219750273391,2,train,22.0,68.0,80.0,38.0,50.0,0.633,-8.05948193834566,0.669
0.1,inf,0.4679878593063818,-222.8208756576903,-0.680114339444879,2,train,18.0,66.0,76.0,38.0,50.0,0.604,-8.567462715286874,0.658
0.15,inf,0.45739451033608824,-223.58050096162438,-0.6423302094757191,2,train,16.0,64.0,76.0,34.0,46.0,0.579,-8.512682851373343,0.646
0.25,inf,0.4404472421378295,-225.4999526710478,-0.5667619495373993,2,train,14.000000000000002,62.0,74.0,34.0,42.0,0.56,-7.982337669581596,0.636
0.35,inf,0.43938404638946055,-227.53085609685886,-0.4911936895990793,2,train,14.000000000000002,62.0,68.0,34.0,42.0,0.541,-7.347462809766766,0.633
0.5,inf,0.4156723127341961,-230.73281554592208,-0.3778412996915994,2,train,12.0,57.99999999999999,64.0,30.0,42.0,0.509,-6.369358917344593,0.612
0.0,,,,,2,test,19.0,70.0,78.0,48.0,56.99999999999999,0.642,,
0.001,inf,0.4940424270364734,-442.5066782820322,-0.21361292925316122,2,test,25.0,70.0,79.0,47.0,57.99999999999999,0.659,-12.730369733257989,0.659
0.005,inf,0.5045139235493229,-441.6024022843929,-0.6239129264038017,2,test,28.000000000000004,72.0,79.0,46.0,59.0,0.666,-13.019848648520604,0.666
0.01,inf,0.508554495651712,-440.71966465529516,-0.8160401019984851,2,test,28.000000000000004,72.0,80.0,46.0,56.99999999999999,0.666,-13.448610451847742,0.6675
0.05,inf,0.49541797565762047,-438.3360100267161,-1.2084217377799864,2,test,26.0,72.0,77.0,47.0,57.99999999999999,0.657,-14.886717017273154,0.655
0.1,inf,0.4944976570619732,-438.7693306961806,-1.3871596563084048,2,test,25.0,71.0,79.0,44.0,59.0,0.6535,-15.009532256488777,0.6565
0.15,inf,0.49271190371346535,-440.2828664493538,-1.5099724091692264,2,test,23.0,68.0,77.0,45.0,57.99999999999999,0.636,-14.593116390912916,0.653
0.25,inf,0.48514268988165377,-444.25170840305134,-1.7555979148908698,2,test,23.0,67.0,76.0,44.0,56.99999999999999,0.622,-13.336510386814382,0.6495
0.35,inf,0.48344732834092097,-448.5878045537792,-1.9486192328134686,2,test,23.0,67.0,75.0,44.0,56.00000000000001,0.616,-12.035153240128258,0.6455
0.5,inf,0.48214096945281776,-455.5046644210101,-2.1631451097586436,2,test,23.0,68.0,73.0,43.0,53.0,0.606,-9.981138797660279,0.64
0.0,,,,,2,train,22.0,74.0,84.0,38.0,57.99999999999999,0.669,,
0.001,inf,0.5178293899861973,-212.8606575214454,-0.20303326213609316,3,train,26.0,70.0,82.0,50.0,60.0,0.677,-6.212138678993863,0.677
0.005,inf,0.5268519803754707,-212.31240634949722,-0.5867334933821748,3,train,26.0,70.0,82.0,50.0,62.0,0.687,-6.348680687228037,0.686
0.01,inf,0.5407665356257852,-211.7499494923227,-0.7800304327016139,3,train,28.000000000000004,72.0,86.0,50.0,64.0,0.698,-6.609323491959875,0.696
0.05,inf,0.5384508822814855,-209.73021170175608,-0.9709127664949171,3,train,28.000000000000004,74.0,84.0,52.0,60.0,0.701,-7.940960689966338,0.703
0.1,inf,0.5369256267399309,-209.73568038350695,-0.9198120945741318,3,train,26.0,72.0,84.0,52.0,57.99999999999999,0.691,-8.191827689921965,0.706
0.15,inf,0.5388781647709918,-210.4614547402299,-0.8687114226533467,3,train,26.0,70.0,82.0,52.0,57.99999999999999,0.68,-8.017549507770582,0.702
0.25,inf,0.531496759842421,-212.59050903721294,-0.7665100788117766,3,train,26.0,70.0,80.0,52.0,57.99999999999999,0.668,-7.381480830507223,0.701
0.35,inf,0.5297186748006786,-214.9745546064766,-0.6643087349702064,3,train,26.0,68.0,80.0,52.0,57.99999999999999,0.663,-6.670433196552752,0.698
0.5,inf,0.5336879465103782,-218.79408447635717,-0.511006719207851,3,train,26.0,68.0,78.0,46.0,57.99999999999999,0.652,-5.577894726438541,0.699
0.0,,,,,3,test,26.0,73.0,81.0,50.0,61.0,0.6765,,
0.001,inf,0.5343127756184017,-442.07869795181614,-0.3407632431749543,3,test,28.000000000000004,75.0,83.0,53.0,64.0,0.7005,-10.332605586852429,0.7
0.005,inf,0.5419337249937024,-441.140284492279,-1.0918278045169312,3,test,28.999999999999996,78.0,84.0,53.0,64.0,0.7095,-10.410847528458337,0.709
0.01,inf,0.5516152715980287,-440.112240571215,-1.4877717342469232,3,test,30.0,78.0,85.0,53.0,65.0,0.722,-10.84842601481737,0.7205
0.05,inf,0.5671335874318134,-436.20639553919705,-2.0147538790326713,3,test,32.0,78.0,85.0,51.0,65.0,0.726,-12.999513613308705,0.728
0.1,inf,0.5605135498826799,-435.5387188072259,-1.9613897736925812,3,test,30.0,75.0,86.0,50.0,61.0,0.707,-13.548508621270216,0.727
0.15,inf,0.5592851207244017,-436.751559650215,-1.892399110796362,3,test,28.000000000000004,73.0,84.0,48.0,59.0,0.689,-13.3135136188555,0.7255
0.25,inf,0.5590839394310676,-441.23093497863493,-1.7544177850039242,3,test,26.0,71.0,85.0,46.0,59.0,0.675,-12.298685605500747,0.726
0.35,inf,0.5496974714417656,-446.44510695345963,-1.6164364592114862,3,test,26.0,71.0,83.0,45.0,57.99999999999999,0.665,-11.147954900527697,0.7225
0.5,inf,0.5465130805346156,-454.7680969066724,-1.4094644705228294,3,test,26.0,71.0,79.0,44.0,55.00000000000001,0.6455,-9.37947720252223,0.7155
0.0,,,,,3,train,22.0,72.0,82.0,48.0,60.0,0.674,,
0.001,inf,0.46285941391954777,-220.97259092796332,-0.2036516802182185,4,train,22.0,62.0,76.0,44.0,57.99999999999999,0.615,-6.104357321526168,0.615
0.005,inf,0.4710557874324712,-220.44936797285558,-0.5712465478361858,4,train,24.0,64.0,76.0,46.0,57.99999999999999,0.633,-6.207459026965037,0.632
0.01,inf,0.48260292518300063,-219.9000722906965,-0.7153636916652549,4,train,24.0,68.0,78.0,46.0,57.99999999999999,0.645,-6.47361714387867,0.639
0.05,inf,0.4851822263800618,-218.0385983038846,-0.8936402517687747,4,train,24.0,68.0,76.0,52.0,62.0,0.65,-7.389274153432604,0.652
0.1,inf,0.4858969646419659,-217.88292406471354,-0.9602209503431507,4,train,24.0,64.0,76.0,54.0,62.0,0.633,-7.455580927717573,0.655
0.15,inf,0.4868833467429708,-218.59189412359183,-0.9796075788446026,4,train,24.0,64.0,74.0,54.0,62.0,0.632,-7.305647503725332,0.652
0.25,inf,0.4800669979137227,-220.80421109195694,-0.9490134921053127,4,train,24.0,64.0,74.0,56.00000000000001,62.0,0.63,-6.745218652153481,0.649
0.35,inf,0.49230895301351174,-223.244245219283,-0.9184194053660227,4,train,24.0,64.0,74.0,54.0,62.0,0.63,-6.0839500849700086,0.648
0.5,inf,0.4834971001444081,-227.1324503002519,-0.8725282752570883,4,train,24.0,64.0,74.0,54.0,60.0,0.628,-5.069392344736996,0.642
0.0,,,,,4,test,28.000000000000004,73.0,80.0,51.0,62.0,0.672,,
0.001,inf,0.5258446077377465,-434.0546303274882,-0.33749676355642727,4,test,28.999999999999996,75.0,81.0,52.0,62.0,0.688,-12.409435702172546,0.687
0.005,inf,0.5244978253906042,-432.9195757865658,-1.0268613660864825,4,test,26.0,74.0,81.0,54.0,63.0,0.696,-12.630898973957802,0.694
0.01,inf,0.5312932119727836,-431.6796017344457,-1.3484676604525276,4,test,27.0,76.0,83.0,54.0,64.0,0.706,-13.216797513831159,0.7045
0.05,inf,0.542945659413212,-427.3435859646567,-1.8181861386998321,4,test,28.000000000000004,76.0,84.0,56.99999999999999,67.0,0.727,-15.497620202365482,0.7205
0.1,inf,0.543286027308122,-426.7426526100195,-2.1769497155434028,4,test,25.0,76.0,85.0,55.00000000000001,63.0,0.719,-15.91569444652605,0.7135
0.15,inf,0.5385547900662608,-427.79683761084067,-2.5357132923869727,4,test,21.0,73.0,85.0,54.0,63.0,0.704,-15.560881268213167,0.7125
0.25,inf,0.5366753230624411,-431.8352838185904,-3.2532404460741144,4,test,21.0,73.0,84.0,51.0,59.0,0.6875,-14.336377953625693,0.7085
0.35,inf,0.5309079112434949,-436.7859766427475,-3.9707675997612566,4,test,20.0,72.0,84.0,47.0,56.99999999999999,0.6705,-12.98465705611144,0.7035
0.5,inf,0.5242018814925751,-444.9501634962354,-5.047058330291968,4,test,19.0,68.0,83.0,46.0,55.00000000000001,0.654,-10.916644064670125,0.694
0.0,,,,,4,train,12.0,62.0,74.0,44.0,57.99999999999999,0.595,,
0.001,inf,0.4880167267096146,-218.93204999294045,-0.17142210623784887,5,train,20.0,66.0,80.0,52.0,60.0,0.656,-5.74065232049998,0.656
