D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,1.0205483803681052,0.5677006642828937,-137.82774960337537,-1.0,0,train,37.77777777777778,68.88888888888889,73.33333333333333,60.0,66.66666666666666,0.6744444444444444,-3.683766789895316,0.6744444444444444
0.005,1.0205483803681052,0.5675931514928916,-137.86630703337246,-1.0,0,train,37.77777777777778,68.88888888888889,73.33333333333333,60.0,66.66666666666666,0.6733333333333333,-3.6770783267254705,0.6733333333333333
0.01,1.0205483803681052,0.5675931514928916,-137.9150425188764,-1.0,0,train,37.77777777777778,68.88888888888889,73.33333333333333,60.0,66.66666666666666,0.6733333333333333,-3.6687897390592807,0.6733333333333333
0.05,1.0205483803681052,0.5671050716161417,-138.32594473587392,-1.0,0,train,37.77777777777778,68.88888888888889,73.33333333333333,60.0,66.66666666666666,0.67,-3.661659550850181,0.67
0.1,1.0205483803681052,0.577683488400097,-138.88979221177394,-1.0,0,train,37.77777777777778,68.88888888888889,77.77777777777779,60.0,66.66666666666666,0.6777777777777778,-3.7002136452940477,0.6777777777777778
0.15,1.0205483803681052,0.577959231497211,-139.5062481111773,-1.0,0,train,37.77777777777778,68.88888888888889,77.77777777777779,60.0,66.66666666666666,0.6822222222222222,-3.8018816751592523,0.6811111111111111
0.25,1.0205483803681052,0.5810776652378439,-140.88782177888368,-1.0,0,train,37.77777777777778,73.33333333333333,80.0,60.0,68.88888888888889,0.7033333333333334,-4.112143376659185,0.6966666666666667
0.35,1.0205483803681052,0.5942413992589709,-142.46199858242082,-1.0,0,train,40.0,73.33333333333333,80.0,64.44444444444444,66.66666666666666,0.7144444444444444,-4.565508238150102,0.7122222222222222
0.5,1.0205483803681052,0.6042593202376768,-145.2103759513882,-1.0,0,train,42.22222222222222,73.33333333333333,80.0,64.44444444444444,66.66666666666666,0.7133333333333334,-5.406622377179219,0.7166666666666667
0.0,,,,,0,test,18.461538461538463,69.23076923076923,81.53846153846153,44.61538461538462,52.307692307692314,0.6446153846153846,,
0.001,0.9793987263730011,0.5004687705538393,-166.18151939463573,-1.0,1,train,20.0,75.55555555555556,82.22222222222221,44.44444444444444,62.22222222222222,0.6844444444444444,-5.9710159238884115,0.6844444444444444
0.005,0.9793987263730011,0.5019465346053248,-166.17338146141287,-1.0,1,train,20.0,75.55555555555556,82.22222222222221,44.44444444444444,62.22222222222222,0.6866666666666666,-5.9038739295803335,0.6866666666666666
0.01,0.9793987263730011,0.5025411954264493,-166.16474049228964,-1.0,1,train,20.0,75.55555555555556,82.22222222222221,44.44444444444444,62.22222222222222,0.6877777777777778,-5.83910304390352,0.6877777777777778
0.05,0.9793987263730011,0.5152815850081894,-166.15520393544864,-1.0,1,train,22.22222222222222,73.33333333333333,84.44444444444444,44.44444444444444,62.22222222222222,0.6966666666666667,-5.655803842575107,0.6966666666666667
0.1,0.9793987263730011,0.4991899034555766,-166.2837263365734,-1.0,1,train,20.0,75.55555555555556,84.44444444444444,42.22222222222222,62.22222222222222,0.6977777777777778,-5.666219397866545,0.6988888888888889
0.15,0.9793987263730011,0.4962679514669478,-166.55438406384877,-1.0,1,train,20.0,75.55555555555556,86.66666666666667,42.22222222222222,62.22222222222222,0.6977777777777778,-5.732206118418667,0.6977777777777778
0.25,0.9793987263730011,0.49466566015964436,-167.4716199226124,-1.0,1,train,17.77777777777778,77.77777777777779,86.66666666666667,42.22222222222222,62.22222222222222,0.7022222222222222,-5.954143708422503,0.7044444444444444
0.35,0.9793987263730011,0.48477382749145176,-168.8378980214861,-1.0,1,train,17.77777777777778,75.55555555555556,84.44444444444444,44.44444444444444,62.22222222222222,0.6944444444444444,-6.278292364176764,0.6922222222222222
0.5,0.9793987263730011,0.4739947930194939,-171.73151928570152,-1.0,1,train,13.333333333333334,75.55555555555556,82.22222222222221,42.22222222222222,57.77777777777777,0.6811111111111111,-6.920412476143106,0.6844444444444444
0.0,,,,,1,test,29.230769230769234,69.23076923076923,76.92307692307693,47.69230769230769,55.38461538461539,0.6446153846153846,,
0.001,1.0273040449231774,0.4717373409364727,-184.33038674432478,-1.0,2,train,22.22222222222222,68.88888888888889,75.55555555555556,44.44444444444444,55.55555555555556,0.6333333333333333,-6.445831440512381,0.6333333333333333
0.005,1.0273040449231774,0.47162982814647053,-184.3670558508097,-1.0,2,train,22.22222222222222,68.88888888888889,75.55555555555556,44.44444444444444,55.55555555555556,0.6322222222222222,-6.409404889725381,0.6322222222222222
