D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc,un_p_marg,un_topk_auc
0.001,1.057095276242629,0.47517989786745546,-230.27569208267082,-0.02822696431914697,0,train,20.0,74.0,82.0,46.0,54.0,0.66,-5.843120126954643,0.66
0.005,1.057095276242629,0.47641374201518444,-230.24737037814904,-0.1313310057209838,0,train,20.0,74.0,82.0,46.0,54.0,0.662,-5.769873076544917,0.662
0.01,1.057095276242629,0.4774428417227645,-230.22060860491007,-0.24083707454765632,0,train,20.0,74.0,82.0,48.0,54.0,0.662,-5.698384032725952,0.662
0.05,1.057095276242629,0.49141503328740554,-230.09692929819872,-0.7477892809388292,0,train,24.0,74.0,82.0,46.0,57.99999999999999,0.671,-5.457482118101844,0.671
0.1,1.057095276242629,0.4819856245283494,-230.1356354189363,-1.1955124456894564,0,train,22.0,72.0,80.0,50.0,60.0,0.671,-5.295613513626678,0.67
0.15,1.057095276242629,0.48385492117453693,-230.3648290618761,-1.5501579793354923,0,train,24.0,74.0,80.0,50.0,62.0,0.67,-5.199683269867698,0.667
0.25,1.057095276242629,0.5064147867104718,-231.21393574720682,-2.063850589186062,0,train,24.0,74.0,78.0,52.0,62.0,0.672,-5.104029283883921,0.676
0.35,1.057095276242629,0.5086926788075741,-232.39988081736982,-2.3928965695882662,0,train,26.0,72.0,78.0,56.00000000000001,66.0,0.672,-5.063645798913571,0.673
0.5,1.057095276242629,0.5211620801880733,-234.63138956133614,-2.641755038437575,0,train,30.0,70.0,78.0,56.00000000000001,62.0,0.67,-5.001717179775068,0.67
0.0,,,,,0,test,19.0,68.0,77.0,47.0,61.0,0.64,,
0.001,1.3384000668822948,0.4578329215243524,-233.34611762837017,-0.024870539434345095,1,train,26.0,64.0,70.0,44.0,52.0,0.593,-8.278431362496875,0.593
0.005,1.3384000668822948,0.4675316572341251,-233.34677087760747,-0.10486623418413375,1,train,28.000000000000004,66.0,70.0,44.0,50.0,0.598,-8.222586587439372,0.598
0.01,1.3384000668822948,0.47454365615123206,-233.35225219935649,-0.1866045772297779,1,train,30.0,66.0,70.0,44.0,50.0,0.599,-8.171083923688188,0.599
0.05,1.3384000668822948,0.4782026335004557,-233.49149657712547,-0.6286515963716511,1,train,30.0,66.0,70.0,44.0,52.0,0.604,-7.9195477271489505,0.604
0.1,1.3384000668822948,0.4858415999631742,-233.79948302315242,-0.9882782838197466,1,train,30.0,66.0,72.0,44.0,54.0,0.61,-7.717736830096628,0.611
0.15,1.3384000668822948,0.48034714863390554,-234.23275717687645,-1.26795412879627,1,train,30.0,66.0,72.0,44.0,52.0,0.608,-7.543185093349769,0.607
0.25,1.3384000668822948,0.48165671112784486,-235.44651980143914,-1.6972582984491635,1,train,30.0,66.0,72.0,44.0,52.0,0.606,-7.196570508889072,0.606
0.35,1.3384000668822948,0.4762537120488328,-236.9708833141163,-2.0035048151021457,1,train,28.000000000000004,66.0,72.0,44.0,50.0,0.604,-6.801063492203655,0.606
0.5,1.3384000668822948,0.4627379465237748,-239.8056193322661,-2.2632549799609216,1,train,28.000000000000004,64.0,70.0,42.0,48.0,0.595,-6.246970916633242,0.596
0.0,,,,,1,test,21.0,71.0,83.0,48.0,59.0,0.674,,
0.001,1.0841709830252952,0.4729652698956883,-225.98512239043148,-0.03431166984236007,2,train,22.0,74.0,84.0,38.0,57.99999999999999,0.675,-5.795780425025987,0.675
0.005,1.0841709830252952,0.4754502228575043,-225.95185678233796,-0.15916021810559883,2,train,22.0,74.0,84.0,42.0,57.99999999999999,0.679,-5.714055533489227,0.678
0.01,1.0841709830252952,0.4787835561908378,-225.9158561983535,-0.2917698142847304,2,train,22.0,74.0,84.0,42.0,57.99999999999999,0.681,-5.633096647861086,0.681
0.05,1.0841709830252952,0.4937580433108042,-225.81417972367376,-0.8483786048551408,2,train,24.0,78.0,86.0,42.0,57.99999999999999,0.696,-5.468576997022341,0.695
0.1,1.0841709830252952,0.5015006982663051,-225.9517134567809,-1.244581438145296,2,train,24.0,78.0,86.0,44.0,64.0,0.704,-5.45678639261661,0.703
0.15,1.0841709830252952,0.48771538596167013,-226.24945193853986,-1.5291981471800542,2,train,20.0,76.0,86.0,44.0,64.0,0.702,-5.483768925577344,0.704
0.25,1.0841709830252952,0.4766299069633594,-227.16532728101413,-1.9153937015310507,2,train,16.0,78.0,86.0,46.0,60.0,0.694,-5.642020670538756,0.701
0.35,1.0841709830252952,0.45251148269195113,-228.42907999185843,-2.180298344166767,2,train,14.000000000000002,76.0,84.0,40.0,56.00000000000001,0.666,-5.75003247582436,0.679
0.5,1.0841709830252952,0.4494711456782386,-230.74453046851056,-2.3925633802917825,2,train,14.000000000000002,70.0,82.0,42.0,54.0,0.631,-5.820856753723645,0.663
0.0,,,,,2,test,19.0,70.0,78.0,48.0,56.99999999999999,0.642,,
0.001,1.072392308729276,0.5088140472218243,-213.01497035512938,-0.028240881943059112,3,train,26.0,70.0,82.0,48.0,60.0,0.675,-6.258744097385662,0.675
0.005,1.072392308729276,0.510925218689331,-213.00154164390858,-0.12564883755562956,3,train,26.0,70.0,82.0,50.0,60.0,0.677,-6.19886670523345,0.676
0.01,1.072392308729276,0.5154283916932587,-212.9906675772758,-0.23013428101516853,3,train,26.0,70.0,82.0,50.0,60.0,0.682,-6.142372717889881,0.683
0.05,1.072392308729276,0.516937709457233,-213.05717512251366,-0.791165826228936,3,train,26.0,74.0,82.0,50.0,64.0,0.693,-5.929500059069313,0.693
0.1,1.072392308729276,0.5377363439853128,-213.38456519160954,-1.2232602712306184,3,train,30.0,70.0,84.0,52.0,64.0,0.698,-5.860981494631691,0.696
0.15,1.072392308729276,0.5417939804307452,-213.85379126407543,-1.5411114626377846,3,train,30.0,74.0,86.0,48.0,62.0,0.705,-5.835043783063571,0.701
0.25,1.072392308729276,0.5395309306317432,-215.11900763699026,-1.9919818226381274,3,train,30.0,74.0,86.0,50.0,62.0,0.71,-5.815656347818622,0.704
0.35,1.072392308729276,0.5399870452303709,-216.73787795820428,-2.2785871589138234,3,train,28.000000000000004,74.0,86.0,52.0,62.0,0.71,-5.780827956923505,0.706
0.5,1.072392308729276,0.5338392207944268,-219.69345645430354,-2.4974427725562567,3,train,28.000000000000004,74.0,84.0,48.0,62.0,0.707,-5.657467416342245,0.706
0.0,,,,,3,test,26.0,73.0,81.0,50.0,61.0,0.6765,,
0.001,1.0777392328768498,0.42762657103831003,-221.10431763999713,-0.03447863829401053,4,train,14.000000000000002,62.0,76.0,44.0,57.99999999999999,0.607,-6.136179691611616,0.607
0.005,1.0777392328768498,0.44762657103831005,-221.09919166534817,-0.1424311281867703,4,train,18.0,62.0,76.0,44.0,57.99999999999999,0.611,-6.061216799134223,0.611
0.01,1.0777392328768498,0.4545594007996174,-221.0972758969933,-0.252472660491232,4,train,20.0,60.0,76.0,44.0,57.99999999999999,0.607,-5.991197114819445,0.607
0.05,1.0777392328768498,0.47228801138648435,-221.20600173504562,-0.7467409714760893,4,train,22.0,62.0,78.0,50.0,57.99999999999999,0.63,-5.7807585169881905,0.627
0.1,1.0777392328768498,0.48914793542069984,-221.5904430117165,-1.1479943745131311,4,train,24.0,64.0,78.0,50.0,57.99999999999999,0.641,-5.666876165032322,0.642
0.15,1.0777392328768498,0.48467866431074424,-222.14048564887165,-1.4675848948258141,4,train,24.0,68.0,78.0,50.0,56.00000000000001,0.645,-5.577514572217124,0.645
0.25,1.0777392328768498,0.49541510412976303,-223.51781359776464,-1.936489875478737,4,train,24.0,70.0,78.0,50.0,57.99999999999999,0.662,-5.411634652525567,0.661
0.35,1.0777392328768498,0.49735592084083147,-225.16873858033082,-2.258211248121041,4,train,24.0,72.0,78.0,48.0,57.99999999999999,0.663,-5.279229107308603,0.666
0.5,1.0777392328768498,0.49145570618347245,-228.13216477409975,-2.5443112076111927,4,train,20.0,70.0,78.0,50.0,54.0,0.653,-5.056784866433343,0.664
0.0,,,,,4,test,28.000000000000004,73.0,80.0,51.0,62.0,0.672,,
0.001,1.0507891689712907,0.504177139220652,-219.0288297612909,-0.022148037438509453,5,train,24.0,68.0,82.0,52.0,62.0,0.676,-5.763491801787149,0.676
0.005,1.0507891689712907,0.504177139220652,-219.03628879760052,-0.10473456504748424,5,train,24.0,68.0,82.0,52.0,62.0,0.676,-5.717943701092537,0.676
0.01,1.0507891689712907,0.504177139220652,-219.04972921857888,-0.20279995899935216,5,train,24.0,68.0,82.0,52.0,62.0,0.676,-5.666147322128034,0.676
0.05,1.0507891689712907,0.5116294980773343,-219.25474075549462,-0.744323935866966,5,train,26.0,70.0,82.0,52.0,62.0,0.678,-5.473334546978086,0.678
0.1,1.0507891689712907,0.5137409565411336,-219.71075523126888,-1.1792189407037657,5,train,28.000000000000004,70.0,82.0,48.0,62.0,0.675,-5.421014293761693,0.677
0.15,1.0507891689712907,0.5142426190178029,-220.2635589550878,-1.4946104205316983,5,train,28.000000000000004,70.0,80.0,48.0,60.0,0.664,-5.39640251372791,0.671
0.25,1.0507891689712907,0.5154839195729377,-221.61373833669398,-1.9312248827984262,5,train,30.0,70.0,80.0,48.0,62.0,0.664,-5.3565001185152,0.673
0.35,1.0507891689712907,0.5257880994958407,-223.21542575556256,-2.2167193014199476,5,train,28.000000000000004,68.0,80.0,52.0,64.0,0.662,-5.329411775435046,0.678
0.5,1.0507891689712907,0.531943086380802,-225.96528406162065,-2.4621672456377355,5,train,34.0,66.0,76.0,50.0,64.0,0.653,-5.200029982832433,0.674
0.0,,,,,5,test,27.0,71.0,78.0,48.0,56.99999999999999,0.649,,
0.001,1.0219422886430218,0.4559843667171215,-227.72140056860886,-0.027929621236991067,6,train,20.0,70.0,80.0,40.0,56.00000000000001,0.64,-4.843519987583853,0.64
0.005,1.0219422886430218,0.45807429110612286,-227.71802822875333,-0.13350911420817818,6,train,20.0,74.0,80.0,40.0,56.00000000000001,0.653,-4.77928553094135,0.652
0.01,1.0219422886430218,0.46542136028043507,-227.71788291089487,-0.25267771564341357,6,train,22.0,74.0,80.0,40.0,56.00000000000001,0.653,-4.71113769845019,0.653
0.05,1.0219422886430218,0.4611587251506095,-227.86603601415902,-0.9027344661021827,6,train,22.0,70.0,80.0,40.0,50.0,0.635,-4.454766597216721,0.637
0.1,1.0219422886430218,0.4896068223268684,-228.25602669476427,-1.3715547858982002,6,train,28.000000000000004,72.0,82.0,40.0,52.0,0.651,-4.4244456343992065,0.649
0.15,1.0219422886430218,0.5027776518890301,-228.77355296540077,-1.705474478192556,6,train,32.0,72.0,80.0,40.0,54.0,0.656,-4.461216603755835,0.657
0.25,1.0219422886430218,0.5010412489899447,-230.0819666974543,-2.192035452156322,6,train,30.0,72.0,78.0,42.0,56.00000000000001,0.651,-4.551500633244213,0.651
0.35,1.0219422886430218,0.49576832843918167,-231.7223893028088,-2.5147993980552403,6,train,30.0,72.0,78.0,42.0,54.0,0.648,-4.672707464935379,0.646
0.5,1.0219422886430218,0.4942693035977587,-234.80627712848892,-2.754112124815649,6,train,30.0,68.0,78.0,42.0,52.0,0.625,-4.916860230185984,0.631
0.0,,,,,6,test,23.0,68.0,78.0,52.0,63.0,0.6585,,
0.001,1.2958530170866134,0.4245556057501733,-229.94602249343774,-0.025053899995212393,7,train,16.0,62.0,76.0,40.0,54.0,0.594,-6.340424189591559,0.594
0.005,1.2958530170866134,0.4257684124552401,-229.92868479478975,-0.10676683850489263,7,train,16.0,62.0,76.0,40.0,54.0,0.598,-6.286705266904656,0.598
0.01,1.2958530170866134,0.4214523040737534,-229.9119192114858,-0.19217970094018624,7,train,16.0,62.0,76.0,38.0,54.0,0.594,-6.235952727447582,0.593
0.05,1.2958530170866134,0.43982463275089645,-229.90164798454657,-0.7200937227863258,7,train,16.0,62.0,76.0,46.0,62.0,0.618,-5.972437721820131,0.616
0.1,1.2958530170866134,0.45006271849484775,-230.0783534960324,-1.1520361207366336,7,train,20.0,66.0,76.0,46.0,62.0,0.633,-5.7768846180982205,0.632
0.15,1.2958530170866134,0.4575024861529478,-230.3679313092928,-1.4631092993075423,7,train,20.0,66.0,76.0,48.0,60.0,0.638,-5.65072672764832,0.636
0.25,1.2958530170866134,0.47607783580685903,-231.27649976668226,-1.8899121928997493,7,train,22.0,70.0,76.0,50.0,57.99999999999999,0.648,-5.467421565470765,0.65
0.35,1.2958530170866134,0.47899755595395205,-232.50959549745764,-2.150122821531162,7,train,24.0,72.0,76.0,54.0,57.99999999999999,0.652,-5.319169220214765,0.646
0.5,1.2958530170866134,0.49815312892263625,-234.78249551488878,-2.3530353591455824,7,train,24.0,66.0,76.0,54.0,60.0,0.655,-5.011257610413946,0.643
0.0,,,,,7,test,30.0,77.0,85.0,56.99999999999999,69.0,0.731,,
0.001,1.0811089491728565,0.5605921691686108,-213.71958175691645,-0.02569396284009927,8,train,32.0,76.0,80.0,62.0,70.0,0.722,-3.465892616864978,0.722
0.005,1.0811089491728565,0.5579735740971816,-213.75113878808335,-0.1150805495140183,8,train,32.0,76.0,80.0,62.0,70.0,0.721,-3.4313610137029764,0.721
0.01,1.0811089491728565,0.5565871052586495,-213.7964122844221,-0.20871712112203195,8,train,32.0,76.0,80.0,60.0,70.0,0.72,-3.4040538014837542,0.72
0.05,1.0811089491728565,0.5664939812347604,-214.23647029863355,-0.7060592769027554,8,train,34.0,78.0,80.0,56.00000000000001,68.0,0.725,-3.4115247946298903,0.726
0.1,1.0811089491728565,0.5621136210667511,-214.8942431717455,-1.1459086804703211,8,train,32.0,78.0,82.0,54.0,70.0,0.723,-3.550692329500049,0.724
0.15,1.0811089491728565,0.5592681817861703,-215.65848211692753,-1.5111914705960192,8,train,32.0,78.0,82.0,54.0,66.0,0.718,-3.7265384712432654,0.72
0.25,1.0811089491728565,0.5561378747926604,-217.41792368349,-2.098418872398665,8,train,30.0,74.0,84.0,56.00000000000001,66.0,0.71,-4.086256145169986,0.717
0.35,1.0811089491728565,0.5432444918768458,-219.45874568080552,-2.547885460347606,8,train,28.000000000000004,74.0,82.0,56.00000000000001,64.0,0.7,-4.427645985031141,0.706
0.5,1.0811089491728565,0.5346432717633541,-222.98685951439154,-3.01650957251316,8,train,28.000000000000004,68.0,78.0,56.00000000000001,60.0,0.672,-4.891587470876294,0.685
0.0,,,,,8,test,22.0,72.0,79.0,47.0,61.0,0.659,,
0.001,1.0090002876211834,0.581416634400906,-199.8105449050509,-0.020266096845521914,9,train,32.0,76.0,82.0,64.0,72.0,0.731,-5.407676421470656,0.731
0.005,1.0090002876211834,0.5902812696790108,-199.8241150571333,-0.08690331372107232,9,train,34.0,76.0,82.0,66.0,72.0,0.734,-5.38061195193862,0.734
0.01,1.0090002876211834,0.5978054759037569,-199.84348343156623,-0.16456171823130117,9,train,36.0,76.0,82.0,66.0,72.0,0.736,-5.3522827854298125,0.736
0.05,1.0090002876211834,0.5993657430464896,-200.0804794747973,-0.7427304468514918,9,train,36.0,78.0,84.0,62.0,72.0,0.744,-5.157849673641842,0.744
0.1,1.0090002876211834,0.5992598781478394,-200.5686605574029,-1.3468560852998281,9,train,36.0,80.0,84.0,62.0,72.0,0.747,-4.995368108661421,0.748
0.15,1.0090002876211834,0.6021710951406971,-201.2076433708084,-1.835966691749667,9,train,36.0,82.0,84.0,62.0,72.0,0.755,-4.902859356797817,0.751
0.25,1.0090002876211834,0.6038531949020118,-202.6974336480848,-2.5451417487921386,9,train,36.0,82.0,84.0,64.0,76.0,0.76,-4.83293544287598,0.759
0.35,1.0090002876211834,0.6057077425984243,-204.446695438999,-3.0297810697956993,9,train,34.0,82.0,84.0,68.0,76.0,0.766,-4.877940483310381,0.764
0.5,1.0090002876211834,0.5958418744683625,-207.52923525618283,-3.5329125419329874,9,train,30.0,80.0,84.0,62.0,68.0,0.744,-5.022389050491533,0.757
0.0,,,,,9,test,23.0,73.0,82.0,50.0,60.0,0.6765,,
0.001,1.012871547429889,0.4837171703474815,-216.84159218214222,-0.017418303108654786,10,train,22.0,70.0,76.0,52.0,57.99999999999999,0.639,-7.351287675822638,0.639
0.005,1.012871547429889,0.4838241595051169,-216.82808762490745,-0.08533646009126696,10,train,22.0,70.0,76.0,52.0,57.99999999999999,0.64,-7.30729532321808,0.64
0.01,1.012871547429889,0.4838241595051169,-216.81580935600198,-0.161673907632631,10,train,22.0,68.0,76.0,52.0,57.99999999999999,0.639,-7.260980178156951,0.64
0.05,1.012871547429889,0.49316957257370647,-216.81929348146795,-0.6068362001804596,10,train,22.0,70.0,76.0,52.0,60.0,0.651,-7.034534230214346,0.649
0.1,1.012871547429889,0.5020177591264432,-216.9938569369526,-1.0107388423378263,10,train,24.0,72.0,76.0,52.0,62.0,0.656,-6.830253860347594,0.655
0.15,1.012871547429889,0.5046184210621146,-217.2812416693027,-1.3241741163346816,10,train,24.0,72.0,80.0,50.0,62.0,0.656,-6.683204578395838,0.654
0.25,1.012871547429889,0.5177274503862473,-218.08208588638246,-1.8131590924844807,10,train,26.0,70.0,80.0,48.0,60.0,0.648,-6.445291498594371,0.649
0.35,1.012871547429889,0.4998414198919365,-219.12882679591266,-2.1823899608320625,10,train,24.0,68.0,76.0,48.0,60.0,0.633,-6.221856536767193,0.643
0.5,1.012871547429889,0.4908981468358089,-221.0978386905061,-2.550540510324005,10,train,24.0,66.0,76.0,44.0,57.99999999999999,0.627,-5.859763734571155,0.633
0.0,,,,,10,test,20.0,68.0,79.0,42.0,52.0,0.631,,
0.001,1.139872059040666,0.39132820977009325,-226.4976114822027,-0.031196026414616804,11,train,16.0,62.0,70.0,36.0,46.0,0.562,-5.936960330123864,0.562
0.005,1.139872059040666,0.40063680470331553,-226.4737133814744,-0.13603184282719194,11,train,16.0,64.0,70.0,36.0,46.0,0.571,-5.8765396328505535,0.571
0.01,1.139872059040666,0.40059368689000574,-226.4582255631286,-0.2320463765522696,11,train,16.0,66.0,70.0,34.0,48.0,0.574,-5.840357785517727,0.574
0.05,1.139872059040666,0.4277841824783774,-226.44063377882213,-0.6820654948023399,11,train,18.0,66.0,74.0,36.0,52.0,0.59,-5.748826855806431,0.588
0.1,1.139872059040666,0.4319206107056209,-226.60066413053147,-1.0555225774407802,11,train,20.0,66.0,74.0,36.0,48.0,0.586,-5.736405733255901,0.587
0.15,1.139872059040666,0.43719123140134386,-226.93648166488217,-1.3492349985041119,11,train,18.0,66.0,78.0,36.0,48.0,0.601,-5.763120973627687,0.599
0.25,1.139872059040666,0.44018735937735487,-227.87492901231553,-1.781813707657761,11,train,16.0,66.0,82.0,36.0,50.0,0.607,-5.803952074552298,0.619
0.35,1.139872059040666,0.43478807507509964,-229.11651186801782,-2.0631413296399885,11,train,16.0,66.0,80.0,36.0,46.0,0.595,-5.81073808792017,0.617
0.5,1.139872059040666,0.44236822997056957,-231.43181916732792,-2.309617528165391,11,train,18.0,64.0,78.0,36.0,46.0,0.587,-5.697716937278033,0.618
0.0,,,,,11,test,20.0,68.0,73.0,49.0,56.99999999999999,0.629,,
0.001,1.0759147570561038,0.4912555165495858,-216.75935056777254,-0.016901060382432435,12,train,28.000000000000004,66.0,72.0,50.0,57.99999999999999,0.616,-5.052398628661067,0.616
0.005,1.0759147570561038,0.4912555165495858,-216.78254238875257,-0.08225531362438926,12,train,28.000000000000004,66.0,72.0,50.0,57.99999999999999,0.616,-5.022042948633105,0.616
0.01,1.0759147570561038,0.48873984005893184,-216.8152879602794,-0.15929576856766395,12,train,28.000000000000004,66.0,72.0,48.0,60.0,0.616,-4.989567695940838,0.616
0.05,1.0759147570561038,0.5051781789973072,-217.16383921580584,-0.6208751503203617,12,train,32.0,66.0,72.0,48.0,60.0,0.622,-4.864530755408967,0.622
0.1,1.0759147570561038,0.5106403654614142,-217.75321895443912,-1.067768256201423,12,train,32.0,66.0,74.0,48.0,57.99999999999999,0.626,-4.803518808770821,0.627
0.15,1.0759147570561038,0.5196836125099799,-218.48593645842607,-1.4438521399587163,12,train,30.0,68.0,76.0,50.0,57.99999999999999,0.635,-4.767763518473379,0.634
0.25,1.0759147570561038,0.5224024092929413,-220.24493534732778,-2.0131668758438055,12,train,32.0,70.0,76.0,52.0,57.99999999999999,0.647,-4.787449864558421,0.64
0.35,1.0759147570561038,0.5221189456876936,-222.23063613501216,-2.423409183705632,12,train,32.0,70.0,74.0,52.0,57.99999999999999,0.65,-4.801684235131132,0.646
0.5,1.0759147570561038,0.5350555683105255,-225.67384331872228,-2.8159426997544936,12,train,32.0,70.0,76.0,56.00000000000001,60.0,0.655,-4.845766062119128,0.65
0.0,,,,,12,test,23.0,66.0,75.0,46.0,56.00000000000001,0.622,,
0.001,1.059963514907302,0.4876851782942488,-218.87847843393635,-0.02342723678734473,13,train,24.0,72.0,84.0,44.0,54.0,0.652,-5.921382723241678,0.652
0.005,1.059963514907302,0.4880266238058553,-218.8721127785978,-0.10396866381330279,13,train,24.0,72.0,84.0,44.0,54.0,0.656,-5.868337992392738,0.655
0.01,1.059963514907302,0.49655426591494034,-218.86765449398922,-0.1884859153769081,13,train,26.0,72.0,84.0,44.0,54.0,0.66,-5.8176290962634605,0.66
0.05,1.059963514907302,0.48924978195332913,-218.99392720349104,-0.6586127850440164,13,train,24.0,72.0,84.0,44.0,57.99999999999999,0.665,-5.616190641576053,0.664
0.1,1.059963514907302,0.5092101642191306,-219.386750059297,-1.0171855094996474,13,train,26.0,74.0,88.0,44.0,57.99999999999999,0.683,-5.532955205172498,0.675
0.15,1.059963514907302,0.5163722703993858,-219.93847501324186,-1.2948818818181138,13,train,26.0,74.0,88.0,46.0,57.99999999999999,0.694,-5.4542781998827135,0.69
0.25,1.059963514907302,0.5239189703275707,-221.26823058535007,-1.6739226089633161,13,train,28.000000000000004,74.0,88.0,50.0,56.00000000000001,0.704,-5.3352210627850365,0.704
0.35,1.059963514907302,0.5213852714451856,-222.87551542487176,-1.926626336435743,13,train,28.000000000000004,78.0,86.0,50.0,56.00000000000001,0.701,-5.2406890653331715,0.699
